tempObjectNumber: 34, Title: Terracotta pyxis (box),  Period: Cypro-Archaic,  Date: late 7th–6th century B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H. 1 5/16 in. (3.3 cm); diameter 1 3/4 in. (4.5 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1420a b
tempObjectNumber: 35, Title: Cameo glass fragment,  Period: Early Imperial Augustan or Julio-Claudian,  Date: late 1st century B.C.–mid-1st century A.D.,  Culture: Roman,  Medium: Glass; cast and cut,  Dimensions: H.: 2 1/16 in. (5.3 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.366
tempObjectNumber: 36, Title: Vase fragment,  Period: Neolithic second period,  Date: ca. 4000–3000 B.C.,  Culture: Neolithic Thessaly,  Medium: Terracotta,  Dimensions: length  2 1/8in. (5.4cm),  Classification: Vases,  Credit Line: Anonymous Gift 1930,  Accession Number: 30.119.19
tempObjectNumber: 37, Title: Fragment of a terracotta guttus (oil flask),  Period: Hellenistic,  Date: 3rd century B.C.,  Culture: Greek South Italian Campanian,  Medium: Terracotta; black-glaze,  Dimensions: width  1 3/8in. (3.5cm),  Classification: Vases,  Credit Line: Gift of Mrs. Edward T. Newell 1945,  Accession Number: 45.92.3
tempObjectNumber: 38, Title: Donkey figurine,  Period: Cypro-Archaic II,  Date: ca. 600–480 B.C.,  Culture: Cypriot,  Medium: Terracotta; hand-made,  Dimensions: H. 3 7/8 in. (9.8 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1811
tempObjectNumber: 39, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 5/8 x 1 1/8 in. (1.5 x 2.8 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1977
tempObjectNumber: 40, Title: Terracotta head of a youth,  Period: Early Hellenistic,  Date: early 3rd century B.C. (?),  Culture: Cypriot,  Medium: Terracotta; mold-made,  Dimensions: H. 5 9/16 in. (14.1 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1457
tempObjectNumber: 41, Title: Pendant in the form of a phallos,  Culture: Etruscan,  Medium: Gold,  Dimensions: Other: 1/2 × 9/16 × 1 1/16 in. (1.2 × 1.4 × 2.8 cm),  Classification: Gold and Silver,  Credit Line: Purchase by subscription 1895,  Accession Number: 95.15.275
tempObjectNumber: 42, Title: Fragment of a terracotta column-krater (bowl for mxing wine and water),  Attribution: the Niobid Painter,  Period: Classical,  Date: ca. 460–450 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: Overall: 3 1/4 x 2 3/4in. (8.3 x 6.9cm),  Classification: Vases,  Credit Line: Gift of Gisela M. A. Richter 1941,  Accession Number: 41.86
tempObjectNumber: 43, Title: Terracotta loutrophoros (ceremonial vase for water),  Period: Early Hellenistic,  Date: late 4th–early 3rd century B.C.,  Culture: Greek South Italian Apulian Canosan,  Medium: Terracotta,  Dimensions: H. 16 1/2 in. (41.9 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.245
tempObjectNumber: 44, Title: Vase fragment,  Culture: East Greek/Sardis Lydian,  Medium: Terracotta,  Dimensions: Overall: 4 3/4 x 2 15/16in. (12 x 7.5cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.176
tempObjectNumber: 45, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 5/8 x 15/16 in. (1.6 x 2.4 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1776
tempObjectNumber: 46, Title: Glass gold-band mosaic bottle,  Period: Early Imperial Julio-Claudian,  Date: 1st half of 1st century A.D.,  Culture: Roman,  Medium: Glass; cast and blown and cut,  Dimensions: H. 2 in. (5.1 cm.),  Classification: Glass,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1035.2
tempObjectNumber: 47, Title: Statuette of an actor,  Period: Late Classical,  Date: 4th century B.C.,  Culture: Greek,  Medium: Terracotta,  Dimensions: H.: 4 5/8 in. (11.7 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1907,  Accession Number: 07.286.27
tempObjectNumber: 48, Title: Ring with Scarab,  Medium: Bronze sard,  Dimensions: Other (pendant): 3/16 × 1/8 × 7/16 in. (0.5 × 0.3 × 1.1 cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4207
tempObjectNumber: 49, Title: Glass perfume bottle,  Period: Early to Mid Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Diam.: 7/8 x 5/8 in. (2.2 x 1.6 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5807
tempObjectNumber: 50, Title: Jug,  Period: Iron Age,  Date: ca. 1050–900 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H.: 4 3/4 in. (12.1 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.955
tempObjectNumber: 51, Title: Bronze spit,  Period: Archaic,  Date: ca. 550 B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: H. 40 15/16 in. (104 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1903,  Accession Number: 03.23.24
tempObjectNumber: 52, Title: Lamp,  Date: 2nd century A.D.,  Medium: Terracotta,  Dimensions: Length 7.3 cm.  H. 2.4 cm.,  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1960
tempObjectNumber: 53, Title: Oinochoe,  Attribution: the Dubois Class,  Period: Archaic,  Date: 6th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-glaze,  Dimensions: 5 1/16in. (12.9cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.208
tempObjectNumber: 54, Title: Terracotta aryballos in the form of a helmeted head,  Period: Archaic,  Date: ca. 600–575 B.C.,  Culture: East Greek,  Medium: Terracotta,  Dimensions: H. 7.01 cm.,  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.74
tempObjectNumber: 55, Title: Arrowhead ? with tang,  Medium: Iron,  Dimensions: Other: 7/8 x 3 7/16 x 5/16 in. (2.2 x 8.7 x 0.8 cm),  Classification: Miscellaneous-Iron,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.290
tempObjectNumber: 56, Title: Charioteer,  Period: Cypro-Classical II,  Date: 4th century B.C.,  Culture: Cypriot,  Medium: Terracotta; mold-made and hand-made,  Dimensions: H. 6 13/14 in. (17.3 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1622
tempObjectNumber: 57, Title: Gold roundel of bulbous form,  Period: Late Bronze Age,  Date: ca. 1600–1050 B.C.,  Culture: Cypriot,  Medium: Gold,  Dimensions: Diam.: 1 1/16 in. (2.7 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3055
tempObjectNumber: 58, Title: Limestone statuette of bearded Herakles,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 8 1/8 x 4 3/4 x 3 3/16 in. (20.6 x 12.1 x 8 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2656
tempObjectNumber: 59, Title: Glass pendant in the form of a jug,  Period: Late Imperial,  Date: 4th–early 5th century A.D.,  Culture: Roman,  Medium: Glass; rod-formed,  Dimensions: Other: 1 x 11/16 x 7/16 in. (2.6 x 1.7 x 1.1 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.471
tempObjectNumber: 60, Title: Gold earring with head of a bull,  Period: Classical or Hellenistic,  Date: 4th–3rd century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Other: 5/8 x 3/16 x 11/16 in. (1.7 x 0.4 x 1.8 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3474
tempObjectNumber: 61, Title: Kylix fragment,  Attribution: the manner of the Epeleios Painter,  Period: Archaic,  Date: ca. 500 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Classification: Vases,  Credit Line: Gift of Dietrich von Bothmer 1988,  Accession Number: 1988.233.2
tempObjectNumber: 62, Title: Terracotta amphora handle with stamp,  Date: ca. 220–180 B.C.,  Culture: Greek Rhodian,  Medium: Terracotta,  Dimensions: Other: 4 in. (10.2 cm),  Classification: Cesnola Inscriptions,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2422
tempObjectNumber: 63, Title: Terracotta beaker with painted inscription,  Period: Mid-Imperial,  Date: late 2nd–mid-3rd century A.D.,  Culture: Roman Rhenish,  Medium: Terracotta; Moselkeramik,  Dimensions: H. 4 7/16 in. (11.2 cm); diameter  3 1/16 in. (7.9 cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.845
tempObjectNumber: 64, Title: Statue base pedestal,  Medium: Limestone,  Dimensions: H.: 5 1/4 x 14 x 6 1/8 in. (13.3 x 35.6 x 15.6 cm),  Classification: Cesnola Inscriptions,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2443
tempObjectNumber: 65, Title: Terracotta woman,  Period: Cypro-Archaic II,  Date: ca. 600–480 B.C.,  Culture: Cypriot,  Medium: Terracotta; mold-made,  Dimensions: H. 9 3/16 in. (23.4 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1576
tempObjectNumber: 66, Title: Earring with plain loop and disc,  Medium: Gold,  Dimensions: Other: 9/16 x 1/4 x 5/8 in. (1.4 x 0.7 x 1.6 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3728
tempObjectNumber: 67, Title: Mosaic glass face bead,  Period: Earlky Imperial,  Date: 1st century A.D.,  Culture: Roman Eastern Mediterranean,  Medium: Glass,  Dimensions: Diam.: 3/8 in. (1 cm),  Classification: Glass,  Credit Line: Rogers Fund 1952,  Accession Number: 52.11.9
tempObjectNumber: 68, Title: Chlorite pestle,  Period: Late Bronze Age,  Date: ca. 1600–1100 B.C.,  Culture: Cypriot,  Medium: Chlorite,  Dimensions: H. 2 1/8 in. (5.4 cm),  Classification: Miscellaneous-Stone,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5038
tempObjectNumber: 69, Title: Bronze shepherd's crook,  Period: Late Cypriot III,  Date: ca. 1200–1050 B.C.,  Culture: Cypriot,  Medium: Bronze,  Dimensions: H. 4 7/8 in. (12.4 cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5570
tempObjectNumber: 70, Title: Spearhead,  Period: Late Iron Age,  Date: ca. 1000–900 B.C.,  Culture: Cypriot,  Medium: Iron,  Dimensions: 8 3/8in. (21.3cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5315
tempObjectNumber: 71, Title: Lead ring,  Period: Archaic,  Date: 6th–5th century B.C.,  Culture: Greek Laconian,  Medium: Lead,  Classification: Miscellaneous-Lead,  Credit Line: Gift of A. J. B. Wace 1924,  Accession Number: 24.195.157
tempObjectNumber: 72, Title: Standing male figurine,  Period: Cypro-Archaic II,  Date: ca. 600–480 B.C.,  Culture: Cypriot,  Medium: Terracotta; hand-made,  Dimensions: H. 9 1/8 in. (23.2 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1627
tempObjectNumber: 73, Title: Glass bowl decorated with geometric patterns,  Period: Late Imperial,  Date: 4th century A.D.,  Culture: Roman,  Medium: Glass; blown and cut,  Dimensions: diameter  4 7/16 in. (11.2 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.319
tempObjectNumber: 74, Title: Bowl fragment,  Culture: Roman,  Medium: Terracotta,  Dimensions: 1 3/16 × 2 9/16 × 5/16 in. (3 × 6.6 × 0.8 cm),  Classification: Vases,  Credit Line: Gift of Miss Matilda W. Bruce 1907,  Accession Number: 07.156.12
tempObjectNumber: 75, Title: Fibula,  Period: Geometric,  Date: 9th–8th century B.C.,  Culture: Italic Villanovan,  Medium: Bronze,  Dimensions: Overall: 2 1/4 x 3 3/4 x 1 3/4 in. (5.7 x 9.5 x 4.4 cm),  Classification: Bronzes,  Credit Line: Gift of Mr. and Mrs. Jonathan P. Rosen 1991,  Accession Number: 1991.171.5
tempObjectNumber: 76, Title: Bronze knife with ram's-head handle,  Date: ca. 1st century A.D.,  Culture: Roman,  Medium: Bronze,  Dimensions: Other: 4 7/8 in. (12.4 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1917,  Accession Number: 17.230.58
tempObjectNumber: 77, Title: Model of a chariot with driver,  Date: ca. 1000–600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H. 5 3/8 in. (13.7 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1797
tempObjectNumber: 78, Title: Vase fragment,  Period: Geometric,  Culture: East Greek/Sardis Lydian,  Medium: Terracotta,  Dimensions: Overall: 4 3/8 x 4 3/4in. (11.1 x 12cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.245
tempObjectNumber: 79, Title: Brown glass oval,  Period: Hellenistic,  Date: 2nd–1st century B.C.,  Culture: Greek,  Medium: Glass,  Dimensions: Overall: 3/4 x 5/8 in. (1.9 x 1.6 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.505
tempObjectNumber: 80, Title: Terracotta vase in the form of a bull,  Period: Late Cypriot II,  Date: ca. 1450–1200 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: length  5 5/16 in. (13.5 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.827
tempObjectNumber: 81, Title: Intaglio,  Culture: Roman,  Medium: Agate,  Dimensions: Other: 9/16 x 7/16 x 1/8 in. (1.5 x 1.1 x 0.4 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.942
tempObjectNumber: 82, Title: Seal cushion,  Period: Middle Minoan II–IIIA,  Date: ca. 1800–1600 B.C.,  Culture: Minoan Crete,  Medium: Steatite,  Dimensions: Other: 7/16 x 9/16 x 3/16 in. (1.1 x 1.4 x 0.5 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.330
tempObjectNumber: 83, Title: Buckle,  Medium: Bronze,  Dimensions: Other: 1 3/16 in. (3 cm),  Classification: Bronzes,  Credit Line: Purchase 1898,  Accession Number: 98.11.31
tempObjectNumber: 84, Title: Terracotta vase in the form of a swan,  Period: Archaic,  Date: 6th century B.C.,  Culture: Greek Corinthian,  Medium: Terracotta,  Dimensions: H. 4 1/16 in. (10.4 cm),  Classification: Vases,  Credit Line: Gift of Norbert Schimmel Foundation Inc. 1980,  Accession Number: 1980.427.4
tempObjectNumber: 85, Title: Limestone male figure,  Period: Archaic,  Date: mid-6th century B.C.,  Culture: Cypriot,  Medium: Limestone,  Dimensions: H. 36 1/2 in. (92.7 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2473
tempObjectNumber: 86, Title: Silver dish with vertical handles,  Period: Late Hellenistic or Early Imperial,  Date: 1st century B.C.–1st century A.D.,  Culture: East Greek or Parthian,  Medium: Silver,  Dimensions: Diam.: 6 1/2 in. (16.5 cm),  Classification: Gold and Silver,  Credit Line: Gift of Norbert Schimmel Trust 1989,  Accession Number: 1989.281.67
tempObjectNumber: 87, Title: Lamp,  Date: 2nd century A.D.,  Medium: Terracotta,  Dimensions: Length 8.3 cm.  H. 3.3 cm.,  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1868
tempObjectNumber: 88, Title: Terracotta female figure,  Period: Late Helladic IIIB,  Date: ca. 1300–1200 B.C.,  Culture: Helladic Mycenaean,  Medium: Terracotta,  Dimensions: H. 6 3/16 in. (15.7 cm),  Classification: Terracottas,  Credit Line: Gift of Joseph Brummer 1922,  Accession Number: 22.15
tempObjectNumber: 89, Title: Hydria,  Attribution: the manner of the Red-Line Painter,  Period: Archaic,  Date: ca. 500 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: Height: 10 1/8 in. (25.7 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.50
tempObjectNumber: 90, Title: Hinge,  Culture: Cypriot,  Medium: Bronze,  Dimensions: Other: 3 5/16in. (8.4cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5351
