tempObjectNumber: 31, Title: Vase fragment,  Period: Geometric,  Date: 8th century B.C.,  Culture: Greek Attic,  Medium: Terracotta,  Dimensions: 3 11/16 × 1 11/16 × 2 5/8 in. (9.4 × 4.3 × 6.6 cm),  Classification: Vases,  Credit Line: Gift of the Greek Government 1930,  Accession Number: 30.118.71
tempObjectNumber: 32, Title: Glass cup,  Date: 2nd–3rd century A.D.,  Culture: Roman,  Medium: Glass; blown and cut,  Dimensions: Diam.: 3 x 3 in. (7.6 x 7.6 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.277
tempObjectNumber: 33, Title: Pithos miniature,  Culture: Greek,  Medium: Terracotta,  Dimensions: 1 1/8in. (2.9cm),  Classification: Vases,  Accession Number: 20.263.1
tempObjectNumber: 34, Title: Seated baby,  Period: Early Hellenistic,  Date: 3rd century B.C.,  Culture: Cypriot,  Medium: Terracotta; mold-made and hand-made,  Dimensions: H. 2 7/16 in. (6.2 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1598
tempObjectNumber: 35, Title: Stand,  Culture: Etruscan,  Medium: Terracotta,  Dimensions: Other (diameter of mouth): 13 1/4in. (33.7cm),  Classification: Vases,  Credit Line: Purchase by subscription 1896,  Accession Number: 96.18.127
tempObjectNumber: 36, Title: Fragment of a silver bowl,  Period: Archaic,  Date: 7th century B.C.,  Culture: Cypriot,  Medium: Silver,  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4559
tempObjectNumber: 37, Title: Glass amphoriskos with horizontal ribs,  Period: Early Imperial,  Date: 2nd half of 1st century A.D.,  Culture: Roman,  Medium: Glass; blown in a two-part mold,  Dimensions: H. 4 5/16 in. (11 cm); diameter 1 7/8 in. (4.8 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.234
tempObjectNumber: 38, Title: Bead control,  Culture: Cypriot,  Medium: Gold,  Dimensions: Other: 1/4 x 1/2 x 1/4 in. (0.6 x 1.2 x 0.6 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3312
tempObjectNumber: 39, Title: Terracotta lekythos (oil flask),  Attribution: the Providence Painter,  Period: Classical,  Date: ca. 480–470 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H. 14 in. (35.5 cm),  Classification: Vases,  Credit Line: Rogers Fund 1907,  Accession Number: 07.286.67
tempObjectNumber: 40, Title: Head of a child,  Medium: Terracotta,  Dimensions: H. 1 7/8 in. (4.8 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1910,  Accession Number: 10.210.95
tempObjectNumber: 41, Title: Jug miniature,  Period: Iron Age,  Date: ca. 1050–900 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H.: 2 1/4 in. (5.7 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.928
tempObjectNumber: 42, Title: Bowls,  Period: Middle Bronze Age,  Date: ca. 2000–1600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 4 13/16in. (12.2cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1044
tempObjectNumber: 43, Title: Lekythos,  : Possibly by the Oreithyia Painter,  Period: Classical,  Date: ca. 460 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: 12 15/16in. (32.9cm),  Classification: Vases,  Credit Line: Rogers Fund 1920,  Accession Number: 20.197
tempObjectNumber: 44, Title: Terracotta antefix with lion's head,  Period: Late Archaic,  Date: late 6th century B.C.,  Culture: East Greek,  Medium: Terracotta,  Dimensions: H. 6 5/16 in. (16 cm),  Classification: Terracottas,  Credit Line: Gift of a friend of the Museum 1992,  Accession Number: 1992.36.1
tempObjectNumber: 45, Title: Terracotta mold fragment,  Period: Mid Imperial,  Date: ca. 2nd century A.D.,  Culture: Roman,  Dimensions: Overall: 3 1/8 x 5 1/2 in. (7.9 x 14 cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.2135
tempObjectNumber: 46, Title: Glass bottle shaped like a date,  Period: Mid Imperial,  Date: mid-1st to early 2nd century A.D.,  Culture: Roman,  Medium: Glass; blown in a two-part mold,  Dimensions: Diam.: 5/8 x 1 3/16 in. (1.6 x 3 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.234
tempObjectNumber: 47, Title: Marble Kore statuette,  Period: Archaic,  Date: 6th–5th century B.C.,  Culture: Greek,  Medium: Marble,  Dimensions: 27 1/4 × 8 3/4 × 7 3/4 in. (69.2 × 22.2 × 19.7 cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1907,  Accession Number: 07.286.110
tempObjectNumber: 48, Title: Wall painting on black ground: supports with entablature from the imperial villa at Boscotrecase,  Period: Early Imperial,  Date: last decade of the 1st century B.C.,  Culture: Roman Pompeian,  Medium: Fresco,  Dimensions: Overall: 72 1/4 x 18 1/2in. (183.5 x 47cm),  Classification: Miscellaneous-Paintings,  Credit Line: Rogers Fund 1920,  Accession Number: 20.192.6
tempObjectNumber: 49, Title: Intaglio,  Date: 2nd century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Carnelian,  Dimensions: Other: 3/8 x 3/8 x 1/8 in. (1 x 0.9 x 0.3 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.694
tempObjectNumber: 50, Title: Terracotta hydria: kalpis (water jar),  Attribution: the Washing Painter,  Period: Classical,  Date: ca. 430–420 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H. 12 in. (30.5 cm); diameter 11 1/8 in. (28.2 cm),  Classification: Vases,  Credit Line: Rogers Fund 1919,  Accession Number: 19.192.86
tempObjectNumber: 51, Title: Needle,  Culture: Cypriot,  Medium: Bronze,  Dimensions: Other: 5in. (12.7cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5499
tempObjectNumber: 52, Title: Marble portrait of a young girl,  Period: Flavian,  Date: A.D. 81–96,  Culture: Roman,  Medium: Marble,  Dimensions: H. 12 1/4 in. (31.1 cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1920,  Accession Number: 20.188
tempObjectNumber: 53, Title: Glass jar,  Period: Late Imperial,  Date: 4th–5th century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H.: 3 3/8 in. (8.6 cm),  Classification: Glass,  Credit Line: Bequest of Mary Anna Palmer Draper 1914,  Accession Number: 15.43.174
tempObjectNumber: 54, Title: Bead,  Medium: Clay glazed,  Dimensions: Height: 11/16 x 7/16 in. (1.8 x 1.1 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4543
tempObjectNumber: 55, Title: Terracotta lamp,  Period: Early Imperial,  Date: 1st half of 1st century A.D.,  Culture: Roman,  Medium: Terracotta; mold-made,  Dimensions: Overall: 1 1/4 x 4 3/8 in. (3.2 x 11.1 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1938
tempObjectNumber: 56, Title: Faience button seal,  Period: Late Dynastic–Hellenistic,  Date: 664–30 B.C.,  Culture: Egyptian,  Medium: Clay glazed,  Dimensions: H.: 1 5/16 in. (3.3 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4541
tempObjectNumber: 57, Title: Horse and rider,  Period: Cypro-Archaic II,  Date: ca. 600–480 B.C.,  Culture: Cypriot,  Medium: Terracotta; hand-made,  Dimensions: H. 8 1/2 in. (21.6 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1781
tempObjectNumber: 58, Title: Faience aryballos (perfume vase) in the form of two heads,  Period: Archaic,  Date: 4th quarter of the 6th century B.C.,  Culture: East Greek,  Medium: Faience,  Dimensions: H. 2 1/8 in. (5.4 cm),  Classification: Miscellaneous-Faience,  Credit Line: Bequest of Walter C. Baker 1971,  Accession Number: 1972.118.142
tempObjectNumber: 59, Title: Glass flask,  Period: Late Antique,  Date: 4th–5th century A.D.,  Culture: Roman,  Medium: Glass; blown and trailed,  Dimensions: H.: 4 1/4 in. (10.8 cm),  Classification: Glass,  Credit Line: Bequest of Theodore M. Davis 1915,  Accession Number: 30.115.6
tempObjectNumber: 60, Title: Spindle whorl,  Medium: Faience,  Dimensions: Height: 7/8 x 1 1/8 in. (2.3 x 2.8 cm),  Classification: Miscellaneous-Faience,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5066
tempObjectNumber: 61, Title: Small glass plate with head of Medusa,  Period: Late Imperial,  Date: 3rd century A.D.,  Culture: Roman,  Medium: Glass; cast and cut,  Dimensions: H. 1/2 in. (1.3 cm) diameter 2 in. (5.1 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.238
tempObjectNumber: 62, Title: Terracotta stemmed dish,  Period: Hellenistic,  Date: ca. 330–300 B.C.,  Culture: Greek South Italian Campanian Teano,  Medium: Terracotta; applied color,  Dimensions: diameter  5 1/4in. (13.3cm),  Classification: Vases,  Credit Line: Rogers Fund 1909,  Accession Number: 09.221.46r
tempObjectNumber: 63, Title: Marble portrait of a young woman,  Period: Trajanic,  Date: ca. A.D. 98–117,  Culture: Roman,  Medium: Marble,  Dimensions: H. 14 3/4 in. (37.5 cm),  Classification: Stone Sculpture,  Credit Line: Fletcher Fund 1927,  Accession Number: 27.122.4
tempObjectNumber: 64, Title: Volute-krater fragment,  Period: Late Classical,  Date: ca. 400–350 B.C.,  Culture: Greek South Italian Apulian,  Medium: Terracotta; red-figure/black-glaze,  Dimensions: 6 1/8 x 2 5/8in. (15.5 x 6.7cm),  Classification: Vases,  Credit Line: Rogers Fund 1919,  Accession Number: 19.192.81.68
tempObjectNumber: 65, Title: Intaglio,  Date: 2nd century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Carnelian,  Dimensions: Other: 3/8 x 1/16 in. (1 x 0.2 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.687
tempObjectNumber: 66, Title: Coin,  Medium: Silver,  Dimensions: Diameter: 1 1/8 × 3/16 in. 0.6oz. (2.8 × 0.5 cm 17.44g),  Classification: Coins,  Credit Line: Gift of J. Pierpont Morgan 1905,  Accession Number: 05.44.134
tempObjectNumber: 67, Title: Terracotta dish,  Period: Hellenistic,  Date: ca. 330–300 B.C.,  Culture: Greek South Italian Campanian Teano,  Medium: Terracotta; applied color,  Dimensions: Other: 1 5/8 x 10 1/8 in. (4.1 x 25.7 cm),  Classification: Vases,  Credit Line: Rogers Fund 1909,  Accession Number: 09.221.46d
tempObjectNumber: 68, Title: Alabastron,  Period: Late Classical,  Date: ca. 350–300 B.C.,  Culture: Greek South Italian Apulian,  Medium: Terracotta; red-figure,  Dimensions: Diameter: 2 3/16 × 1 15/16 × 1 11/16 in. (5.5 × 5 × 4.3 cm),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.172
tempObjectNumber: 69, Title: Earrings trumpet-shaped,  Date: 5th–3rd century B.C.,  Culture: Etruscan,  Medium: Gold,  Dimensions: Other (.175): 1 5/16 × 7/16 × 2 1/2 in. (3.4 × 1.2 × 6.3 cm),  Classification: Gold and Silver,  Credit Line: Purchase by subscription 1895,  Accession Number: 95.15.174 .175
tempObjectNumber: 70, Title: Awl,  Culture: Cypriot,  Medium: Bronze,  Dimensions: Other: 3 15/16in. (10cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5339
tempObjectNumber: 71, Title: Chisel,  Culture: Roman,  Medium: Bronze bone,  Dimensions: Other: 3 5/8 in. (9.2 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1917,  Accession Number: 17.230.102
tempObjectNumber: 72, Title: Terracotta bell-krater (bowl for mixing wine and water),  Period: Classical,  Date: ca. 470–450 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: diameter of mouth including rim  17 1/2 in. (44.5 cm),  Classification: Vases,  Credit Line: Rogers Fund 1923,  Accession Number: 23.160.19
tempObjectNumber: 73, Title: Jar,  Medium: Terracotta,  Dimensions: Other (diameter of body): 5 11/16in. (14.5cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.837
