tempObjectNumber: 32, Title: Silver tetradrachm of Antiochos III,  Period: Hellenistic,  Date: ca. 208–200 B.C.,  Culture: Seleucid,  Medium: Silver,  Dimensions: Diameter: 1 1/16 × 1/8 in. 0.6oz. (2.7 × 0.3 cm 16.53g),  Classification: Coins,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.59.14
tempObjectNumber: 33, Title: Bowl,  Culture: East Greek/Sardis Lydian,  Medium: Terracotta,  Dimensions: diameter  5 13/16 in. (14.8 cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Exploration of Sardis 1914,  Accession Number: 14.30.15
tempObjectNumber: 34, Title: Vase fragment,  Culture: Roman,  Medium: Terracotta,  Dimensions: 2 1/8in. (5.4cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.1675
tempObjectNumber: 35, Title: Intaglio,  Medium: Sard,  Dimensions: Other: 3/8 x 1/16 in. (1 x 0.2 cm),  Classification: Gems,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4289
tempObjectNumber: 36, Title: Bracelet,  Period: Geometric,  Date: 9th–8th century B.C.,  Culture: Italic Villanovan,  Medium: Bronze,  Dimensions: Diam.: 3 7/16 in. (8.8 cm),  Classification: Bronzes,  Credit Line: Gift of Mr. and Mrs. Jonathan P. Rosen 1991,  Accession Number: 1991.171.42
tempObjectNumber: 37, Title: Terracotta kylix (drinking cup),  Attribution: the Painter of Brussels R 330,  Period: Classical,  Date: mid-5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H. 4 3/8 in. (11.1 cm); diameter 10 5/8 in. (27 cm),  Classification: Vases,  Credit Line: Rogers Fund 1919,  Accession Number: 19.192.67
tempObjectNumber: 38, Title: Bronze bowl,  Date: 8th century B.C.,  Culture: Cypriot,  Medium: Bronze,  Dimensions: diameter  5 1/4 in. (13.3 cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5700
tempObjectNumber: 39, Title: Terracotta statuette base,  Period: Hellenistic,  Date: 3rd century B.C.,  Culture: Greek South Italian Tarentine,  Medium: Terracotta,  Dimensions: Diameter: 3 7/8 in. (9.8 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1911,  Accession Number: 11.212.38
tempObjectNumber: 40, Title: Intaglio,  Medium: Sard,  Dimensions: Other: 3/8 x 5/16 x 1/8 in. (1 x 0.9 x 0.4 cm),  Classification: Gems,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4288
tempObjectNumber: 41, Title: Bronze statuette of a human figure,  Period: Archaic,  Date: late 6th–early 4th century B.C.,  Culture: Italic Umbrian,  Medium: Bronze,  Dimensions: H.: 1 13/16 x 3/4 in. (4.6 x 1.9 cm),  Classification: Bronzes,  Credit Line: Gift of James David Draper 2007,  Accession Number: 2007.93.2
