tempObjectNumber: 1, Title: Lead figure of a horseman,  Period: Archaic,  Date: 6th–5th century B.C.,  Culture: Greek Laconian,  Medium: Lead,  Classification: Miscellaneous-Lead,  Credit Line: Gift of A. J. B. Wace 1924,  Accession Number: 24.195.101
tempObjectNumber: 20, Title: Standing female tambourine player,  Period: Cypro-Archaic II,  Date: ca. 600–480 B.C.,  Culture: Cypriot,  Medium: Terracotta; wheel-made and hand-made,  Dimensions: H. 4 3/8 in. (11.1 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1678
tempObjectNumber: 21, Title: Marble head of a bearded man,  Period: Imperial,  Date: 2nd century A.D.,  Culture: Roman,  Medium: Marble,  Dimensions: H. 12 3/16 in. (31 cm),  Classification: Stone Sculpture,  Credit Line: Marguerite and Frank A. Cosgrove Jr. Fund 1993,  Accession Number: 1993.342
tempObjectNumber: 22, Title: Aryballos in the form of a foot with shoe,  Date: 4th century B.C.,  Culture: Greek Attic,  Medium: Terracotta,  Dimensions: Other: 2 7/8 × 1 3/8 × 3 13/16 × 1 1/16 in. (7.3 × 3.6 × 9.7 × 2.6 cm),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.25
tempObjectNumber: 23, Title: Terracotta kylix: Komast cup (drinking cup),  Attribution: the manner of the KX Painter Attributed to the Painter of New York 22.139.22,  Period: Archaic,  Date: ca. 580–570 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: diameter  8 1/4 in. (21 cm),  Classification: Vases,  Credit Line: Rogers Fund 1922,  Accession Number: 22.139.22
tempObjectNumber: 24, Title: Fibula,  Culture: Cypriot,  Medium: Bronze,  Dimensions: Other: 1 1/8in. (2.8cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5561
tempObjectNumber: 25, Title: Terracotta olpe (one-handled jug),  Period: Hellenistic,  Date: early 3rd century B.C.,  Culture: Etruscan,  Medium: Terracotta,  Dimensions: H. 3 15/16 in. (10 cm),  Classification: Vases,  Credit Line: Rogers Fund 1903,  Accession Number: 03.24.29
tempObjectNumber: 26, Title: Glass bowl with cut decoration,  Period: Mid–Late Imperial,  Date: 2nd–3rd century A.D.,  Culture: Roman,  Medium: Glass; blown trailed and cut,  Dimensions: Diam.: 3 7/8 in. (9.8 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.242
tempObjectNumber: 27, Title: Plate,  Culture: Roman,  Medium: Terracotta,  Dimensions: Diam. of foot: 4 1/16 in. (10.3 cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.1883
tempObjectNumber: 28, Title: Statuette of a woman,  Culture: Greek,  Medium: Terracotta,  Dimensions: Height: 7 3/8 in. (18.7 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1907,  Accession Number: 07.286.17
tempObjectNumber: 29, Title: Pendant in the form of a Gorgoneion eye charm,  Medium: Gold,  Dimensions: Other: 1/4 x 9/16 x 1/16 in. (0.6 x 1.4 x 0.2 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3644
tempObjectNumber: 30, Title: Bronze portrait bust of a man,  Period: Late Imperial,  Date: 1st half of the 3rd century A.D.,  Culture: Roman,  Medium: Bronze,  Dimensions: H. 8 3/4 in. (22.2 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1913,  Accession Number: 13.225.1
tempObjectNumber: 31, Title: Pin,  Medium: Silver,  Dimensions: Other: 2 5/16 × 7/8 in. (5.9 × 2.2 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3588
tempObjectNumber: 32, Title: Bronze statuette of a goddess,  Period: Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Bronze,  Dimensions: H. 2 7/8 in. (7.3 cm),  Classification: Bronzes,  Credit Line: Purchase 1896,  Accession Number: 96.9.390
tempObjectNumber: 33, Title: Bronze statuette of Herakles,  Period: Archaic,  Date: ca. 500–475 B.C.,  Culture: Etruscan Cività Castellana,  Medium: Bronze,  Dimensions: Diam.: 3 1/16 in. (7.8 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1912,  Accession Number: 12.229.4
tempObjectNumber: 34, Title: Fibula,  Culture: Cypriot,  Medium: Bronze,  Dimensions: Other: 1 9/16in. (4cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5551
tempObjectNumber: 35, Title: Lamp,  Date: 1st century B.C.–1st century A.D.,  Medium: Terracotta,  Dimensions: Overall: 1 1/8 x 3 1/8 in. (2.9 x 7.9 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2016
tempObjectNumber: 36, Title: Lamp,  Culture: Roman Cypriot,  Medium: Terracotta,  Dimensions: Overall: 1 x 3 7/8 in. (2.5 x 9.8 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2189
tempObjectNumber: 37, Title: Neck-amphora,  Period: Archaic,  Date: 2nd half of 6th century B.C.,  Culture: Etruscan,  Medium: Terracotta,  Dimensions: Overall: 20in. (50.8cm),  Classification: Vases,  Credit Line: Purchase 1896,  Accession Number: 96.9.138
tempObjectNumber: 38, Title: Beads 11,  Medium: Glass,  Dimensions: Diameter (largest bead): 3/8 in. (0.9 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.1069
tempObjectNumber: 39, Title: Marble statuette of young Dionysos,  Period: Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Marble,  Dimensions: H.: 15 in. (38.1 cm),  Classification: Stone Sculpture,  Credit Line: Gift of Edward Klagsbrun and Joan Saslow in memory of Dr. Henny Durst 2011,  Accession Number: 2011.517
tempObjectNumber: 40, Title: Marbled glass perfume bottle,  Period: Early Imperial,  Date: early to mid-1st century A.D.,  Culture: Roman,  Medium: Glass; blown trailed and marvered,  Dimensions: 2 3/8 x 1 5/16in. (6.1 x 3.4cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.195
tempObjectNumber: 41, Title: Steatite bowl,  Period: Middle Minoan I,  Date: ca. 2200–1900 B.C.,  Culture: Minoan,  Medium: Steatite,  Dimensions: H. 1 7/8 in. (4.8 cm); Diameter 3 5/8 in. (9.2 cm),  Classification: Miscellaneous-Stone Vases,  Credit Line: The Cesnola Collection by exchange 1914,  Accession Number: 14.89.15
tempObjectNumber: 42, Title: Vase fragment,  Period: Early Minoan II possibly,  Culture: Minoan,  Medium: Terracotta,  Dimensions: Diam. of rim: 1 7/8 in. (4.8 cm),  Classification: Vases,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.158
tempObjectNumber: 43, Title: Terracotta conical lekythos-oinochoe (combination oil flask and jug),  Period: Geometric,  Date: late 8th century B.C.–early 7th century B.C.,  Culture: Greek Attic,  Medium: Terracotta,  Dimensions: H. 8 1/8 in. (20.7 cm),  Classification: Vases,  Credit Line: Fletcher Fund 1936,  Accession Number: 36.11.9
tempObjectNumber: 44, Title: Statuette of a girl,  Period: Hellenistic,  Date: 3rd century B.C.,  Culture: Greek Boeotian,  Medium: Terracotta,  Dimensions: H.: 7 13/16 in. (19.8 cm),  Classification: Terracottas,  Credit Line: Fletcher Fund 1925,  Accession Number: 25.78.23
tempObjectNumber: 45, Title: Glass alabastron (perfume bottle),  Period: Late Classical or Hellenistic,  Date: mid-4th–early 3rd century B.C.,  Culture: Greek Eastern Mediterranean or Italian,  Medium: Glass; core-formed Group II,  Dimensions: H.: 3 3/8 in. (8.6 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1376
tempObjectNumber: 46, Title: Carnelian Carinated Amygdaloid,  Period: Middle Minoan III–Late Minoan I,  Date: ca. 1650–1500 B.C.,  Culture: Minoan,  Medium: Carnelian,  Dimensions: Other: 7/8 in. (2.3 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.176
tempObjectNumber: 47, Title: Grave stele of Poseidonios,  Culture: Cypriot,  Medium: Marble,  Dimensions: Overall: 12 1/2 x 13 x 4 1/4 in. (31.8 x 33 x 10.8 cm),  Classification: Cesnola Inscriptions,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2399
tempObjectNumber: 48, Title: Limestone disk with geometric decoration,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 8 1/16 x 1/2 in. (20.5 x 1.3 cm),  Classification: Miscellaneous-Stone,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5182
tempObjectNumber: 49, Title: Handle attachment for a bowl,  Date: 8th–7th century B.C.,  Culture: Cypriot,  Medium: Bronze,  Dimensions: Other: 4 1/8in. (10.5cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5444
tempObjectNumber: 50, Title: Terracotta pyxis (box),  Attribution: the Wedding Painter,  Period: Classical,  Date: ca. 460–450 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H. with cover  4 5/8 in. (11.8 cm); H. without cover  3 3/8 in. (8.5 cm); greatest diameter of body  4 15/16 in. (12.5 cm),  Classification: Vases,  Credit Line: Fletcher Fund 1939,  Accession Number: 39.11.8a b
tempObjectNumber: 51, Title: Pendant: animal head,  Period: Classical,  Date: 5th century B.C.,  Culture: Italic,  Medium: Amber,  Dimensions: Other: 1 5/8 x 1 3/8 x 1 15/16 in. (4.2 x 3.4 x 4.9 cm),  Classification: Miscellaneous-Amber,  Credit Line: Purchase Renée E. and Robert A. Belfer Patti Cadby Birch and The Joseph Rosen Foundation Inc. Gifts and Harris Brisbane Dick Fund 1992,  Accession Number: 1992.11.12
tempObjectNumber: 52, Title: Gold pin,  Period: Classical,  Date: 5th century B.C.,  Culture: Etruscan,  Medium: Gold,  Dimensions: Other: 2 1/8 in. (5.4 cm),  Classification: Gold and Silver,  Credit Line: Purchase by subscription 1895,  Accession Number: 95.15.281
tempObjectNumber: 53, Title: Bronze horse bit,  Period: Geometric,  Date: 8th–7th century B.C.,  Culture: Villanovan,  Medium: Bronze,  Dimensions: Other: 8 1/2 in. (21.6 cm),  Classification: Bronzes,  Credit Line: Bequest of Walter C. Baker 1971,  Accession Number: 1972.118.50
tempObjectNumber: 54, Title: Pinhead,  Culture: Roman,  Medium: Glass,  Dimensions: Height: 1/2 x 15/16 in. (1.2 x 2.5 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.543
tempObjectNumber: 55, Title: Terracotta oinochoe: chous (jug),  Attribution: the Meidias Painter,  Period: Classical,  Date: ca. 420–410 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: diameter  7 1/16 in. (17.9 cm),  Classification: Vases,  Credit Line: Gift of Samuel G. Ward 1875,  Accession Number: 75.2.11
tempObjectNumber: 56, Title: Bronze statuette of Herakles,  Period: Hellenistic,  Date: 3rd–1st century B.C.,  Culture: Italic,  Medium: Bronze,  Dimensions: H.: 4 1/4 in. (10.8 cm),  Classification: Bronzes,  Credit Line: Purchase 1896,  Accession Number: 96.9.424
tempObjectNumber: 57, Title: Terracotta mold with ivy leaves and berries,  Period: Hellenistic,  Date: ca. 150–50 B.C.,  Culture: Greek Pergamene,  Medium: Terracotta,  Dimensions: width  1 11/16in. (4.3cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.2040
tempObjectNumber: 58, Title: Toy in the form of a male(?) figure,  Period: Cypro-Archaic II,  Date: ca. 600–480 B.C.,  Culture: Cypriot,  Medium: Terracotta; hand-made,  Dimensions: length  6 3/16 in. (15.7 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1646
tempObjectNumber: 59, Title: Glass amphoriskos with vertical ribs,  Period: Early to Mid Imperial,  Date: 1st–early 2nd century A.D.,  Culture: Roman,  Medium: Glass; mold-blown,  Dimensions: H.: 2 5/8 in. (6.7 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.247
tempObjectNumber: 60, Title: Terracotta krater (mixing bowl),  Period: Archaic,  Date: ca. 550 B.C.,  Culture: Etruscan,  Medium: Terracotta; bucchero pesante,  Dimensions: H. of bowl  9 3/16 in. (23.4 cm),  Classification: Vases,  Credit Line: Purchase 1896,  Accession Number: 96.9.167
tempObjectNumber: 61, Title: Terracotta hydria (water jar),  Period: Hellenistic,  Date: ca. 330–300 B.C.,  Culture: Greek South Italian Apulian,  Medium: Terracotta; black-glaze,  Dimensions: H. 28 5/8 in. (72.7 cm),  Classification: Vases,  Credit Line: Rogers Fund 1909,  Accession Number: 09.221.46a
tempObjectNumber: 62, Title: Bead ornaments in the form of female head,  Period: Classical,  Date: 6th–5th century B.C.,  Culture: Greek,  Medium: Electrum,  Dimensions: Other: 7/16 × 7/16 × 1/8 in. (1.1 × 1.2 × 0.4 cm),  Classification: Gold and Silver,  Credit Line: Purchase 1898,  Accession Number: 98.11.54
tempObjectNumber: 63, Title: Intaglio,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Carnelian,  Dimensions: Other: 3/8 x 1/2 x 1/16 in. (1 x 1.2 x 0.2 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.968
tempObjectNumber: 64, Title: Beads 20,  Medium: Glass,  Dimensions: Diameter (largest bead): 9/16 in. (1.4 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.700
tempObjectNumber: 65, Title: Jasper intaglio: Seated Serapis on crocodile,  Period: Imperial,  Date: 2nd century A.D.,  Culture: Roman,  Medium: Jasper green,  Dimensions: Other: 3/4 x 9/16 x 1/16 in. (1.9 x 1.4 x 0.2 cm),  Classification: Gems,  Credit Line: Gift of Miss Helen Miller Gould 1910,  Accession Number: 10.130.1390
tempObjectNumber: 66, Title: Lekythos,  Attribution: the Group of London E 614,  Period: Classical,  Date: late 5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: Height: 3 3/8 in. (8.6 cm),  Classification: Vases,  Credit Line: Gift of L. P. di Cesnola 1876,  Accession Number: 76.12.10
tempObjectNumber: 67, Title: Lamp,  Culture: Roman Cypriot,  Medium: Terracotta,  Dimensions: Overall: 1 1/4 x 3 in. (3.2 x 7.6 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2246
tempObjectNumber: 68, Title: Carnelian ring stone,  Period: Hellenistic,  Date: 3rd–2nd century B.C.,  Culture: Italic,  Medium: Sard,  Dimensions: Length: 9/16 in. (1.5 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.21
tempObjectNumber: 69, Title: Carnelian scarab,  Period: Late Classical or Hellenistic,  Date: 4th–3rd century B.C.,  Culture: Etruscan,  Medium: Carnelian,  Dimensions: H.: 11/16 x 5/8 in. (1.7 x 1.6 cm),  Classification: Gems,  Credit Line: Funds from various donors 1919,  Accession Number: 19.58
tempObjectNumber: 70, Title: Glass compound eye bead,  Period: Classical,  Date: ca. 4th century B.C.,  Culture: Greek Eastern Mediterranean,  Medium: Glass; rod-formed,  Dimensions: 13/16 × 1 1/16 in. (2.1 × 2.6 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.729
tempObjectNumber: 71, Title: Bronze tweezers,  Period: Early Minoan II-Late Minoan III,  Date: ca. 2900–1050 B.C.,  Culture: Minoan,  Medium: Bronze,  Dimensions: L. 2 /38 in. (6 cm),  Classification: Bronzes,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.487
tempObjectNumber: 72, Title: Beads 23,  Period: Archaic or Classical,  Date: 6th–5th century B.C.,  Culture: Greek or Etruscan,  Medium: Gold foil,  Dimensions: Diameter (smallest bead): 3/16 in. (0.5 cm),  Classification: Gold and Silver,  Credit Line: Gift of Mr. and Mrs. Jonathan P. Rosen 1992,  Accession Number: 1992.266.25a–y
tempObjectNumber: 73, Title: Intaglio,  Culture: Roman,  Medium: Chalcedony,  Dimensions: Other: 1/2 x 1/8 in. (1.2 x 0.3 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.819
tempObjectNumber: 74, Title: Glass beaker with inscription,  Period: Early Imperial Julio-Claudian,  Date: 1st half of 1st century A.D.,  Culture: Roman Syrian,  Medium: Glass; blown in a three-part mold,  Dimensions: H.: 3 1/4 in. (8.3 cm),  Classification: Glass,  Credit Line: Bequest of George D. Pratt 1936,  Accession Number: 37.128.10
tempObjectNumber: 75, Title: Alabaster alabastron (perfume vase),  Period: Archaic or Classical,  Date: 6th–5th century B.C.,  Culture: Greek Attic,  Medium: Alabaster,  Dimensions: diameter of mouth  2 in. (5.1 cm),  Classification: Miscellaneous-Stone Vases,  Credit Line: Purchase Helen H. Mertens Gift 1981,  Accession Number: 1981.11.2
tempObjectNumber: 76, Title: Vase fragment,  Period: Middle Helladic,  Date: ca. 2000–1600 B.C.,  Culture: Aegean,  Medium: Terracotta,  Dimensions: length  2 7/16in. (6.2cm),  Classification: Vases,  Credit Line: Anonymous Gift 1930,  Accession Number: 30.119.109
tempObjectNumber: 77, Title: Ornaments 4,  Culture: Greek Laconian,  Medium: Lead,  Classification: Miscellaneous-Lead,  Credit Line: Gift of A. J. B. Wace 1924,  Accession Number: 24.195.150
tempObjectNumber: 78, Title: Gold earring with winged figure (one of a pair),  Period: Hellenistic,  Date: 1st century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: H.: 13/16 in. (2 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3505
tempObjectNumber: 79, Title: Gold earring with pearl pendant,  Period: Imperial,  Date: 1st‒2nd century A.D.,  Culture: Roman,  Medium: Gold,  Dimensions: Other: 9/16 x 1/4 x 15/16 in. (1.5 x 0.6 x 2.4 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3793
tempObjectNumber: 80, Title: Carnelian scaraboid,  Period: Archaic,  Date: early 5th century B.C.,  Culture: Greek,  Medium: Carnelian gold,  Classification: Gems,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4220
tempObjectNumber: 81, Title: Bowl,  Period: Archaic or Classical,  Date: 6th–5th century B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: H.: 2 x 12 1/16 in. (5.1 x 30.6 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1923,  Accession Number: 23.160.100
tempObjectNumber: 82, Title: Chalcedony head of a youth,  Period: Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Chalcedony,  Dimensions: H.: 1 in. (2.5 cm),  Classification: Gems,  Credit Line: Rogers Fund 1921,  Accession Number: 21.88.50
tempObjectNumber: 83, Title: Ring with scarab,  Medium: Silver steatite electrum,  Dimensions: Diam. (ring diameter): 1 1/16 in. (2.7 cm),  Classification: Gems,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4184
tempObjectNumber: 84, Title: Silver statuette of Herakles,  Period: Hellenistic,  Date: 3rd–2nd century B.C.,  Culture: Greek,  Medium: Silver,  Dimensions: H.: 1 15/16 in. (5 cm),  Classification: Gold and Silver,  Credit Line: Rogers Fund 1911,  Accession Number: 11.91.2
tempObjectNumber: 85, Title: Bronze phiale (libation bowl),  Period: Late Classical,  Date: 4th century B.C.,  Culture: Greek,  Medium: Bronze,  Classification: Bronzes,  Credit Line: Rogers Fund 1989,  Accession Number: 1989.11.7
tempObjectNumber: 86, Title: Glass perfume bottle,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Diam.: 2 3/4 x 3/4 in. (7 x 1.9 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5770
tempObjectNumber: 87, Title: Miniature bronze greave,  Medium: Bronze,  Dimensions: H.: 2 1/2 in. (6.4 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1921,  Accession Number: 21.88.99
tempObjectNumber: 88, Title: Amphora,  Period: Cypro-Archaic I,  Date: 750–600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 20 3/16in. (51.3cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.981
tempObjectNumber: 89, Title: Terracotta guttus (flask with handle and vertical spout),  Period: Hellenistic,  Date: late 4th century B.C.,  Culture: Greek South Italian Campanian,  Medium: Terracotta,  Dimensions: diameter  3 3/4 in. (9.5 cm),  Classification: Vases,  Credit Line: Rogers Fund 1912,  Accession Number: 12.232.7
tempObjectNumber: 90, Title: Terracotta stamnos (jar),  Attribution: the Altamura Painter,  Period: Classical,  Date: ca. 470 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H. 15 3/16 in. (38.5 cm); diameter mouth  9 7/16 in. (24 cm); diameter foot  7 1/4 in. (18.5 cm),  Classification: Vases,  Credit Line: Fletcher Fund 1956,  Accession Number: 56.171.51
