tempObjectNumber: 36, Title: Pyxis,  Period: Classical,  Date: late 5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: Height: 3/8 in. (1 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.154a b
tempObjectNumber: 37, Title: Terracotta amphora (jar),  Attribution: the Princeton Painter,  Period: Archaic,  Date: ca. 500–490 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: diameter of foot  5 15/16 in. (15.1 cm),  Classification: Vases,  Credit Line: Fletcher Fund 1956,  Accession Number: 56.171.9
tempObjectNumber: 38, Title: Vase fragment,  Culture: Roman,  Medium: Terracotta,  Dimensions: 1 3/4in. (4.5cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.1676
tempObjectNumber: 39, Title: Skyphos,  Attribution: the manner of the Haimon Painter,  Period: Classical,  Date: ca. 480 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: Diam. of foot: 4 3/8 in. (11.1 cm),  Classification: Vases,  Credit Line: Gift of Newton Lamson 1981,  Accession Number: 1981.370
tempObjectNumber: 40, Title: Fragment of a terracotta kylix (drinking cup),  Period: Archaic or Classical,  Date: late 6th or early 5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: Other: 1 x 1 5/8 x 15/16 in. (2.5 x 4.2 x 2.4 cm),  Classification: Vases,  Credit Line: Gift of the Honorable Iris Cornelia Love 2011,  Accession Number: 2011.603.24
tempObjectNumber: 41, Title: Marble portrait bust of a man,  Period: Early Imperial Flavian,  Date: ca. A.D. 69–79,  Culture: Roman,  Medium: Marble,  Dimensions: Overall: 13 x 9 1/2 x 8 1/2 in. (33 x 24.1 x 21.6 cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1915,  Accession Number: 15.144
tempObjectNumber: 42, Title: Terracotta vessel,  Period: Late Bronze Age,  Date: ca. 1600 B.C.,  Culture: Egyptian,  Medium: Terracotta,  Dimensions: H. 6 5/16 in. (16 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1230
tempObjectNumber: 43, Title: Statuette of a girl,  Period: Hellenistic,  Date: ca. 300 B.C.,  Culture: Greek Attic,  Medium: Terracotta,  Dimensions: H.: 4 3/4 in. (12.1 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1907,  Accession Number: 07.286.25
tempObjectNumber: 44, Title: Ribbed glass bowl,  Period: Early Imperial,  Date: late 1st century B.C.–mid 1st century A.D.,  Culture: Roman,  Medium: Glass; cast tooled and cut,  Dimensions: Diam.: 6 1/4 in. (15.9 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1312
tempObjectNumber: 45, Title: Bronze serpentine-type fibula (safety pin) with two rings,  Period: Geometric,  Date: 9th century B.C.,  Culture: Villanovan,  Medium: Bronze,  Dimensions: Other: 3 11/16 in. (9.4 cm),  Classification: Bronzes,  Credit Line: Purchase 1896,  Accession Number: 96.9.325
tempObjectNumber: 46, Title: Alabaster alabastron (perfume vase),  Period: Classical,  Date: 5th–4th century B.C.,  Culture: Cypriot,  Medium: Calcite (alabaster),  Dimensions: H. 6 7/16 x 2 1/8 in. (16.4 x 5.4 cm),  Classification: Miscellaneous-Stone Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5097
tempObjectNumber: 47, Title: Vase fragment,  Culture: Roman,  Medium: Terracotta; lead-glazed,  Dimensions: H. 8.31 cm.,  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.1733
tempObjectNumber: 48, Title: Bracelet,  Period: Late Classical,  Date: 4th century B.C.,  Culture: Greek,  Medium: Gold carbuncle,  Dimensions: Other (centeral setting): 1 1/8 × 7/16 × 1 3/8 in. (2.8 × 1.2 × 3.5 cm),  Classification: Gold and Silver,  Credit Line: Purchase Joseph Pulitzer Bequest 1945,  Accession Number: 45.11.8
tempObjectNumber: 49, Title: Terracotta oil lamp,  Period: Early Imperial,  Date: 2nd half of 1st century A.D.,  Culture: Roman,  Medium: Terracotta; mold-made,  Dimensions: 1 1/8 x 5 in.  (2.9 x 12.7 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.291
tempObjectNumber: 50, Title: Pinhead,  Date: 1st century B.C.–5th century A.D.,  Culture: Roman,  Medium: Glass,  Dimensions: Height: 3/8 x 11/16 in. (1 x 1.8 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.604
tempObjectNumber: 51, Title: Seal,  Culture: Minoan Crete,  Medium: Steatite,  Dimensions: Other: 7/16 x 9/16 in. (1.1 x 1.4 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.154
tempObjectNumber: 52, Title: Gold earring with disc and pendant,  Period: Mid Imperial,  Date: 2nd century A.D.,  Culture: Roman,  Medium: Gold,  Dimensions: Other: 7/8 in. (2.3 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3746
tempObjectNumber: 53, Title: Arretine ware fragment,  Culture: Roman,  Medium: Terracotta,  Dimensions: 1 1/4 × 1 3/4 × 3/8 in. (3.2 × 4.4 × 0.9 cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.1928
tempObjectNumber: 54, Title: Ball sling,  Period: Punic,  Culture: Carthaginian,  Medium: Clay,  Classification: Miscellaneous-Clay,  Credit Line: Gift of Homer E. McKittrick 1922,  Accession Number: 22.20.2
tempObjectNumber: 55, Title: Bowl,  Period: Hellenic,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: diameter of mouth  9 5/8 in. (24.5 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.600
tempObjectNumber: 56, Title: Terracotta plaque,  Period: Augustan or Julio-Claudian,  Date: 27 B.C.–A.D. 68,  Culture: Roman,  Medium: Terracotta,  Dimensions: Overall: 17 3/4 x 19 7/16 x 1 3/4 in. (45.1 x 49.4 x 4.4 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1912,  Accession Number: 12.232.8b
tempObjectNumber: 57, Title: Phiale or patera,  Medium: Silver,  Dimensions: 1 3/4 × 6 3/8 in. (4.4 × 16.2 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4576
tempObjectNumber: 58, Title: Fibula,  Culture: Greek Cypriot,  Medium: Bronze,  Dimensions: Other: 4 1/2in. (11.4cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5541
tempObjectNumber: 59, Title: Juglet,  Period: Cypro-Classical I,  Date: 480–400 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 6 5/8in. (16.8cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.411
tempObjectNumber: 60, Title: Glass double cosmetic flask (kohl tube),  Period: Late Imperial,  Date: 4th–5th century A.D.,  Culture: Roman,  Medium: Glass; blown and trailed,  Dimensions: H.: 5 1/4 in. (13.3 cm),  Classification: Glass,  Credit Line: Bequest of Theodore M. Davis 1915,  Accession Number: 30.115.75
tempObjectNumber: 61, Title: Glass amphoriskos (perfume flask),  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown in a two-part mold,  Dimensions: H.: 3 3/16 in. (8.1 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1356
tempObjectNumber: 62, Title: Terracotta lekythos (oil flask),  Attribution: the Painter of Berlin 2464,  Period: Classical,  Date: ca. 420–410 B.C.,  Culture: Greek Attic,  Medium: Terracotta; white-ground,  Dimensions: H.: 16 1/4 in. (41.3 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.136
tempObjectNumber: 63, Title: Marble Amygdaloid,  Period: Middle Minoan III–Late Minoan I,  Date: ca. 1650–1500 B.C.,  Culture: Minoan,  Medium: Marble,  Dimensions: Other: 7/8 in. (2.2 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.204
tempObjectNumber: 64, Title: Bronze handle,  Period: Classical,  Date: 5th century B.C.,  Culture: Greek,  Medium: Bronze,  Dimensions: Other: 6 9/16 in. (16.7 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1968,  Accession Number: 68.11.2
