tempObjectNumber: 1, Title: Kylix fragment,  Attribution: Douris,  Period: Late Archaic,  Date: early 5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: greatest dim.  6.17 cm.,  Classification: Vases,  Credit Line: Gift of Dietrich von Bothmer 1973,  Accession Number: 1973.175.7
tempObjectNumber: 37, Title: Needle,  Culture: Cypriot,  Medium: Bronze,  Dimensions: Other: 3 13/16in. (9.7cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5496
tempObjectNumber: 38, Title: Vase base and top of stand,  Medium: Bronze,  Dimensions: Other (.c): 3/16 x 1 3/8 in. (0.5 x 3.4 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1918,  Accession Number: 18.145.18b c
tempObjectNumber: 39, Title: Terracotta tripod pyxis (box),  Period: Early Corinthian,  Date: ca. 620–590 B.C.,  Culture: Greek Corinthian,  Medium: Terracotta,  Dimensions: H. of vase  2 5/8 in. (6.7 cm); H. of vase with cover  4 3/4 in. (12.1 cm); H. of cover : 2 5/16 in. (5.9 cm),  Classification: Vases,  Credit Line: Rogers Fund 1922,  Accession Number: 22.139.4a b
tempObjectNumber: 40, Title: Terracotta neck-amphora (jar) with twisted handles,  Attribution: the Suessula Painter,  Period: Classical,  Date: ca. 400 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: diameter  6 3/4 in. (17.2 cm),  Classification: Vases,  Credit Line: Rogers Fund 1917,  Accession Number: 17.46.1
tempObjectNumber: 41, Title: Vase fragment,  Culture: Etruscan,  Medium: Terracotta,  Dimensions: Overall: 2 3/16 x 1 13/16in. (5.5 x 4.6cm),  Classification: Vases,  Credit Line: Rogers Fund 1916,  Accession Number: 16.174.34.8
tempObjectNumber: 42, Title: Standing male lyre player,  Period: Cypro-Archaic I,  Date: ca. 750–600 B.C.,  Culture: Cypriot,  Medium: Terracotta; wheel-made and hand-made,  Dimensions: H. 4 13/16 in. (12.2 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1667
tempObjectNumber: 43, Title: Bowl,  Period: Cypro-Archaic II,  Date: 600–480 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: Other: 8 13/16in. (22.4cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.994
tempObjectNumber: 44, Title: Cup toy,  Culture: Etruscan,  Medium: Terracotta,  Dimensions: Diameter: 1 5/16 × 13/16 in. (3.3 × 2.1 cm),  Classification: Vases,  Credit Line: Purchase 1896,  Accession Number: 96.9.209
tempObjectNumber: 45, Title: Terracotta Nolan neck-amphora (jar),  Attribution: the Loeb Painter,  Period: Classical,  Date: ca. 440–430 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H.: 13 in. (33 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.118
tempObjectNumber: 46, Title: Mosaic glass bowl,  Period: Hellenistic or Early Imperial,  Date: 2nd–1st century B.C.,  Culture: Greek or Roman,  Medium: Glass; cast,  Dimensions: diameter  4 11/16in. (11.9cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1399
