tempObjectNumber: 40, Title: Kylix Fragments,  Attribution: the Antiphon Painter,  Period: Classical,  Date: ca. 480 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Classification: Vases,  Credit Line: Purchase David Geller and Stuart Tray Gifts 1982,  Accession Number: 1982.11.3
tempObjectNumber: 41, Title: Glass jug,  Period: Imperial,  Date: 1st–3rd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Diam.: 1 x 2 1/4 in. (2.5 x 5.7 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.111
tempObjectNumber: 42, Title: Ring,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Carnelian gold,  Dimensions: Other: 7/8 x 11/16 x 5/16 in. (2.2 x 1.8 x 0.9 cm),  Classification: Gems,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4242
tempObjectNumber: 43, Title: Terracotta statuette of draped seated boy wearing a thick wreath,  Period: Hellenistic,  Date: late 4th–early 3rd century B.C.,  Culture: Greek Boeotian,  Medium: Back venting: back moldmade detailed not vented open underneath.,  Dimensions: H. 3 7/8 in. (9.9 cm),  Classification: Terracottas,  Credit Line: Fletcher Fund 1926,  Accession Number: 26.60.24
tempObjectNumber: 44, Title: Intaglio,  Culture: Roman,  Medium: Carnelian,  Dimensions: Other: 9/16 x 3/8 x 1/8 in. (1.4 x 1 x 0.3 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.801
tempObjectNumber: 45, Title: Vase fragment,  Period: Neolithic first period,  Date: ca. 4000–3000 B.C.,  Culture: Neolithic Hagiorgetika,  Medium: Terracotta,  Dimensions: length  2 1/4in. (5.8cm),  Classification: Vases,  Credit Line: Anonymous Gift 1930,  Accession Number: 30.119.79
tempObjectNumber: 46, Title: Glass bead,  Medium: Glass; rod-formed and trailed,  Dimensions: diameter  3/4 in. (1.9 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1
tempObjectNumber: 47, Title: Terracotta aryballos (oil flask),  Period: Protocorinthian,  Date: late 8th–early 7th century B.C.,  Culture: Greek Corinthian,  Medium: Terracotta,  Dimensions: H. 2 9/16 in. (6.5 cm),  Classification: Vases,  Credit Line: Rogers Fund 1922,  Accession Number: 22.139.88
tempObjectNumber: 48, Title: Juglet,  Period: Cypro-Archaic,  Date: 750–480 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H. 11.0 cm,  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.954
tempObjectNumber: 49, Title: Lamp,  Date: 1st century B.C.–1st century A.D.,  Medium: Terracotta,  Dimensions: Overall: 7/8 x 3 5/8 in. (2.2 x 9.2 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2052
tempObjectNumber: 50, Title: Gold bracelet in the form of a snake,  Period: Early Hellenistic,  Date: ca. 300–250 B.C.,  Culture: Greek Ptolemaic,  Medium: Gold,  Classification: Gold and Silver,  Credit Line: Gift of Norbert Schimmel 1988,  Accession Number: 1988.22
tempObjectNumber: 51, Title: Gold amphoriskos (oil flask) with inlaid garnets,  Period: Hellenistic,  Date: 3rd century B.C.,  Culture: Greek,  Medium: Gold and garnet,  Dimensions: H. 2 5/16 in. (5.9 cm); diameter 1 in. (2.5 cm),  Classification: Gold and Silver,  Credit Line: Gift of Mr. and Mrs. Stephen Kellen 1999,  Accession Number: 1999.289.9
tempObjectNumber: 52, Title: Volute-krater fragment,  Period: Late Classical,  Date: ca. 360–340 B.C.,  Culture: Greek South Italian Apulian,  Medium: Terracotta; red-figure,  Dimensions: 2 9/16 x 2 1/4in. (6.5 x 5.7cm),  Classification: Vases,  Credit Line: Rogers Fund 1919,  Accession Number: 19.192.81.33
tempObjectNumber: 53, Title: Fragments of a terracotta relief with a rider leading a horse,  Period: Archaic,  Date: 6th century B.C.,  Culture: Greek Sicilian,  Medium: Terracotta,  Dimensions: Overall (B): 6 3/8 x 5 7/8 in. (16.2 x 14.9 cm),  Classification: Terracottas,  Credit Line: Fletcher Fund 1924,  Accession Number: 24.97.1a b
tempObjectNumber: 54, Title: Lamp,  Period: Hellenistic or Early Imperial,  Date: 1st century B.C.–1st century A.D.,  Culture: Greek or Roman,  Medium: Terracotta,  Dimensions: Overall: 1 1/4 x 3 7/8 in. (3.2 x 9.8 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1980
tempObjectNumber: 55, Title: Fragment of a terracotta plaque,  Period: Archaic,  Date: 7th century B.C.,  Culture: Greek Cretan,  Medium: Terracotta,  Dimensions: 2 3/4 in. x 1 7/8 in. (6.9 cm x 4.7 cm),  Classification: Terracottas,  Credit Line: Gift of the Archaeological Institute of America 1953,  Accession Number: 53.5.16
tempObjectNumber: 56, Title: Terracotta amphora with lid (jar),  Period: Late Classical,  Date: 4th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-glaze,  Dimensions: H. with cover  25 1/8 in. (63.8 cm),  Classification: Vases,  Credit Line: Rogers Fund 1915,  Accession Number: 15.169a b
tempObjectNumber: 57, Title: Statuette of a woman,  Period: Hellenistic,  Date: 3rd century B.C.,  Culture: Greek South Italian,  Medium: Terracotta,  Dimensions: H. 7 3/4 in. (19.7 cm),  Classification: Terracottas,  Credit Line: Purchase 1901,  Accession Number: 01.14.16
tempObjectNumber: 58, Title: Vase fragment,  Culture: Roman,  Medium: Terracotta,  Dimensions: 3 3/4in. (9.6cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.1688
tempObjectNumber: 59, Title: Two terracotta roundels with theatrical masks,  Period: Hellenistic,  Date: 1st century B.C.,  Culture: Greek,  Medium: Terracotta,  Dimensions: diameter  5 11/16in. (14.5cm),  Classification: Terracottas,  Credit Line: Purchase David L. Klein Jr. Memorial Foundation Inc. Gift 1999,  Accession Number: 1999.316a b
tempObjectNumber: 60, Title: Bust of a goddess,  Period: Late Classical or Hellenistic,  Date: 4th–3rd century B.C.,  Culture: Greek Sicilian,  Medium: Terracotta,  Dimensions: H. 12 15/16 in. (32.79 cm),  Classification: Terracottas,  Credit Line: Gift of Andrea and Donatella Hecht 1981,  Accession Number: 1981.472.3
