tempObjectNumber: 36, Title: Terracotta Hadra hydria (water jar),  Period: Hellenistic,  Date: 216 B.C.,  Culture: Greek Ptolemaic,  Medium: Terracotta,  Dimensions: Other: 13 1/2 x 7 3/4 in. (34.3 x 19.7 cm),  Classification: Vases,  Credit Line: Purchase 1890,  Accession Number: 90.9.46
tempObjectNumber: 37, Title: Neck-amphora fragment,  Culture: East Greek Clazomenian,  Medium: Terracotta,  Dimensions: H. 4.19 cm.,  Classification: Vases,  Credit Line: Acquired by exchange from the University Museum Philadelphia 1955,  Accession Number: 55.71.2
tempObjectNumber: 38, Title: Terracotta amphoriskos (oil flask),  Period: Late Classical,  Date: 4th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-glaze,  Dimensions: H. 7 3/8 in. (18.8 cm),  Classification: Vases,  Credit Line: Rogers Fund 1919,  Accession Number: 19.192.72
tempObjectNumber: 39, Title: Glass pendant in the form of a jar,  Period: Late Imperial,  Date: ca. 4th century A.D.,  Culture: Roman,  Medium: Glass; rod-formed and tooled,  Dimensions: Diameter: 7/8 in. (2.2 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.443
tempObjectNumber: 40, Title: Silver bowl,  Date: ca. A.D. 200–250,  Culture: Roman,  Medium: Silver,  Dimensions: H.: 1 1/2 x 4 3/8 in. (3.8 x 11.1 cm),  Classification: Gold and Silver,  Credit Line: Rogers Fund 1945,  Accession Number: 45.169
tempObjectNumber: 41, Title: Seal,  Culture: Minoan Crete,  Medium: Jasper,  Dimensions: Other: 1/2 x 3/4 x 1/4 in. (1.2 x 1.9 x 0.6 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.206
tempObjectNumber: 42, Title: Kylix fragments,  Attribution: the Sabouroff Painter,  Period: Classical,  Date: ca. 480 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Classification: Vases,  Credit Line: Gift of Dietrich von Bothmer 1985,  Accession Number: 1985.228.2a–d
tempObjectNumber: 43, Title: Terracotta pelike (jar),  Attribution: the Somzée Painter,  Period: Classical,  Date: ca. 420–410 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H.: 14 1/2 x 11 1/16 in. (36.8 x 28.1 cm),  Classification: Vases,  Credit Line: Gift of Samuel G. Ward 1875,  Accession Number: 75.2.7
tempObjectNumber: 44, Title: Plinth feet and attributes of a marble male statue,  Period: Late Imperial,  Culture: Roman,  Medium: Marble,  Dimensions: Height (height of helmet): 13 in. (33 cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1911,  Accession Number: 11.36
tempObjectNumber: 45, Title: Terracotta spindle whorl,  Period: Archaic–Classical,  Date: 6th–5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta,  Dimensions: H. 1 1/2 in. (3.8 cm),  Classification: Terracottas,  Credit Line: Gift of Albert Gallatin 1927,  Accession Number: 27.25
tempObjectNumber: 46, Title: Head of a boy,  Period: Early Hellenistic,  Date: 3rd century B.C.,  Culture: Cypriot,  Medium: Terracotta; mold-made and hand-made,  Dimensions: H. 1 7/16 in. (3.7 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1517
tempObjectNumber: 47, Title: Bronze furniture attachment with griffin heads,  Period: Archaic,  Date: 6th century B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: H.: 4 1/2 in. (11.4 cm),  Classification: Bronzes,  Credit Line: Gift of Bashford Dean 1903,  Accession Number: 03.6.2
tempObjectNumber: 48, Title: Lamp,  Date: 1st century B.C.–1st century A.D.,  Medium: Terracotta,  Dimensions: Length 9.8 cm.  H. 2.7 cm.,  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1985
tempObjectNumber: 49, Title: Lamp,  Date: ca. A.D. 40–100,  Culture: Roman Cypriot,  Medium: Terracotta,  Dimensions: Overall: 7/8 x 3 1/4 in. (2.2 x 8.3 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2154
tempObjectNumber: 50, Title: Terracotta pelike (wine jar),  Attribution: the Amazon Painter,  Period: Classical,  Date: 2nd half of the 4th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H. 17 in. (43.2 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.195
tempObjectNumber: 51, Title: Terracotta column-krater (bowl for mixing wine and water),  Attribution: Myson,  Period: Classical,  Date: ca. 480 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: diameter of mouth  12 1/16 in. (30.6 cm),  Classification: Vases,  Credit Line: Rogers Fund 1921,  Accession Number: 21.88.82
tempObjectNumber: 52, Title: Glass jug,  Period: Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Diam.: 2 3/8 x 1 in. (6 x 2.5 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.112
tempObjectNumber: 53, Title: Small terracotta jug,  Period: Early Helladic II,  Date: ca. 2650–2150 B.C.,  Culture: Helladic,  Medium: Terracotta; Coarse ware,  Dimensions: Greatest H. 4 5/8 in. (11.6 cm.),  Classification: Vases,  Credit Line: Gift of the Greek Government 1927,  Accession Number: 27.120.5
tempObjectNumber: 54, Title: Terracotta modiolus (drinking cup),  Period: Early Imperial Julio-Claudian,  Date: ca. A.D. 5–40,  Culture: Roman,  Medium: Terracotta,  Dimensions: H. 6 in. (15.3 cm),  Classification: Vases,  Credit Line: Rogers Fund 1919,  Accession Number: 19.192.42
tempObjectNumber: 55, Title: Amulet figurine,  Medium: Silver,  Dimensions: 1 3/8 × 1/2 × 1/2 in. (3.5 × 1.3 × 1.3 cm),  Classification: Gold and Silver,  Credit Line: Purchase 1896,  Accession Number: 96.9.538
tempObjectNumber: 56, Title: Disk,  Medium: Amber,  Dimensions: Diameter: 13/16 x 5/16 in. (2.1 x 0.8 cm),  Classification: Miscellaneous-Amber,  Credit Line: Purchase 1896,  Accession Number: 96.9.514
tempObjectNumber: 57, Title: Terracotta head and shoulders of a man,  Period: Cypro-Classical II,  Date: ca. 400–310 B.C.,  Culture: Cypriot,  Medium: Terracotta; mold-made,  Dimensions: H. 14 3/8 in. (36.5 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1474
tempObjectNumber: 58, Title: Glass lentoid bottle,  Period: Imperial,  Date: ca. 2nd–3rd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H.: 2 3/4 in. (7 cm),  Classification: Glass,  Credit Line: Bequest of Theodore M. Davis 1915,  Accession Number: 30.115.66
tempObjectNumber: 59, Title: Lekythos,  Attribution: the Aischines Painter,  Period: Classical,  Date: 2nd quarter of 5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: Diameter: 2 13/16 × 1 9/16 × 2 in. (7.1 × 4 × 5.1 cm),  Classification: Vases,  Credit Line: Gift of Otto Paschkes 1946,  Accession Number: 46.91
tempObjectNumber: 60, Title: Terracotta head of a youth,  Period: Classical,  Date: late 5th–4th century B.C.,  Culture: Greek South Italian Tarentine,  Medium: Terracotta,  Dimensions: H. 3 1/2 in. (8.89 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1910,  Accession Number: 10.210.155
tempObjectNumber: 61, Title: Bronze pendant in the form of a paired couple,  Period: Geometric,  Date: 8th century B.C.,  Culture: Villanovan,  Medium: Bronze,  Dimensions: Other: 1 3/16 in. (3 cm),  Classification: Bronzes,  Credit Line: Gift of Mr. and Mrs. Jonathan P. Rosen 1991,  Accession Number: 1991.171.53
tempObjectNumber: 62, Title: Cymbal,  Medium: Bronze,  Dimensions: Diam.: 2 5/8 in. (6.7 cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5654
tempObjectNumber: 63, Title: Terracotta kyathos (cup-shaped ladle),  Attribution: the Group of Berlin 2095,  Period: Archaic,  Date: ca. 530–500 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: H. of cup  3 1/8 in. (8 cm); diameter  4 5/8 in. (11.7 cm); H. to top of handle  5 11/16 in. (14.5 cm),  Classification: Vases,  Credit Line: Rogers Fund 1921,  Accession Number: 21.88.93
tempObjectNumber: 64, Title: Kylix,  Attribution: the Euergides Painter,  Period: Archaic,  Date: ca. 510 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: width with handles  10 1/4 in. (26 cm),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.76
tempObjectNumber: 65, Title: Glass beaker,  Period: Mid Imperial,  Date: 2nd–3rd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Diam.: 3 1/8 in. (7.9 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5737
tempObjectNumber: 66, Title: Gold spiral,  Period: Late Bronze Age,  Date: ca. 1600–1100 B.C.,  Culture: Cypriot,  Medium: Gold,  Dimensions: Length: 15/16 in. (2.4 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3074
