tempObjectNumber: 34, Title: Fragment of a kylix: band-cup (drinking cup),  Attribution: Elbows Out,  Period: Archaic,  Date: ca. 550–525 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: width  3 3/8in. (8.6cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5870
tempObjectNumber: 35, Title: Bowl rim with rosettes,  Date: 6th–5th century B.C.,  Medium: SILVER,  Dimensions: 1 3/4 × 4 7/8 × 1/4 in. (4.4 × 12.5 × 0.6 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4584
tempObjectNumber: 36, Title: Miniature glass bottle,  Period: Late Imperial,  Date: 3rd–4th century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Diam.: 1 1/16 x 3/4 x 3/4 in. (2.7 x 1.9 x 1.9 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5789
tempObjectNumber: 37, Title: Earring with plain loop and disc,  Medium: Gold,  Dimensions: Other: 7/16 x 5/16 x 9/16 in. (1.2 x 0.8 x 1.5 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3716
tempObjectNumber: 38, Title: Terracotta lekythos (oil flask),  Attribution: the Woman Painter,  Period: Classical,  Date: ca. 420–400 B.C.,  Culture: Greek Attic,  Medium: Terracotta; white-ground,  Dimensions: H. 16 in. (40.6 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1169
tempObjectNumber: 39, Title: Glass bottle,  Period: Imperial,  Date: late 1st–3rd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H.: 2 13/16 in. (7.1 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.288
tempObjectNumber: 40, Title: Serpentine Lentoid,  Period: Late Minoan II–IIIA,  Date: ca. 1450–1375 B.C.,  Culture: Minoan,  Medium: Serpentine,  Dimensions: Diam.: 11/16 in. (1.8 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.337
tempObjectNumber: 41, Title: Statuette of a woman,  Period: Hellenistic,  Date: 3rd century B.C.,  Culture: Greek Boeotian,  Medium: Terracotta,  Dimensions: H.: 7 3/4 in. (19.7 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1142
tempObjectNumber: 42, Title: Terracotta skyphos (deep drinking cup),  Attribution: the Brygos Painter,  Period: Archaic,  Date: ca. 490–480 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H. 3 3/4 in. (9.6 cm); diameter  4 1/4 in. (10.8 cm),  Classification: Vases,  Credit Line: Fletcher Fund 1929,  Accession Number: 29.131.4
tempObjectNumber: 43, Title: Handle of a bowl,  Culture: Cypriot,  Medium: Bronze,  Dimensions: Other: 2 3/4in. (7cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5454
tempObjectNumber: 44, Title: Earring or spiral,  Culture: Cypriot,  Medium: Gold,  Dimensions: Diameter: 9/16 x 1/16 in. (1.4 x 0.2 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3112
tempObjectNumber: 45, Title: Bronze hydria (water jar),  Period: Late Archaic,  Date: ca. 500–480 B.C.,  Culture: Greek,  Medium: ,  Dimensions: H. with handle 18 5/16 in. (46.5 cm),  Classification: Bronzes,  Credit Line: Purchase Joseph Pulitzer Bequest 1954,  Accession Number: 54.11.2
tempObjectNumber: 46, Title: Juglet,  Period: Cypro-Archaic I,  Date: 750–600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 3 5/16in. (8.4cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.945
tempObjectNumber: 47, Title: Terracotta conical-hemispherical spindle-whorl with flat base,  Period: Early Cypriot III–Middle Cypriot II,  Date: ca. 2000–1725 B.C.,  Culture: Cypriot,  Medium: Terracotta; handmade,  Dimensions: H. 1 1/2 in. (3.8 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.935
tempObjectNumber: 48, Title: Glass ornament in the form of a bird,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 5/8 x 9/16 x 13/16 in. (1.5 x 1.5 x 2 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.445
tempObjectNumber: 49, Title: Bowl,  Period: Bronze Age,  Date: ca. 3200–1050 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: Diam.: 5 3/8 in. (13.7 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1286
tempObjectNumber: 50, Title: Fragment from the neck of a terracotta amphora (jar),  Period: Cypro-Geometric III,  Date: 850–750 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 5 7/8 x 9 15/16 in. (15 x 25.3 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5862
tempObjectNumber: 51, Title: Volute-krater fragment,  Period: Late Classical,  Date: 4th century B.C.,  Culture: Greek South Italian Apulian,  Medium: Terracotta; red-figure/black-glaze,  Dimensions: 2 1/2 x 1 1/2in. (6.4 x 3.8cm),  Classification: Vases,  Credit Line: Rogers Fund 1919,  Accession Number: 19.192.81.80
tempObjectNumber: 52, Title: Head of a man grotesque,  Culture: Greek,  Medium: Terracotta,  Dimensions: H. 3 1/2 in. (8.9 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1910,  Accession Number: 10.210.117
tempObjectNumber: 53, Title: Terracotta jug,  Date: 7th century B.C.,  Culture: Phoenician,  Medium: Terracotta,  Dimensions: H. 6 3/16 in. (15.7 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1401
tempObjectNumber: 54, Title: Bone pin,  Period: Imperial,  Date: 1st–4th century A.D.,  Culture: Roman Cypriot,  Medium: Bone,  Dimensions: length  4 3/16in. (10.6cm),  Classifications: Miscellaneous-Bone Ivory,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5206
tempObjectNumber: 55, Title: Pair of bronze handle attachments from a situla (bucket),  Period: Classical,  Date: 4th century B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: H.: 2 7/8 x 3 13/16 in. (7.2 x 9.7 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1967,  Accession Number: 67.11.15a b
tempObjectNumber: 56, Title: Earring delta-shaped with beads,  Medium: Gold silver,  Dimensions: Other: 9/16 × 5/16 × 1 1/8 in. (1.4 × 0.8 × 2.9 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3930
tempObjectNumber: 57, Title: Vase fragment,  Period: Early Minoan II,  Culture: Minoan,  Medium: Terracotta,  Dimensions: 2 1/16 × 2 3/4 × 7/16 in. (5.2 × 6.9 × 1.1 cm),  Classification: Vases,  Credit Line: Gift of American Exploration Society 1907,  Accession Number: 07.232.35
tempObjectNumber: 58, Title: Vase fragment,  Period: Helladic,  Culture: Aegean,  Medium: Terracotta,  Dimensions: 2 × 2 1/16 × 1/4 in. (5 × 5.3 × 0.7 cm),  Classification: Vases,  Credit Line: Anonymous Gift 1933,  Accession Number: 33.138.29
tempObjectNumber: 59, Title: Earring with plain loop and disc,  Medium: Gold,  Dimensions: Other: 1/2 x 3/16 x 9/16 in. (1.3 x 0.5 x 1.4 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3722
tempObjectNumber: 60, Title: Four fragments of a terracotta stemless kylix (drinking cup),  Period: Classical,  Date: mid-5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta,  Dimensions: Other (C): 15/16 x 1 9/16 x 3/16 in. (2.3 x 3.9 x 0.5 cm),  Classification: Vases,  Credit Line: Gift of the Honorable Iris Cornelia Love 2011,  Accession Number: 2011.603.7a–d
tempObjectNumber: 61, Title: Volute-krater fragment,  Period: Late Classical,  Date: 4th century B.C.,  Culture: Greek South Italian Apulian,  Medium: Terracotta; red-figure/black-glaze,  Dimensions: 1 5/8 x 1 1/2in. (4.1 x 3.8cm),  Classification: Vases,  Credit Line: Rogers Fund 1919,  Accession Number: 19.192.81.82
tempObjectNumber: 62, Title: Relief of a sphinx,  Culture: Greek,  Medium: Terracotta,  Dimensions: H. 4 in. (10.16 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1910,  Accession Number: 10.210.147
