tempObjectNumber: 66, Title: Lamp,  Period: Imperial,  Date: ca. A.D. 70–120,  Culture: Roman,  Medium: Terracotta,  Dimensions: Overall: 1 1/8 x 4 1/8 in. (2.9 x 10.5 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5846
tempObjectNumber: 67, Title: Terracotta lekythos (oil flask),  Period: Late Classical,  Date: 4th century B.C.,  Culture: Greek Boeotian,  Medium: Terracotta; black-glaze,  Dimensions: H. 6 1/8 in. (15.6 cm),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.104
tempObjectNumber: 68, Title: Lekythos,  Period: Classical,  Date: 2nd quarter of the 5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: Height: 8 1/2 in. (21.6 cm),  Classification: Vases,  Credit Line: Rogers Fund 1922,  Accession Number: 22.139.75
tempObjectNumber: 69, Title: Terracotta statuette of a deer,  Period: Archaic,  Date: late 6th century B.C.,  Culture: Greek,  Medium: Terracotta,  Dimensions: Base 1 7/8 x 3 7/8 in. (4.8 x 8.8 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1951,  Accession Number: 51.11.13
tempObjectNumber: 70, Title: Bronze support in the form of a ram's head and foreleg,  Period: Late Republican or Early Imperial,  Date: 1st century B.C.–1st century A.D.,  Culture: Roman,  Medium: Bronze,  Dimensions: L. 2 3/4 in. (6.9 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1910,  Accession Number: 10.210.29
tempObjectNumber: 71, Title: Earring with disc amphora chains,  Medium: Gold garnet,  Dimensions: Other: 9/16 × 11/16 × 1 1/2 in. (1.4 × 1.7 × 3.9 cm),  Classification: Gold and Silver,  Credit Line: Purchase by subscription 1895,  Accession Number: 95.15.196
tempObjectNumber: 72, Title: Oinochoe chous,  Period: Classical,  Date: ca. 440–430 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: 9in. (22.9cm),  Classification: Vases,  Credit Line: Rogers Fund 1921,  Accession Number: 21.88.78
tempObjectNumber: 73, Title: Cup,  Period: Early Bronze Age,  Date: ca. 3200–2000 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H.: 3 5/16 in. (8.4 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1301
tempObjectNumber: 74, Title: Gold spiral,  Period: Late Bronze Age,  Date: ca. 1600–1100 B.C.,  Culture: Cypriot,  Medium: Gold,  Dimensions: L. 1.8 cm,  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3075
tempObjectNumber: 75, Title: Jug,  Period: Cypro-Archaic I,  Date: 750–600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 6 7/8in. (17.4cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.57.13
tempObjectNumber: 76, Title: Squat Lekythos,  Culture: Greek South Italian Campanian,  Medium: Terracotta; black-glaze,  Dimensions: Diam. of foot: 1 3/4 in. (4.4 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.102
tempObjectNumber: 77, Title: Spearhead,  Medium: Bronze,  Dimensions: 25in. (63.5cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5310
tempObjectNumber: 78, Title: Ring motto,  Date: 2nd–3rd century A.D.,  Culture: Roman,  Medium: Gold,  Dimensions: Other: 1/2 x 1/4 x 5/8 in. (1.3 x 0.6 x 1.5 cm),  Classification: Gems,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4106
tempObjectNumber: 79, Title: Jar,  Period: Bronze Age,  Date: ca. 3200–1050 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: Other: 13 9/16in. (34.5cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5850
tempObjectNumber: 80, Title: Earring with bird,  Culture: Etruscan,  Medium: Gold,  Dimensions: Other: 7/16 × 3/16 × 3/8 in. (1.1 × 0.5 × 1 cm),  Classification: Gold and Silver,  Credit Line: Purchase by subscription 1895,  Accession Number: 95.15.208
tempObjectNumber: 81, Title: Terracotta stirrup jar,  Period: Late Cypriot IIIB,  Date: early 11th century B.C.,  Culture: Cypriot,  Medium: Terracotta; Proto-white painted ware,  Dimensions: H. 5 1/2 in. (14 cm.),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1394
tempObjectNumber: 82, Title: Silver jug,  Period: Hellenistic,  Date: late 4th century B.C.,  Culture: Greek South Italian,  Medium: Silver,  Dimensions: H.: 4 1/2 in. (11.4 cm),  Classification: Gold and Silver,  Credit Line: Rogers Fund 1908,  Accession Number: 08.258.51
tempObjectNumber: 83, Title: Coin,  Medium: Silver,  Dimensions: Diameter: 1 1/16 × 1/8 in. 0.6oz. (2.7 × 0.4 cm 16.94g),  Classification: Coins,  Credit Line: Gift of J. Pierpont Morgan 1905,  Accession Number: 05.44.236
tempObjectNumber: 84, Title: Terracotta column-krater (bowl for mixing wine and water),  Attribution: the Orchard Painter,  Period: Classical,  Date: ca. 460 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: Other (diameter of mouth): 14 3/16in. (36.1cm),  Classification: Vases,  Credit Line: Fletcher Fund 1925,  Accession Number: 25.78.45
tempObjectNumber: 85, Title: Terracotta statuette of Harpokrates,  Period: Imperial,  Date: ca. 2nd century A.D.,  Culture: Roman Egyptian,  Medium: Terracotta,  Dimensions: H.: 6 1/16 in. (15.4 cm),  Classification: Terracottas,  Credit Line: Gift of Mrs. Lucy W. Drexel 1889,  Accession Number: 89.2.2030
tempObjectNumber: 86, Title: Painted glass fragment with hunt scene,  Period: Late Imperial or Late Antique,  Date: 4th century A.D.,  Culture: Roman,  Medium: Glass paint,  Dimensions: 1 1/4 × 1 7/16 × 1/4 in. (3.2 × 3.7 × 0.6 cm),  Classification: Glass,  Credit Line: Rogers Fund 1915,  Accession Number: 15.1.1
tempObjectNumber: 87, Title: Amphora,  Period: Cypro-Geometric III,  Date: 850–750 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: Other: 16 7/8in. (42.9cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1004
tempObjectNumber: 88, Title: Fragment of a Panathenaic prize amphora (jar),  Period: Archaic,  Date: late 6th–early 5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: 4 1/4 × 2 5/16 × 1/4 in. (10.8 × 5.9 × 0.7 cm),  Classification: Vases,  Credit Line: Rogers Fund 1986,  Accession Number: 1986.11.18
tempObjectNumber: 89, Title: Glass two-handled bottle,  Period: Early Imperial,  Date: 1st–early 2nd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H.: 3 1/4 in. (8.2 cm),  Classification: Glass,  Credit Line: Bequest of Theodore M. Davis 1915,  Accession Number: 30.115.54
tempObjectNumber: 90, Title: Vase fragment,  Culture: Neolithic,  Medium: Terracotta,  Dimensions: 2 7/16 × 1 15/16 × 3/4 × 5/16 in. (6.2 × 4.9 × 1.9 × 0.7 cm),  Classification: Vases,  Credit Line: Gift of Gisela M. A. Richter 1923,  Accession Number: 23.121.28
