tempObjectNumber: 43, Title: Glass flask,  Period: Late Imperial,  Date: 4th century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H. 5 in. (12.7 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.69
tempObjectNumber: 44, Title: Glass alabastron (perfume bottle),  Period: Hellenistic,  Date: late 4th–early 3rd century B.C.,  Culture: Eastern Mediterranean or Italian,  Medium: Glass; core-formed Group II,  Dimensions: H.: 6 5/16 in. (16 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1362
tempObjectNumber: 45, Title: Terracotta footed cup,  Culture: Etruscan,  Medium: Terracotta,  Dimensions: H. 7 9/16 in. (19.2 cm); diameter of mouth  5 5/16 in. (13.5 cm),  Classification: Vases,  Credit Line: Rogers Fund 1918,  Accession Number: 18.145.26
tempObjectNumber: 46, Title: Marble head of Apollo,  Period: Augustan or Julio-Claudian,  Date: ca. 27 B.C.–A.D. 68,  Culture: Roman,  Medium: Marble,  Dimensions: H.: 8 5/16 in. (21.1 cm),  Classification: Stone Sculpture,  Credit Line: Gift of Jacques and Joyce de la Begassiere 1959,  Accession Number: 59.77
tempObjectNumber: 47, Title: Alabaster or loutrophoros (jar for storage or water),  Period: Late Classical or Early Hellenistic,  Date: 2nd half of the 4th–3rd century B.C.,  Culture: Cypriot,  Medium: Veined alabaster,  Dimensions: H. 7 7/8 (20 cm); Diam. 3 7/16 in. (8.7 cm),  Classification: Miscellaneous-Stone Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5133
tempObjectNumber: 48, Title: Terracotta jug,  Period: Cypro-Archaic I,  Date: ca. 750–600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H. 10 9/16 in. (26.8 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.527
tempObjectNumber: 49, Title: Cup in the form of a head of a pig,  Culture: Etruscan,  Medium: Terracotta,  Dimensions: Other (diameter of mouth): 3 1/8in. (8cm),  Classification: Vases,  Credit Line: Rogers Fund 1913,  Accession Number: 13.232.4
tempObjectNumber: 50, Title: Statuette of a youth,  Culture: Greek,  Medium: Terracotta,  Dimensions: H. 5 11/16 in. (14.4 cm),  Classification: Terracottas,  Credit Line: Fletcher Fund 1926,  Accession Number: 26.60.26
tempObjectNumber: 51, Title: Gold and amber earrings with head of a black youth,  Period: Hellenistic,  Date: ca. 200–100 B.C.,  Culture: Etruscan,  Medium: Gold amber,  Dimensions: H.: 7/8 in. (2.2 cm)(each),  Classification: Gold and Silver,  Credit Line: Purchase by subscription 1895,  Accession Number: 95.15.216 .217
tempObjectNumber: 52, Title: Glass pin,  Period: Imperial,  Date: 1st–4th century A.D.,  Culture: Roman,  Medium: Glass; drawn and tooled,  Dimensions: Other: 5/16in. (0.8cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.154
tempObjectNumber: 53, Title: Lekythos,  Period: Late Classical,  Date: 4th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: H. 4 7/16 in. (11.2 cm),  Classification: Vases,  Credit Line: Gift of Mrs. Frank Knox 1953,  Accession Number: 53.192.8
tempObjectNumber: 54, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 15/16 x 1 11/16 in. (2.4 x 4.2 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1705
tempObjectNumber: 55, Title: Terracotta model of a chariot box,  Period: Cypro-Geometric III,  Date: ca. 850–750 B.C.,  Culture: Cypriot,  Medium: Terracotta; wheel-made,  Dimensions: H. 4 in. (10.2 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1108
tempObjectNumber: 56, Title: Vase fragment,  Culture: East Greek/Sardis Lydian,  Medium: Terracotta,  Dimensions: Overall: 2 5/8 x 2 1/8in. (6.7 x 5.4cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.228
tempObjectNumber: 57, Title: Glass perfume bottle,  Period: Mid Imperial,  Date: 2nd–3rd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Other: 2 1/16in. (5.2cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.95
tempObjectNumber: 58, Title: Amphoriskos,  Period: Cypro-Geometric III,  Date: ca. 850–750 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H. 5 5/16 in. (13.5 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.620
tempObjectNumber: 59, Title: Volute-krater fragments,  Period: Classical,  Date: ca. 400 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: 3 5/16 x 2 13/16in. (8.4 x 7.1cm),  Classification: Vases,  Credit Line: Rogers Fund 1923,  Accession Number: 23.160.64
tempObjectNumber: 60, Title: Wall painting: Polyphemus and Galatea in a landscape from the imperial villa at Boscotrecase,  Period: Early Imperial Augustan,  Date: last decade of the 1st century B.C.,  Culture: Roman,  Medium: Fresco,  Dimensions: width  47 in. (119.38 cm.),  Classification: Miscellaneous-Paintings,  Credit Line: Rogers Fund 1920,  Accession Number: 20.192.17
tempObjectNumber: 61, Title: Bowl fragment Phoenician inscription,  Date: ca. 389 B.C.,  Culture: Cypriot,  Medium: Marble white,  Dimensions: Overall: 2 7/8 x 5 1/4 x 1 1/2 in. (7.3 x 13.3 x 3.8 cm),  Classification: Cesnola Inscriptions,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2273
tempObjectNumber: 62, Title: Glass oinochoe (perfume jug),  Period: Hellenistic,  Date: late 4th–early 3rd century B.C.,  Culture: Eastern Mediterranean or Italian,  Medium: Glass; core-formed Group II,  Dimensions: H.: 5 15/16 in. (15.1 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1383
tempObjectNumber: 63, Title: Earrings,  Culture: Roman,  Medium: Silver,  Dimensions: 1 1/4 × 7/8 × 7/16 in. 0.1oz. (3.2 × 2.2 × 1.1 cm 2.8g),  Classification: Gold and Silver,  Credit Line: Purchase by subscription 1895,  Accession Number: 95.15.338 .339
tempObjectNumber: 64, Title: Vase fragment,  Period: Early Minoan III,  Culture: Minoan,  Medium: Terracotta,  Dimensions: 1 7/16 × 3 1/4 × 1/4 in. (3.7 × 8.2 × 0.7 cm),  Classification: Vases,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.180
tempObjectNumber: 65, Title: Terracotta tripod-pyxis (box),  Period: Early–Middle Corinthian,  Date: ca. 625–575 B.C.,  Culture: Greek Corinthian,  Medium: Terracotta,  Dimensions: H. of vase  3 1/8 in. (8 cm); H. with lid  4 9/16 in. (11.6 cm); diameter  6 1/16 in. (15.4 cm),  Classification: Vases,  Credit Line: Fletcher Fund 1925,  Accession Number: 25.78.103a b
tempObjectNumber: 66, Title: Basalt mortar,  Period: Late Bronze Age or Geometric,  Date: ca.1600–700 B.C.,  Culture: Cypriot,  Medium: Basalt,  Dimensions: H. 2 1/2; Diam. 5 3/4 in. (6.4 x 14.6 cm),  Classification: Miscellaneous-Stone Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5052
tempObjectNumber: 67, Title: Terracotta stamnos (jar),  Period: Classical,  Date: early 5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: diameter (neck)  15 1/4in. (38.7cm),  Classification: Vases,  Credit Line: Rogers Fund 1910,  Accession Number: 10.210.15
tempObjectNumber: 68, Title: Terracotta holmos (stand),  Period: Archaic,  Date: 7th century B.C.,  Culture: Etruscan,  Medium: Terracotta,  Dimensions: H. 25 7/8 in. (65.7 cm); diameter of mouth  10 3/8 in. (26.4 cm),  Classification: Vases,  Credit Line: Purchase by subscription 1896,  Accession Number: 96.18.128
tempObjectNumber: 69, Title: Lamp,  Culture: Roman Cypriot,  Medium: Terracotta,  Dimensions: Overall: 1 1/4 x 3 3/8 in. (3.2 x 8.6 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2245
tempObjectNumber: 70, Title: Iron fire-grate,  Period: Archaic,  Date: ca. 550 B.C.,  Culture: Etruscan,  Medium: Iron,  Dimensions: H. 3 1/4 in (8.3 cm) width 11 3/4 in (29.9 cm) length 14 5/16 in. (36.4 cm),  Classification: Miscellaneous-Iron,  Credit Line: Rogers Fund 1903,  Accession Number: 03.23.40
tempObjectNumber: 71, Title: Glass mosaic inlay fragment,  Culture: Roman,  Medium: Glass; cast,  Dimensions: Other: 11/16 x 1 15/16 in. (1.8 x 5 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1711
tempObjectNumber: 72, Title: Terracotta lekane (dish),  Period: Archaic,  Date: ca. 550–540 B.C.,  Culture: Greek Boeotian,  Medium: Terracotta; black-figure,  Dimensions: Diam.: 12 in. (30.5 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.16
tempObjectNumber: 73, Title: Blue glass ring stone,  Period: Hellenistic,  Date: 3rd–2nd century B.C.,  Culture: Italic,  Medium: Glass blue paste,  Dimensions: Length: 7/8 in. (2.3 cm),  Classification: Gems,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.50
tempObjectNumber: 74, Title: Glass perfume bottle,  Period: Mid or Late Imperial,  Date: 3rd–4th century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Overall: 1 11/16 x 1 1/4in. (4.3 x 3.2cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.181
tempObjectNumber: 75, Title: Terracotta footed bowl,  Period: Cypro-Archaic I,  Date: 750–600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H. 5 15/16 in. (15.1 cm); diameter  6 3/4 in. (17.2 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.468
tempObjectNumber: 76, Title: Glass bead,  Period: Late Imperial,  Date: ca. 3rd–5th century A.D.,  Culture: Roman,  Medium: Glass; rod-formed and applied,  Dimensions: Diam.: 1 7/16 in. (3.6 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.405
tempObjectNumber: 77, Title: Agate ring stone intaglio: fisherman,  Period: Hellenistic or Early Imperial,  Date: 3rd–2nd century B.C. or 1st century A.D.,  Culture: Italic or Roman,  Medium: Agate,  Dimensions: Length: 1/2 in. (1.3 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.692
tempObjectNumber: 78, Title: Sardonyx cameo with a Bacchic group,  Period: Hellenistic or Early Imperial,  Date: 1st century B.C.–1st century A.D.,  Culture: Greek or Roman,  Medium: Sardonyx,  Dimensions: Overall: 1 5/16 x 1 7/16in. (3.3 x 3.6cm),  Classification: Gems,  Credit Line: Fletcher Fund 1925,  Accession Number: 25.78.96
tempObjectNumber: 79, Title: Terracotta oinochoe: olpe (jug),  Period: Classical,  Date: ca. 460–440 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-glaze,  Dimensions: H. 9 1/8 in. (23.2 cm),  Classification: Vases,  Credit Line: Rogers Fund 1907,  Accession Number: 07.286.34
tempObjectNumber: 80, Title: Glass jar,  Period: Early Imperial,  Date: mid-1st–2nd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H.: 4 7/8 in. (12.4 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.19
tempObjectNumber: 81, Title: Terracotta bell-krater (mixing bowl),  Attribution: the Painter of New York GR 1000,  Period: Late Classical,  Date: ca. 350–325 B.C.,  Culture: Greek South Italian Campanian,  Medium: Terracotta; red-figure,  Dimensions: H. 15 7/8 in. (40.3 cm),  Classification: Vases,  Credit Line: Purchase by subscription 1896,  Accession Number: 96.18.25
tempObjectNumber: 82, Title: Glass pendant shaped like a jar,  Period: Late Imperial,  Date: 3rd–4th century A.D.,  Culture: Roman,  Medium: Glass; rod-formed and tooled,  Dimensions: H.: 13/16 in. (2.1 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.431
tempObjectNumber: 83, Title: Amulet pendant a menat,  Medium: Clay glazed,  Dimensions: Other: 1 7/8 x 13/16 x 3/16 in. (4.8 x 2.1 x 0.4 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4511
tempObjectNumber: 84, Title: Relief of armed figure collapsing (Capaneus ?),  Period: Archaic,  Date: ca. 500–450 B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: H.: 1 3/4 x 1 5/16 in. (4.4 x 3.3 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1943,  Accession Number: 43.11.5
tempObjectNumber: 85, Title: Glass jar,  Culture: Roman,  Medium: Glass,  Dimensions: H.: 3 3/4 in. (9.5 cm),  Classification: Glass,  Credit Line: Gift of Mrs. Elias Kempner 1934,  Accession Number: 34.132.34
tempObjectNumber: 86, Title: Glass perfume bottle,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H8.6cm D5.1cm (rim1.3cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1354
tempObjectNumber: 87, Title: Moss agate scaraboid seal,  Period: Archaic,  Date: early 5th century B.C.,  Culture: Greek,  Medium: Agate moss,  Dimensions: Length: 9/16 in. (1.5 cm),  Classification: Gems,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4201
tempObjectNumber: 88, Title: Glass square bottle,  Period: Early to Mid Imperial,  Date: 1st century–2nd century A.D.,  Culture: Roman,  Medium: Glass; mold-blown,  Dimensions: H.: 4 9/16 in. (11.6 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.30
tempObjectNumber: 89, Title: Gold fibula (safety pin),  Period: Geometric,  Date: ca. 1050–750 B.C.,  Culture: Cypriot,  Medium: Gold,  Dimensions: length  1 7/8in. (4.8cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3198
