tempObjectNumber: 33, Title: Limestone votive krater (mixing bowl),  Period: Hellenistic,  Date: ca. 3rd–1st century B.C.,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 17 1/4 x 23 in. (43.8 x 58.4 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2813
tempObjectNumber: 34, Title: Terracotta monkey,  Period: Cypro-Archaic II,  Date: ca. 600–480 B.C.,  Culture: Cypriot,  Medium: Terracotta; hand-made,  Dimensions: H. 3 11/16 in. (9.4 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1645
tempObjectNumber: 35, Title: Terracotta dog,  Period: Classical,  Date: 1st half of the 5th century B.C.,  Culture: Greek Boeotian,  Medium: Terracotta,  Dimensions: H.: 3 3/4 in. (9.5 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1947,  Accession Number: 47.11.6
tempObjectNumber: 36, Title: Rock crystal lentoid,  Period: Middle Minoan III,  Date: ca. 1700–1600 B.C.,  Culture: Minoan,  Medium: Rock crystal,  Dimensions: Diam.: 7/8 in. (2.3 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.357
tempObjectNumber: 37, Title: Lamp in the form of a satyr's mask,  Medium: Terracotta,  Dimensions: Other: 2 1/4 x 3 9/16 x 6 1/2 in. (5.7 x 9 x 16.5 cm),  Classification: Terracottas,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.740
tempObjectNumber: 38, Title: Lekythos,  Attribution: the Kleophon Painter,  Period: Classical,  Date: ca. 430–420 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: Height: 15 1/4 in. (38.7 cm),  Classification: Vases,  Credit Line: Rogers Fund 1922,  Accession Number: 22.139.89
tempObjectNumber: 39, Title: Amphora,  Period: Cypro-Archaic I,  Date: 750–600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 23 7/16in. (59.6cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1000
tempObjectNumber: 40, Title: Lower part of a marble relief with two goddesses,  Period: Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Marble Pentelic,  Dimensions: H. 53 1/2 in. (135.9 cm),  Classification: Stone Sculpture,  Credit Line: Fletcher Fund 1924,  Accession Number: 24.97.99
tempObjectNumber: 41, Title: Terracotta lekythos (oil flask),  Period: Late Archaic,  Date: early 5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; Six's technique,  Dimensions: H. 3 11/16 in. (9.3 cm),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.96
tempObjectNumber: 42, Title: Glass monochrome fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 1 x 1 1/4 in. (2.6 x 3.2 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1915
