tempObjectNumber: 40, Title: Strigil,  Culture: Roman Cypriot,  Medium: Iron,  Dimensions: Other: 9 3/4in. (24.8cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5465
tempObjectNumber: 41, Title: Marble grave stele of a woman,  Period: Classical,  Date: 425–400 B.C.,  Culture: Greek Boeotian,  Medium: Marble Pentelic,  Dimensions: Overall: 62 1/4 x 38in. (158.1 x 96.5cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1908,  Accession Number: 08.258.42
tempObjectNumber: 42, Title: Glass jar,  Period: Late Imperial,  Date: 3rd–4th century A.D.,  Culture: Roman Eastern Mediterranean,  Medium: Glass; blown tooled and trailed,  Dimensions: Other: 2 3/16in. (5.6cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.28
tempObjectNumber: 43, Title: Terracotta rim fragment with latticework design,  Period: Late Neolithic,  Date: ca. 3800–3300 B.C.,  Culture: Dimini culture,  Medium: Terracotta,  Dimensions: length  4 3/16in. (10.6cm),  Classification: Vases,  Credit Line: Anonymous Gift 1930,  Accession Number: 30.119.31
tempObjectNumber: 44, Title: Vase fragment,  Period: Early Minoan III,  Culture: Minoan,  Medium: Terracotta,  Dimensions: 1 3/8 × 1 7/8 × 7/16 in. (3.5 × 4.8 × 1.1 cm),  Classification: Vases,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.211
tempObjectNumber: 45, Title: Gold necklace,  Period: Classical,  Date: 5th century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Other (Length as strung): 5 11/16in. (14.5cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3392
tempObjectNumber: 46, Title: Earring with head of lion,  Culture: Etruscan,  Medium: Gold,  Dimensions: Other: 9/16 × 3/8 × 5/8 in. (1.5 × 1 × 1.6 cm),  Classification: Gold and Silver,  Credit Line: Purchase by subscription 1895,  Accession Number: 95.15.212
tempObjectNumber: 47, Title: Terracotta stirrup jar,  Period: Late Bronze Age,  Date: ca. 1400–1050 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H.: 3 1/2 in. (8.9kg),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5841
tempObjectNumber: 48, Title: Plasma scaraboid seal set in a gold band,  Period: Archaic,  Date: early 5th century B.C.,  Culture: Greek,  Medium: Plasma gold,  Dimensions: Length: 9/16 in. (1.5 cm),  Classification: Gems,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4173
tempObjectNumber: 49, Title: Lamp,  Culture: Greek or Roman,  Medium: Terracotta,  Dimensions: Overall: 3 1/4 in. (8.3 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2184
tempObjectNumber: 50, Title: Terracotta statuette of an actor,  Period: Late Classical,  Date: late 5th–early 4th century B.C.,  Culture: Greek Attic,  Medium: Terracotta,  Dimensions: H. 4 1/4 in. (10.8 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1913,  Accession Number: 13.225.16
tempObjectNumber: 51, Title: Terracotta fish-plate,  Attribution: the Bastis Painter,  Period: Late Classical,  Date: ca. 375–360 B.C.,  Culture: Greek South Italian Campanian or Sicilian,  Medium: Terracotta; red-figure,  Dimensions: H. 2 5/8 in. (6.7 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.243
tempObjectNumber: 52, Title: Kylix Fragment,  Attribution: Hermonax,  Period: Late Archaic,  Date: early 5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Classification: Vases,  Credit Line: Gift of Dietrich von Bothmer 1981,  Accession Number: 1981.135.4
tempObjectNumber: 53, Title: Mug,  Date: 4th century B.C.,  Culture: Etruscan,  Medium: Terracotta; black-glaze,  Dimensions: H. 8.94 cm.,  Classification: Vases,  Credit Line: Gift of Mr. and Mrs. Jason Berger 1982,  Accession Number: 1982.330.1
tempObjectNumber: 54, Title: Intaglio,  Culture: Roman,  Medium: Carnelian,  Dimensions: Other: 3/8 x 1/2 x 1/8 in. (1 x 1.3 x 0.3 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.889
tempObjectNumber: 55, Title: Limestone statuette of a nursing mother,  Period: Archaic,  Date: 3rd quarter of 6th century B.C.,  Culture: Cypriot,  Medium: Limestone,  Dimensions: H.: 7 x 3 3/4 x 3 1/2 in. (17.8 x 9.5 x 8.9 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2526
tempObjectNumber: 56, Title: Bowl,  Culture: Roman,  Medium: Terracotta,  Dimensions: diameter    11.00 cm.,  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.1882
tempObjectNumber: 57, Title: Statuette of a woman,  Period: Hellenistic,  Date: 3rd century B.C.,  Culture: Greek South Italian,  Medium: Terracotta,  Dimensions: H.: 9 1/4 in. (23.5 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1165
tempObjectNumber: 58, Title: Silver denarius of Julius Caesar,  Period: Late Republican,  Date: 47–46 B.C.,  Culture: Roman,  Medium: Silver; minted in Africa,  Dimensions: Overall: 3/4 x 1/8 in. (1.9 x 0.3 cm),  Classification: Coins,  Credit Line: Rogers Fund 1908,  Accession Number: 08.170.80
tempObjectNumber: 59, Title: Vase fragment,  Period: Archaic,  Date: ca. 625–600 B.C.,  Culture: Greek Laconian,  Medium: Terracotta,  Dimensions: 1 1/4in. (3.1cm),  Classification: Vases,  Credit Line: Gift of A. J. B. Wace 1924,  Accession Number: 24.195.215
tempObjectNumber: 60, Title: Marble statue of Herakles seated on a rock,  Period: Imperial,  Date: 1st or 2nd century A.D.,  Culture: Roman,  Medium: Marble,  Dimensions: H. of seat  26 in. (66 cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1911,  Accession Number: 11.55
tempObjectNumber: 61, Title: Basalt statue of Aphrodite,  Period: Imperial,  Date: late 1st–early 2nd century A.D.,  Culture: Roman,  Medium: Basalt,  Dimensions: 16 5/8in. (42.2cm),  Classification: Stone Sculpture,  Credit Line: Fletcher Fund 1928,  Accession Number: 28.57.6
tempObjectNumber: 62, Title: Glass bottle,  Period: Mid-Imperial,  Date: 2nd century A.D.,  Culture: Roman,  Medium: Glass; blown and tooled,  Dimensions: Other: 2 11/16in. (6.8cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.37
tempObjectNumber: 63, Title: Vase fragment,  Period: Neolithic first period,  Date: ca. 4000 B.C.,  Culture: Neolithic Nemea,  Medium: Terracotta,  Dimensions: 2 7/8 × 3 1/4 × 5/16 in. (7.3 × 8.2 × 0.7 cm),  Classification: Vases,  Credit Line: Anonymous Gift 1930,  Accession Number: 30.119.50
tempObjectNumber: 64, Title: Gold beryl and garnet earring with head of a doplhin,  Period: Late Hellenistic,  Date: 2nd–1st century B.C.,  Culture: Cypriot,  Medium: Gold beryl garnet,  Dimensions: Other: 1 3/4 in. (4.4 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3402
tempObjectNumber: 65, Title: Lekythos,  Period: Classical,  Date: ca. 430 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: Diameter: 1 13/16 × 1 3/16 in. (4.6 × 3 cm),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.93
tempObjectNumber: 66, Title: Terracotta neck-amphora (jar),  Attribution: the Polyphemos Group,  Period: Archaic,  Date: ca. 540–530 B.C.,  Culture: Greek Chalcidian,  Medium: Terracotta; black-figure,  Dimensions: diameter of mouth  6 9/16 in. (16.6 cm),  Classification: Vases,  Credit Line: Fletcher Fund 1956,  Accession Number: 56.171.2
tempObjectNumber: 67, Title: Gold pin,  Period: Late Helladic IIIA,  Date: ca. 14th century B.C.,  Culture: Mycenaean,  Medium: Gold,  Dimensions: Length  2 5/16in. (5.9cm.),  Classification: Gold and Silver,  Credit Line: Rogers Fund 1954,  Accession Number: 54.11.4
tempObjectNumber: 68, Title: Glass jug,  Period: Late Imperial,  Date: 4th century A.D.,  Culture: Roman,  Medium: Glass; blown and trailed,  Dimensions: H.: 7 13/16 in. (19.9 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.297
tempObjectNumber: 69, Title: Terracotta stemmed dish,  Period: Archaic,  Date: late 7th–early 6th century B.C.,  Culture: Lydian,  Medium: Terracotta,  Dimensions: diameter  7 5/16 in. (18.6 cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Exploration of Sardis 1914,  Accession Number: 14.30.13
tempObjectNumber: 70, Title: Limestone finial of a funerary stele with a seated lion,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 17 1/2 × 7 3/8 × 15 in. (44.5 × 18.7 × 38.1 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2852
tempObjectNumber: 71, Title: Glass perfume bottle,  Period: Mid or Late Imperial,  Date: 2nd–4th century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Diam.: 2 3/16 x 1 1/4 in. (5.6 x 3.2 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5709
tempObjectNumber: 72, Title: Volute-krater fragment,  Period: Late Classical,  Date: 4th century B.C.,  Culture: Greek South Italian Apulian,  Medium: Terracotta; red-figure,  Dimensions: 3 1/8 x 1 5/8in. (7.9 x 4.1cm),  Classification: Vases,  Credit Line: Rogers Fund 1919,  Accession Number: 19.192.81.24
tempObjectNumber: 73, Title: Model of a chariot with driver,  Date: ca. 1000–600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H. 5 3/16 in. (13.2 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1798
tempObjectNumber: 74, Title: Stylus,  Medium: Bronze bone,  Dimensions: Other: 3 15/16 in. (10 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1917,  Accession Number: 17.230.69
tempObjectNumber: 75, Title: Glass cup,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown and cut,  Dimensions: Diam.: 2 9/16 in. (6.5 cm),  Classification: Glass,  Credit Line: Bequest of Mary Anna Palmer Draper 1914,  Accession Number: 15.43.227
tempObjectNumber: 76, Title: Limestone hand holding a dove,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 5 1/2 x 3 x 5 7/8 in. (14 x 7.6 x 14.9 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2719
tempObjectNumber: 77, Title: Bronze patera (salver),  Period: Archaic,  Date: ca. 550 B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: diameter  19 1/2 in. (49.5 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1903,  Accession Number: 03.23.36
tempObjectNumber: 78, Title: Terracotta conical-hemispherical spindle-whorl with flat base,  Period: Early Cypriot III–Middle Cypriot II,  Date: ca. 2000–1725 B.C.,  Culture: Cypriot,  Medium: Terracotta; handmade,  Dimensions: H. 1 5/16 in. (3.4 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.937
tempObjectNumber: 79, Title: Gold roundel of bulbous form,  Period: Late Bronze Age,  Date: ca. 1600–1050 B.C.,  Culture: Cypriot,  Medium: Gold,  Dimensions: Diam.: 1 1/2 in. (3.8 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3039
tempObjectNumber: 80, Title: Terracotta stamnos (jar),  Period: Classical,  Date: ca. 475–450 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-glaze,  Dimensions: diameter  14 1/4in. (36.2cm),  Classification: Vases,  Credit Line: Gift of F. W. Rhinelander 1898,  Accession Number: 98.8.8
tempObjectNumber: 81, Title: Strainer,  Period: Cypro-Archaic ?,  Date: 750–480 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: Other: 2 7/8in. (7.3cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.472
tempObjectNumber: 82, Title: Group of three standing male figures,  Period: Cypro-Archaic II,  Date: 6th century B.C.(?),  Culture: Cypriot,  Medium: Terracotta; hand-made,  Dimensions: H. 6 3/8 in. (16.2 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1600
tempObjectNumber: 83, Title: Head with elephant spoils,  Period: Hellenistic,  Date: 3rd century B.C.,  Culture: Greek Egypt,  Medium: Bronze,  Dimensions: Overall: 2 x 1 3/4 x 1 3/4 in. (5.1 x 4.4 x 4.4 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1955,  Accession Number: 55.11.12
tempObjectNumber: 84, Title: Gold earring with head of a bull,  Period: Classical or Hellenistic,  Date: 4th–3rd century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Other: 5/8 x 1/4 x 11/16 in. (1.6 x 0.7 x 1.8 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3405
tempObjectNumber: 85, Title: Gold earring with head of a goat,  Period: Classical or Hellenistic,  Date: 4th–3rd century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Other: 7/16 x 1/8 x 7/16 in. (1.2 x 0.4 x 1.2 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3425
tempObjectNumber: 86, Title: Terracotta ring vase,  Period: Middle Bronze Age,  Date: ca. 1900–1600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H. 5 7/16 in. (13.8 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1040
tempObjectNumber: 87, Title: Glass oinochoe (perfume jug),  Period: Classical,  Date: late 6th–5th century B.C.,  Culture: Greek Eastern Mediterranean,  Medium: Glass; core-formed Group I,  Dimensions: H.: 3 11/16 in. (9.4 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.774
tempObjectNumber: 88, Title: Limestone grave marker,  Period: Classical,  Date: 4th century B.C.,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 57 x 27 3/4in. (144.8 x 70.5cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2485
tempObjectNumber: 89, Title: Vase,  Culture: Roman,  Medium: Terracotta,  Dimensions: H. 10.49 cm.,  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.1819
tempObjectNumber: 90, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 7/8 x 1 3/16 in. (2.2 x 3 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1847
