tempObjectNumber: 40, Title: Fragment of a terracotta plaque,  Period: Archaic,  Date: 7th century B.C.,  Culture: Greek Cretan,  Medium: Terracotta,  Dimensions: 3 3/4 in. x 2 in. (9.5 cm x 5 cm),  Classification: Terracottas,  Credit Line: Gift of the Archaeological Institute of America 1953,  Accession Number: 53.5.14
tempObjectNumber: 41, Title: Mosaic glass bowl fragment,  Period: Early Imperial,  Date: late 1st century B.C.–early 1st century A.D.,  Culture: Roman,  Medium: Glass; cast,  Dimensions: Overall: 1 3/16 x 2 1/2 in. (3 x 6.4 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1737
tempObjectNumber: 42, Title: Bronze statue of a camillus (acolyte),  Period: Early Imperial Julio-Claudian,  Date: ca. A.D. 14–54,  Culture: Roman,  Medium: Bronze,  Dimensions: H. 46 1/8 in. (117.1 cm),  Classification: Bronzes,  Credit Line: Gift of Henry G. Marquand 1897,  Accession Number: 97.22.25
tempObjectNumber: 43, Title: Statuette of a woman votary 5 ?,  Date: ca. 700–500 B.C.,  Culture: Greek Laconian,  Medium: Lead,  Dimensions: Height: 1 3/16 in. (3 cm),  Classification: Miscellaneous-Lead,  Credit Line: Gift of A. J. B. Wace 1924,  Accession Number: 24.195.29
tempObjectNumber: 44, Title: Bead ornament circular,  Period: Late Imperial,  Date: 3rd century A.D.,  Culture: Roman,  Medium: Gold,  Dimensions: 1/16 × 5/16 in. (0.2 × 0.8 cm),  Classification: Gold and Silver,  Credit Line: Purchase 1895,  Accession Number: 95.16.22
tempObjectNumber: 45, Title: Volute-krater fragment,  Period: Late Classical,  Date: ca. 360–340 B.C.,  Culture: Greek South Italian Apulian,  Medium: Terracotta; red-figure,  Dimensions: 3 x 2 3/4in. (7.6 x 7cm),  Classification: Vases,  Credit Line: Rogers Fund 1919,  Accession Number: 19.192.81.63
tempObjectNumber: 46, Title: Carnelian scarab,  Period: Archaic,  Date: ca. 480–450 B.C.,  Culture: Etruscan Populonia,  Medium: Carnelian,  Dimensions: H.: 9/16 x 7/8 in. (1.5 x 2.3 cm),  Classification: Gems,  Credit Line: Rogers Fund 1948,  Accession Number: 48.11.1
tempObjectNumber: 47, Title: Limestone head of a female votary,  Date: 2nd century B.C.,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 10 9/16 × 12 × 6 in. (26.8 × 30.5 × 15.2 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2818
tempObjectNumber: 48, Title: Terracotta oinochoe (jug),  Period: Hellenistic,  Date: early 3rd century B.C.,  Culture: Etruscan,  Medium: Terracotta,  Dimensions: H. 3 9/16 in. (9.1 cm),  Classification: Vases,  Credit Line: Rogers Fund 1903,  Accession Number: 03.24.27
tempObjectNumber: 49, Title: Spearhead,  Period: Early Iron Age,  Date: ca. 1050–1000 B.C.,  Culture: Cypriot,  Medium: Bronze,  Dimensions: 5 11/16in. (14.4cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5304
tempObjectNumber: 50, Title: Bronze mirror,  Period: Classical,  Date: ca. 450–420 B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: length  9 1/8 in. (23.2 cm); diameter  6 7/8 in. (17.5 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1922,  Accession Number: 22.139.84
tempObjectNumber: 51, Title: Kylix,  Attribution: near the Heraion Painter,  Period: Archaic,  Date: late 6th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: Other: 6 3/8in. (16.2cm),  Classification: Vases,  Credit Line: Rogers Fund 1920,  Accession Number: 20.206
tempObjectNumber: 52, Title: Glass flask,  Period: Late Imperial,  Date: 3rd–4th century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H. 3 1/2 in. (8.9 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.74
tempObjectNumber: 53, Title: Terracotta statuette of an actor,  Period: Late Classical,  Date: late 5th–early 4th century B.C.,  Culture: Greek,  Medium: Terracotta,  Dimensions: H. 3 5/16 in. (8.4 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1913,  Accession Number: 13.225.17
tempObjectNumber: 54, Title: Terracotta statuette of a woman,  Period: Cypro-Archaic II,  Date: ca. 600–480 B.C.,  Culture: Cypriot,  Medium: Terracotta; mold-made,  Dimensions: H. 9 3/8 in. (23.8 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1575
tempObjectNumber: 55, Title: Statuette of a youth,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Bronze,  Dimensions: H.: 5 9/16 in. (14.1 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1912,  Accession Number: 12.235.1
tempObjectNumber: 56, Title: Glass hemispherical bowl,  Period: Late Hellenistic,  Date: 1st century B.C.,  Culture: Greek Eastern Mediterranean,  Medium: Glass; cast and cut,  Dimensions: H.: 2 1/2 in. (6.3 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1235
tempObjectNumber: 57, Title: Dinos,  Culture: Greek Attic,  Medium: Terracotta; black-glaze,  Dimensions: H. 26.59 cm.,  Classification: Vases,  Credit Line: Gift of Arthur L. Gale 1949,  Accession Number: 49.94.1
