tempObjectNumber: 31, Title: Terracotta pyxis (box),  Period: Classical,  Date: late 5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: diameter  2 1/2 in. (6.4 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.142a b
tempObjectNumber: 32, Title: Plate,  Attribution: the Xenon Group,  Period: Late Classical,  Date: 4th century B.C.,  Culture: Greek South Italian Apulian,  Medium: Terracotta,  Dimensions: Other: 6 in. (15.2 cm),  Classification: Vases,  Credit Line: Purchase Mrs. James J. Rorimer Gift 1972,  Accession Number: 1972.11.7
tempObjectNumber: 33, Title: Glass bead,  Period: Late Imperial,  Date: 4th century A.D.,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 7/8 in. (2.2 cm),  Classification: Glass,  Credit Line: Purchase 1915,  Accession Number: 15.130.10
tempObjectNumber: 34, Title: Limestone relief,  Period: Archaic,  Date: end of the 6th century B.C.,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 20 1/2 x 34 3/8 x 2 15/16 in. (52 x 87.3 x 7.5 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2853
tempObjectNumber: 35, Title: Limestone statuette of a beardless male votary in Greek dress,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 14 7/8 x 5 1/4 x 3 3/4 in. (37.8 x 13.3 x 9.5 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2575
tempObjectNumber: 36, Title: Statuette of a youth,  Period: Classical,  Date: 5th century B.C. or later,  Culture: Etruscan,  Medium: Bronze,  Dimensions: H.: 4 5/16 x 1 3/16 x 1 3/8 in. (11 x 3 x 3.5 cm),  Classification: Bronzes,  Credit Line: Gift of Mrs. Helen H. Mertens 1977,  Accession Number: 1977.194.4
tempObjectNumber: 37, Title: Bead,  Culture: Roman,  Medium: Glass,  Dimensions: Height: 3/4 x 15/16 in. (1.9 x 2.4 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.490
tempObjectNumber: 38, Title: Jug,  Period: Geometric,  Date: 8th century B.C.,  Culture: Greek Attic,  Medium: Terracotta,  Dimensions: 2 1/2in. (6.3cm),  Classification: Vases,  Credit Line: Gift of the Greek Government 1930,  Accession Number: 30.118.34
tempObjectNumber: 39, Title: Bowl,  Period: Cypro-Archaic I,  Date: 750–600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: Other: 5 1/8in. (13cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.439
tempObjectNumber: 40, Title: Terracotta tankard,  Period: Geometric,  Date: late 8th century B.C.,  Culture: Greek Attic,  Medium: Terracotta,  Dimensions: H. as preserved  3 3/4 in. (9.5 cm),  Classification: Vases,  Credit Line: Gift of the Greek Government 1930,  Accession Number: 30.118.19a b
tempObjectNumber: 41, Title: Brown glass oval set in a gilt bronze ring,  Period: Hellenistic,  Date: 3rd–2nd century B.C.,  Culture: Greek,  Medium: Glass brown,  Dimensions: Overall: 9/16 x 3/4 in. (1.4 x 1.9 cm),  Classification: Gems,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.25
tempObjectNumber: 42, Title: Spherical spindle-whorl with broad flat top and base,  Period: Early Cypriot III–Middle Cypriot II,  Date: ca. 2000–1725 B.C.,  Culture: Cypriot,  Medium: Terracotta; hand-made,  Dimensions: H. 1 1/4 in. (3.2 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.934
tempObjectNumber: 43, Title: Marble statue of a draped seated man,  : Signed by Zeuxis as sculptor,  Period: Late Republic or Early Imperial Augustan,  Date: 1st century B.C.,  Culture: Roman,  Medium: Marble Pentelic,  Dimensions: H. 51 1/2 in. (130.8 cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1909,  Accession Number: 09.221.4
tempObjectNumber: 44, Title: Amulet plaque group of deities,  Medium: Clay glazed,  Dimensions: Other: 1 1/16 x 1 x 1/4 in. (2.7 x 2.6 x 0.6 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4535
tempObjectNumber: 45, Title: Earring-loop type plain,  Medium: Gold,  Dimensions: Other: 11/16 x 1/8 x 3/4 in. (1.8 x 0.4 x 1.9 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3833
tempObjectNumber: 46, Title: Terracotta stand,  Period: Classical,  Date: late 6th–5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-glaze,  Dimensions: H. 15/16 in. (2.4 cm); diameter  2 7/8 in. (7.3 cm),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.111
tempObjectNumber: 47, Title: Bronze statuette of a warrior,  Period: Archaic,  Date: 7th–6th century B.C.,  Culture: Etruscan or Italic,  Medium: Bronze,  Dimensions: 6 3/8in. (16.2cm),  Classification: Bronzes,  Credit Line: Purchase 1896,  Accession Number: 96.9.428
tempObjectNumber: 48, Title: Wall painting on black ground: pair of supports from the imperial villa at Boscotrecase,  Period: Early Imperial,  Date: last decade of the 1st century B.C.,  Culture: Roman Pompeian,  Medium: Fresco,  Dimensions: Overall: 59 x 19 1/4in. (149.9 x 48.9cm),  Classification: Miscellaneous-Paintings,  Credit Line: Rogers Fund 1920,  Accession Number: 20.192.7
tempObjectNumber: 49, Title: Fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 9/16 x 1 7/16 in. (1.5 x 3.6 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1874
tempObjectNumber: 50, Title: Statuette of Eros,  Medium: Terracotta,  Dimensions: Height: 2 3/8 in. (6 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1130
tempObjectNumber: 51, Title: Agate intaglio: Uterine symbol,  Period: Imperial,  Date: 2nd century A.D.,  Culture: Roman,  Medium: Agate,  Dimensions: Other: 9/16 x 7/16 x 1/16 in. (1.4 x 1.1 x 0.2 cm),  Classification: Gems,  Credit Line: Gift of Miss Helen Miller Gould 1910,  Accession Number: 10.130.1386
tempObjectNumber: 52, Title: Jug,  Period: Bronze Age,  Date: ca. 3200–1050 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H.: 13 3/16 in. (33.5 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1126
tempObjectNumber: 53, Title: Juglet,  Period: Cypro-Archaic I–II,  Date: 750–480 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 3 5/8in. (9.2cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.453
tempObjectNumber: 54, Title: Bronze stand,  Period: Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Bronze,  Dimensions: H. 6 in. (15.2 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1908,  Accession Number: 08.258.12
tempObjectNumber: 55, Title: Terracotta skyphos (drinking cup),  Period: Archaic,  Date: end of the 7th century B.C.,  Culture: East Greek or Lydian,  Medium: Terracotta,  Dimensions: diameter with handles  6 9/16 in. (16.7 cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.65
tempObjectNumber: 56, Title: Kylix fragments,  Attribution: the Painter of London D 12,  Period: Classical,  Date: ca. 460 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Classification: Vases,  Credit Line: Gift of Dietrich von Bothmer 1985,  Accession Number: 1985.228.1a b
tempObjectNumber: 57, Title: Bronze statuette of a goat,  Period: Geometric,  Date: 9th–8th century B.C.,  Culture: Cypriot,  Medium: Bronze,  Dimensions: H. 4 1/4 in. (10.8 cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5591
tempObjectNumber: 58, Title: Pendant,  Period: Early Minoan III,  Date: ca. 2300–1700 B.C.,  Culture: Minoan,  Medium: Alabaster,  Dimensions: Other: 1/2 x 13/16 x 7/8 in. (1.2 x 2 x 2.3 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.55
tempObjectNumber: 59, Title: Glass ring,  Period: Hellenistic,  Date: 2nd–1st century B.C.,  Culture: Greek,  Medium: Glass; cast and cut,  Dimensions: Width (bezel): 1/8 in. (0.3 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4294
tempObjectNumber: 60, Title: Head of a youth from a marble stele (grave marker),  Period: Archaic,  Date: ca. 525 B.C.,  Culture: Greek Attic,  Medium: Marble Parian,  Dimensions: Overall: 10 1/4 x 15 1/2 in. (26 x 39.4 cm); thickness at top  15 1/4 in. (38.7 cm); thickness at bottom 15 7/16 in. (39.3 cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1942,  Accession Number: 42.11.36
tempObjectNumber: 61, Title: Terracotta bowl,  Period: Middle Cypriot I–II,  Date: ca. 1900–1725 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: diameter  3 11/16 in. (9.4 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1248
tempObjectNumber: 62, Title: Circular plaster relief,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Plaster,  Dimensions: Diam.: 4 5/16 in. (11 cm),  Classification: Miscellaneous-Plaster,  Credit Line: Fletcher Fund 1931,  Accession Number: 31.11.15
