tempObjectNumber: 31, Title: Terracotta vessel fragment,  Period: Late Neolithic or Early Helladic I,  Date: ca. 4000–3000 B.C.,  Culture: Greek Neolithic,  Medium: Terracotta; Polychrome ware,  Dimensions: Other: 1 1/8in. (2.9cm),  Classification: Vases,  Credit Line: Anonymous Gift 1930,  Accession Number: 30.119.69
tempObjectNumber: 32, Title: Jug,  Period: Cypro-Archaic I,  Date: 750–600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 7 3/16in. (18.3cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.474
tempObjectNumber: 33, Title: Carnelian ring stone,  Period: Late Republican or Imperial,  Date: ca. 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Carnelian,  Dimensions: Length: 13/16 in. (2.1 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.118
tempObjectNumber: 34, Title: Sard ring stone,  Period: Late Republican or Imperial,  Date: ca. 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Sard,  Dimensions: Length: 9/16 in. (1.4 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.80
tempObjectNumber: 35, Title: Gold earring with pendant,  Period: Mid Imperial,  Date: 2nd century A.D.,  Culture: Roman,  Medium: Gold,  Dimensions: Other: 9/16 x 3/16 x 1 1/8 in. (1.5 x 0.5 x 2.8 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3766
tempObjectNumber: 36, Title: Jar,  Culture: Etruscan,  Medium: Terracotta,  Dimensions: Overall: 4 1/2in. (11.4cm),  Classification: Vases,  Credit Line: Purchase by subscription 1896,  Accession Number: 96.18.89
tempObjectNumber: 37, Title: Bowl,  Period: Bronze Age,  Date: ca. 3200–1050 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: Diam.: 5 3/4 in. (14.6 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1334
tempObjectNumber: 38, Title: Gold ring,  Period: Late Classical or Hellenistic,  Date: late 4th or early 3rd century B.C.,  Culture: Etruscan,  Medium: Gold,  Dimensions: Diam.: 1 1/4 in. (3.2 cm),  Classification: Gold and Silver,  Credit Line: Rogers Fund 1903,  Accession Number: 03.24.34
tempObjectNumber: 39, Title: Terracotta Megarian bowl,  Period: Hellenistic,  Date: ca. 150–100 B.C.,  Culture: Roman,  Medium: Terracotta; mold made,  Dimensions: h. 2 5/8 in. (6.7 cm);  d. 4 3/8 in. (11.1 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.284
tempObjectNumber: 40, Title: Gold earring with disc and pendant,  Period: Mid Imperial,  Culture: Roman,  Medium: Gold,  Dimensions: Other: 7/16 x 5/16 x 13/16 in. (1 x 0.7 x 2 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3759
