tempObjectNumber: 32, Title: Lamp,  Date: 2nd century A.D.,  Culture: Roman,  Medium: Terracotta,  Dimensions: Length 9.4 cm.  H. 3.7 cm.,  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1851
tempObjectNumber: 33, Title: Upper part of a limestone statuette of a female aulos player,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: H.:6 1/2 x W.:5 1/8 x D.:3 1/8 in. (16.5 x 13 x 7.9 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2532
tempObjectNumber: 34, Title: Quails from an apron-like garment,  Period: Archaic,  Date: 7th century B.C.,  Culture: Italic,  Medium: Amber,  Dimensions: H.: 3/4 x 15/16 in. (1.9 x 2.4 cm),  Classification: Miscellaneous-Amber,  Credit Line: Purchase Renée E. and Robert A. Belfer Patti Cadby Birch and The Joseph Rosen Foundation Inc. Gifts and Harris Brisbane Dick Fund 1992,  Accession Number: 1992.11.29a–n
tempObjectNumber: 35, Title: Lead ornament,  Period: Archaic,  Date: 6th–5th century B.C.,  Culture: Greek Laconian,  Medium: Lead,  Classification: Miscellaneous-Lead,  Credit Line: Gift of A. J. B. Wace 1924,  Accession Number: 24.195.123
tempObjectNumber: 36, Title: Earring with ball pendant,  Medium: Gold,  Dimensions: Other: 3/8 x 1 1/2 x 1 1/16 in. (1 x 3.8 x 2.7 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3616
tempObjectNumber: 37, Title: Olpe,  Period: Classical,  Date: ca. 430 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: Diam. of foot: 2 1/8 in. (5.4 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.147
tempObjectNumber: 38, Title: Strainer,  Period: Iron Age,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: Other: 2 15/16in. (7.5cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.471
tempObjectNumber: 39, Title: Terracotta jug with spirals,  Period: Middle Minoan IIIB,  Date: ca. 1700–1600 B.C.,  Culture: Minoan,  Medium: Terracotta; Light-on-dark ware,  Dimensions: Total height 18 7/8 in. (48 cm.),  Classification: Vases,  Credit Line: Gift of Ashmolean Museum by exchange 1911,  Accession Number: 11.186.12
tempObjectNumber: 40, Title: Chisel,  Culture: Roman,  Medium: Bronze bone,  Dimensions: Other: 3 7/16 in. (8.7 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1917,  Accession Number: 17.230.105
tempObjectNumber: 41, Title: Terracotta owl skyphos,  Period: Classical,  Date: 5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: Diameter: 5 3/4 in. (14.6 cm) with handles,  Classification: Vases,  Credit Line: Gift of Bess Myerson 2001,  Accession Number: 2001.761.5
tempObjectNumber: 42, Title: Intaglio,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Glass blue,  Dimensions: Other: 7/16 x 1/8 in. (1.1 x 0.2 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.714
tempObjectNumber: 43, Title: Ring with intaglio of a bird,  Date: 1st century A.D.,  Culture: Roman,  Medium: Gold gem,  Dimensions: Other: 9/16 × 11/16 × 7/16 in. (1.5 × 1.8 × 1.1 cm),  Classification: Gold and Silver,  Credit Line: Gift of Leon Farber 1992,  Accession Number: 1992.263.8
tempObjectNumber: 44, Title: Lamp concave top,  Date: 1st century B.C.–1st century A.D.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: Overall: 1 1/16 x 3 5/8 in. (2.7 x 9.2 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1845
tempObjectNumber: 45, Title: Amphora,  Period: Cypro-Geometric II,  Date: 950–850 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 16 1/16in. (40.8cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.717
tempObjectNumber: 46, Title: Rod dipping,  Culture: Roman Cypriot,  Medium: Bronze,  Dimensions: Other: 6 7/8in. (17.5cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5440
tempObjectNumber: 47, Title: Pendant in the form of a rosette with acorn 5,  Culture: Greek,  Medium: Gold,  Dimensions: Diameter (.e): 1 1/8 × 3/16 in. (2.9 × 0.5 cm),  Classification: Gold and Silver,  Credit Line: Purchase 1895,  Accession Number: 95.16.18a–e
tempObjectNumber: 48, Title: Oinochoe,  Period: Archaic,  Date: last quarter of 6th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: 8 5/8in. (21.9cm),  Classification: Vases,  Credit Line: Rogers Fund 1909,  Accession Number: 09.221.45
tempObjectNumber: 49, Title: Marble alabastron (perfume vase),  Period: Classical,  Date: 5th century B.C.,  Culture: Greek,  Medium: Marble,  Dimensions: H. 5 15/16 in. (15 cm),  Classification: Miscellaneous-Stone Vases,  Credit Line: Purchase Mr. and Mrs. Martin Fried and Schimmel Foundation Inc. Gifts 1979,  Accession Number: 1979.11.18
tempObjectNumber: 50, Title: Oinochoe in the form of a woman's head,  Period: Late Archaic,  Date: early 5th century B.C.,  Culture: Greek or Etruscan South Italian (Campanian),  Medium: Terracotta,  Dimensions: Other: 8 7/8 × 3 1/8 × 4 1/2 × 2 13/16 in. (22.5 × 7.9 × 11.4 × 7.1 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.45
tempObjectNumber: 51, Title: Plate,  Period: Cypro-Geometric III,  Date: 850–750 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 2 7/8in. (7.3cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.466
tempObjectNumber: 52, Title: Intaglio,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Chalcedony,  Dimensions: Other: 9/16 x 7/16 x 1/8 in. (1.4 x 1.1 x 0.3 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.1066
tempObjectNumber: 53, Title: Gold coin,  Period: Hellenistic,  Date: ca. 320–309 B.C.,  Culture: Cypriot,  Medium: Gold,  Dimensions: Diameter: 1/4 0.7g (0.7 × 0.1 cm 0.7g),  Classification: Coins,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3670
tempObjectNumber: 54, Title: Intaglio,  Medium: Garnet,  Dimensions: Other: 5/8 x 1/2 x 1/16 in. (1.5 x 1.3 x 0.2 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.244
tempObjectNumber: 55, Title: Oinochoe,  Period: Iron Age,  Date: ca. 1050–900 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H.: 5 1/2 in. (14 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.730
tempObjectNumber: 56, Title: Lamp,  Period: Late Imperial,  Date: 3rd century A.D.,  Culture: Roman,  Medium: Terracotta,  Dimensions: Overall: 1 1/16 x 3 1/16 in. (2.7 x 7.8 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1859
tempObjectNumber: 57, Title: Lamp,  Culture: Greek or Roman,  Medium: Terracotta,  Dimensions: Overall: 7/8 x 3 3/8 in. (2.2 x 8.6 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1887
