tempObjectNumber: 33, Title: Pair of gold earrings with Ganymede and the eagle,  Period: Classical,  Date: ca. 330–300 B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: total H. 2 3/8 in. (6 cm); H. of rosette  1 in. (2.5 cm); H. of Ganymede group  1 3/16 in. (3 cm),  Classification: Gold and Silver,  Credit Line: Harris Brisbane Dick Fund 1937,  Accession Number: 37.11.9 .10
tempObjectNumber: 34, Title: Glass perfume bottle,  Period: Early to Mid Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Diam.: 1 1/2 x 3/4 in. (3.8 x 1.9 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5790
tempObjectNumber: 35, Title: Terracotta lamp,  Period: Early Byzantine,  Date: late 5th–6th century A.D.,  Culture: Roman,  Medium: Terracotta; mold-made,  Dimensions: Diam.: 3 1/4 in. (8.3 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2044
tempObjectNumber: 36, Title: Stemmed glass cup,  Period: Late Imperial or Early Byzantine,  Date: 4th–5th century A.D. or later,  Culture: Roman Palestinian,  Medium: Glass; blown and trailed,  Dimensions: H.: 3 3/4 in. (9.5 cm),  Classification: Glass,  Credit Line: H.O. Havemeyer Collection Bequest of Mrs. H. O. Havemeyer 1929,  Accession Number: 29.100.85
tempObjectNumber: 37, Title: Terracotta statuette,  Period: Imperial,  Date: ca. 2nd century A.D.,  Culture: Roman Egyptian,  Medium: Terracotta; mold-made,  Dimensions: H.: 4 1/4 in. (10.8 cm),  Classification: Terracottas,  Credit Line: Gift of Mrs. Lucy W. Drexel 1889,  Accession Number: 89.2.2004
tempObjectNumber: 38, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 7/8 x 1 5/16 in. (2.3 x 3.3 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1992
tempObjectNumber: 39, Title: Vase Fragment,  Date: 1st century B.C.–1st century A.D.,  Culture: Roman,  Medium: Terracotta,  Dimensions: 2 9/16 × 2 11/16 × 3/16 in. (6.5 × 6.8 × 0.5 cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.1957
tempObjectNumber: 40, Title: Vase fragment,  Period: Early Minoan III,  Culture: Minoan,  Medium: Terracotta,  Dimensions: 1 7/16 × 1 15/16 × 3/16 in. (3.7 × 4.9 × 0.4 cm),  Classification: Vases,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.82
tempObjectNumber: 41, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 1 1/16 x 1 3/16 in. (2.7 x 3 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1858
tempObjectNumber: 42, Title: Vase with lid,  Culture: Etruscan,  Medium: Terracotta,  Dimensions: Diameter: 5 3/4 × 4 11/16 in. (14.6 × 11.9 cm),  Classification: Vases,  Credit Line: Purchase 1896,  Accession Number: 96.9.97a b
tempObjectNumber: 43, Title: Pinhead,  Medium: Glass,  Dimensions: Height: 1/4 x 7/8 in. (0.6 x 2.2 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.814
tempObjectNumber: 44, Title: Marble strigilated vase with snake handles,  Period: Antonine,  Date: 2nd half of the 2nd century A.D.,  Culture: Roman,  Medium: Marble,  Dimensions: H.: 17 5/16 in. (44 cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 2007,  Accession Number: 2007.31a b
tempObjectNumber: 45, Title: Bowl fragmentary Phoenician inscription,  Date: ca. 389 B.C.,  Culture: Cypriot,  Medium: Marble white,  Dimensions: Other: 2 1/8 x 2 1/4 x 1 1/16 in. (5.4 x 5.7 x 2.7 cm),  Classification: Cesnola Inscriptions,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2291
tempObjectNumber: 46, Title: Terracotta lekythos (oil flask),  Attribution: the Painter of New York 23.160.41,  Period: Classical,  Date: ca. 420 B.C.,  Culture: Greek Attic,  Medium: Terracotta; white-ground,  Dimensions: H. 13 5/8 in. (34.6 cm),  Classification: Vases,  Credit Line: Rogers Fund 1923,  Accession Number: 23.160.41
tempObjectNumber: 47, Title: Vase,  Culture: East Greek/Sardis Lydian,  Medium: Terracotta,  Dimensions: H. 11 7/8 in. (30.2 cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Exploration of Sardis 1916,  Accession Number: 16.75.3
tempObjectNumber: 48, Title: Seal,  Period: Early Minoan III,  Culture: Minoan,  Medium: Steatite,  Dimensions: Other: 9/16 x 9/16 in. (1.5 x 1.5 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.24
