tempObjectNumber: 1, Title:  Bronze folding key,  Date: 10th–12th century A.D.,  Culture: Byzantine,  Medium: Bronze,  Dimensions: Other: 1 1/16 in. (2.7 cm),  Classification: Bronzes,  Credit Line: Purchase 1898,  Accession Number: 98.11.3
tempObjectNumber: 21, Title:  Vase fragment,  Period: Early Helladic,  Date: ca. 3000–2200 B.C.,  Medium: Terracotta,  Dimensions: 1 9/16 x 1 1/4in. (4 x 3.2cm),  Classification: Vases,  Credit Line: Gift of Gisela M. A. Richter 1923,  Accession Number: 23.121.20
tempObjectNumber: 22, Title:  Glass hexagonal bottle,  Period: Early to Mid Imperial,  Date: 2nd half of 1st–3rd century A.D.,  Culture: Roman,  Medium: Glass; mold-blown,  Dimensions: Overall: 5 x 3 9/16 in. (12.7 x 9 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.24
tempObjectNumber: 23, Title:  Shield bearer,  Period: Cypro-Archaic I,  Date: ca. 750–600 B.C.,  Culture: Cypriot,  Medium: Terracotta; wheel-made and hand-made,  Dimensions: H. 4 7/8 in. (12.4 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1434
tempObjectNumber: 24, Title:  Bronze kyathos (ladle) terminating in a duck's head,  Period: Imperial,  Date: 2nd century A.D.,  Culture: Roman,  Medium: Bronze,  Dimensions: L. (unfolded) 15 7/8 in. (40.4 cm); L. (folded) 8 5/8 in. (21.8 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1988,  Accession Number: 1988.11.2
tempObjectNumber: 25, Title:  Vase fragment,  Period: Archaic,  Date: 6th century B.C.,  Culture: Greek,  Medium: Terracotta,  Dimensions: Other (height of relief): 2 5/8in. (6.7cm),  Classification: Vases,  Credit Line: Fletcher Fund 1924,  Accession Number: 24.97.2
tempObjectNumber: 26, Title:  Terracotta bowl with lid,  Period: Archaic,  Date: late 6th century B.C.,  Culture: Etruscan,  Medium: Terracotta; bucchero pesante,  Dimensions: H.: 8 1/4 in. (21 cm),  Classification: Vases,  Credit Line: Purchase 1896,  Accession Number: 96.9.139a–c
tempObjectNumber: 27, Title:  Bronze batillum (incense shovel),  Period: Mid-Imperial,  Date: late 1st–early 2nd century A.D.,  Culture: Roman,  Medium: Bronze,  Dimensions: L. 12 1/2 in. (31.8 cm),  Classification: Bronzes,  Credit Line: Purchase 1900,  Accession Number: 00.13.7
tempObjectNumber: 28, Title:  Cup,  Culture: Etruscan,  Medium: Terracotta,  Dimensions: Overall: 8 1/2in. (21.6cm),  Classification: Vases,  Credit Line: Rogers Fund 1916,  Accession Number: 16.174.26
tempObjectNumber: 29, Title:  Lamp,  Date: 1st century B.C.–1st century A.D.,  Medium: Terracotta,  Dimensions: Overall: 1 1/8 x 3 3/4 in. (2.9 x 9.5 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2021
tempObjectNumber: 30, Title:  Seal,  Culture: Minoan,  Medium: Steatite,  Dimensions: Other: 11/16 x 5/16 in. (1.8 x 0.8 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.349
tempObjectNumber: 31, Title:  Two fragments of a silver bowl,  Period: Archaic,  Date: 7th century B.C.,  Culture: Cypriot,  Medium: Silver,  Dimensions: Other (b.): 3 1/2 in. (8.9 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4558a b
tempObjectNumber: 32, Title:  Bronze shield boss,  Period: Late Geometric,  Date: 7th century B.C.,  Culture: Italic,  Medium: Bronze,  Dimensions: Diam.: 8 11/16 in. (22.1 cm),  Classification: Bronzes,  Credit Line: Bequest of Walter C. Baker 1971,  Accession Number: 1972.118.52
tempObjectNumber: 33, Title:  Glass network mosaic bowl fragment,  Period: Early Imperial,  Date: late 1st century B.C.–early 1st century A.D.,  Culture: Roman,  Medium: Glass; cast,  Dimensions: Overall: 1 7/8 x 1 5/16 in. (4.8 x 3.3 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1676
tempObjectNumber: 34, Title:  Roundel disk,  Medium: Gold,  Dimensions: Diameter: 1 9/16 × 1/8 in. (4 × 0.3 cm),  Classification: Gold and Silver,  Credit Line: Bequest of Walter C. Baker 1971,  Accession Number: 1972.118.166
tempObjectNumber: 35, Title:  Terracotta statuette of a standing woman,  Period: Classical,  Date: ca. 450–400 B.C.,  Culture: Greek Boeotian,  Medium: Back venting: back handmade flattened. Very large rectangular ("open door") vent from chest to base.,  Dimensions: H. 13 11/16 in. (34.7 cm),  Classification: Terracottas,  Credit Line: Gift of Dr. and Mrs. Richard P. Lasser 1975,  Accession Number: 1975.417
tempObjectNumber: 36, Title:  Glass perfume bottle,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown and tooled,  Dimensions: Diam.: 2 5/16 x 13/16 in. (5.9 x 2.1 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5802
tempObjectNumber: 37, Title:  Limestone statuette of a beardless male votary with a wreath of leaves,  Culture: Cypriot,  Medium: Limestone,  Dimensions: H. 8 x 4 x 1 3/4 in.  (20.3 x 10.2 x 4.4 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2710
tempObjectNumber: 38, Title:  Gold and pearl earring (one of a pair),  Period: Late Imperial,  Date: 3rd century A.D.,  Culture: Roman Cypriot,  Medium: Gold pearl,  Dimensions: Other: 1 1/2 in. (3.8 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3853
tempObjectNumber: 39, Title:  Lead votive figurine,  Date: 7th–5th century B.C.,  Culture: Greek Laconian,  Medium: Lead,  Classification: Miscellaneous-Lead,  Credit Line: Gift of A. J. B. Wace 1924,  Accession Number: 24.195.53
tempObjectNumber: 40, Title:  Skyphos fragment,  Culture: East Greek/Sardis Lydian,  Medium: Terracotta,  Dimensions: Overall: 1 15/16 x 1 1/2in. (5 x 3.8cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.211
tempObjectNumber: 41, Title:  Terracotta stemmed dish,  Period: Archaic,  Date: 6th century B.C.,  Culture: Lydian,  Medium: Terracotta,  Dimensions: diameter  6 7/8 in. (17.5 cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Exploration of Sardis 1914,  Accession Number: 14.30.14
tempObjectNumber: 42, Title:  Terracotta vessel fragment with boss,  Period: Late Neolithic,  Date: ca. 4000–3000 B.C.,  Culture: Greek Neolithic,  Medium: Terracotta; Dark monochrome ware,  Dimensions: length  2 3/16in. (5.5cm),  Classification: Vases,  Credit Line: Anonymous Gift 1930,  Accession Number: 30.119.77
tempObjectNumber: 43, Title:  Bronze elliptical leaf perhaps a waist ornament,  Period: Classical,  Date: 5th century B.C.,  Culture: Etrucan Vulci,  Medium: Bronze,  Dimensions: Other: 2 1/4 x 6 3/8 in. (5.7 x 16.2 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1921,  Accession Number: 21.88.123
tempObjectNumber: 44, Title:  Terracotta squat jar,  Period: Late Bronze Age,  Date: ca. 15th century B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H. 3 in. (7.6 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1288
tempObjectNumber: 45, Title:  Bronze military diploma,  Period: Mid-Imperial Antonine,  Date: ca. A.D. 149,  Culture: Roman,  Medium: Bronze,  Dimensions: B: Overall: 4 3/16 x 5 3/16 x 1/16 in. (10.6 x 13.1 x 0.2 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1923,  Accession Number: 23.160.32a b
tempObjectNumber: 46, Title:  Terracotta lagynos (oil flask),  Period: Hellenistic,  Date: 2nd–1st century B.C.,  Culture: Greek,  Medium: Terracotta,  Dimensions: h. 5 7/16 in. (13.9 cm),  Classification: Vases,  Credit Line: Rogers Fund 1947,  Accession Number: 47.11.1
tempObjectNumber: 47, Title:  Gold earring with head of a lion,  Period: Classical or Hellenistic,  Date: 4th–3rd century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Other: 1/2 x 3/16 x 1/2 in. (1.3 x 0.5 x 1.3 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3439
tempObjectNumber: 48, Title:  Ring,  Medium: Bone,  Classifications: Miscellaneous-Bone Ivory,  Credit Line: Purchase by subscription 1896,  Accession Number: 96.18.176
tempObjectNumber: 49, Title:  Terracotta krater,  Period: Late Cypriot II,  Date: ca. 1450–1200 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: diameter  9 3/4 in. (24.8 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1055
tempObjectNumber: 50, Title:  Bead with pomegranate,  Medium: Gold,  Dimensions: Diameter: 3/16 x 1/4 in. (0.4 x 0.7 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3634
tempObjectNumber: 51, Title:  Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 1 3/16 x 1 3/8 in. (3 x 3.6 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1670
tempObjectNumber: 52, Title:  Fragment of a terracotta kylix (drinking cup),  Period: Classical,  Date: ca. 480 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: Other: 1 3/4 x 1 7/16 x 1/8 in. (4.4 x 3.6 x 0.4 cm),  Classification: Vases,  Credit Line: Gift of the Honorable Iris Cornelia Love 2011,  Accession Number: 2011.603.11
tempObjectNumber: 53, Title:  Glass spindle whorl,  Period: Imperial,  Date: ca. 1st–3rd century A.D.,  Culture: Roman,  Medium: Glass; rod-formed and wound,  Dimensions: Diam.: 1 x 5/16 in. (2.5 x 0.8 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5873
tempObjectNumber: 54, Title:  Lamp,  Period: Late Antique,  Date: 5th century A.D.,  Culture: Roman Cypriot,  Medium: Terracotta,  Dimensions: Overall: 1 1/4 x 3 1/8 in. (3.2 x 7.9 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2227
tempObjectNumber: 55, Title:  Ring,  Medium: Gold,  Dimensions: Other: 9/16 × 5/8 × 5/16 in. (1.4 × 1.5 × 0.7 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4113
tempObjectNumber: 56, Title:  Gold earring with head of a goat,  Period: Classical or Hellenistic,  Date: 4th–3rd century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Other: 5/8 x 1/8 x 11/16 in. (1.6 x 0.2 x 1.8 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3410
tempObjectNumber: 57, Title:  Intaglio,  Medium: Agate banded,  Dimensions: Other: 3/4 x 7/8 x 1/8 in. (1.9 x 2.2 x 0.3 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.232
tempObjectNumber: 58, Title:  Mirror,  Date: 6th century B.C.,  Culture: Greek Cypriot,  Medium: Bronze,  Dimensions: Other (length with tang): 8 1/2in. (21.6cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5416
tempObjectNumber: 59, Title:  Lekythos,  Attribution:  the Leagros Group,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: 12 1/2in. (31.8cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.81
tempObjectNumber: 60, Title:  Female grotesque,  Period: Late Hellenistic,  Date: 2nd–1st century B.C.,  Culture: Cypriot,  Medium: Terracotta; mold-made,  Dimensions: H. 3 7/8 in. (9.8 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1725
tempObjectNumber: 61, Title:  Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 1 1/4 x 1 7/16 in. (3.1 x 3.7 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1824
tempObjectNumber: 62, Title:  Panathenaic prize amphora fragmentary,  Period: Archaic,  Date: ca. 500 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Classification: Vases,  Credit Line: Rogers Fund 1907,  Accession Number: 07.286.62
tempObjectNumber: 63, Title:  Intaglio,  Medium: Sard,  Dimensions: Other: 9/16 x 1/8 in. (1.4 x 0.3 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.222
tempObjectNumber: 64, Title:  Copper alloy spearhead,  Period: Early Bronze Age,  Date: ca. 2500–2000 B.C.,  Culture: Cypriot,  Medium: Bronze,  Dimensions: 15 9/16in. (39.5cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5273
tempObjectNumber: 65, Title:  Mastoid skyphos,  : Close in style to the Haimon Painter,  Period: Archaic,  Date: ca. 500–490 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: Diameter: 6 1/8 × 4 1/4 × 1 7/16 in. (15.6 × 10.8 × 3.7 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.84
tempObjectNumber: 66, Title:  Finial of a marble stele (grave marker),  Period: Archaic,  Date: ca. 525 B.C.,  Culture: Greek Attic,  Medium: Marble Parian,  Dimensions: H. 12 3/8 in. (31.5 cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1944,  Accession Number: 44.11.5
tempObjectNumber: 67, Title:  Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 1 7/8 x 2 1/8 in. (4.8 x 5.4 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1664
tempObjectNumber: 68, Title:  Bead,  Medium: Clay glazed,  Dimensions: Height: 3/4 x 1/2 in. (2 x 1.3 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4549
tempObjectNumber: 69, Title:  Earring or spiral,  Culture: Cypriot,  Medium: Silver,  Dimensions: Diameter: 9/16 x 1/8 x 3/8 in. (1.5 x 0.4 x 0.9 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3380
tempObjectNumber: 70, Title:  Terracotta head of a goddess,  Period: Cypro-Classical II,  Date: 4th century B.C.,  Culture: Greek Cypriot,  Medium: Terracotta; mold-made and handmade,  Dimensions: H. 3 9/16 in. (9.1 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1437
tempObjectNumber: 71, Title:  Ring motto,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Gold,  Dimensions: Other: 1/2 x 9/16 in. (1.3 x 1.4 cm),  Classification: Gems,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4098
tempObjectNumber: 72, Title:  Lamp,  Date: 1st century B.C.–1st century A.D.,  Medium: Terracotta,  Dimensions: Length 10 cm.  H. 3 cm.,  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2073
tempObjectNumber: 73, Title:  Terracotta hydria: kalpis (water jar),  Attribution:  the Chicago Painter,  Period: Classical,  Date: ca. 450 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: Diam. of foot: 4 1/2 in. (11.4 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.190
tempObjectNumber: 74, Title:  Lamp,  Culture: Roman,  Medium: Terracotta,  Dimensions: Overall: 1 3/4 x 3 3/8 in. (4.4 x 8.6 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2254
tempObjectNumber: 75, Title:  Earring with pendant and disc and pearl setting,  Medium: Gold pearl,  Dimensions: Other: 5/16 x 15/16 x 1/2 in. (0.8 x 2.4 x 1.2 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3823
tempObjectNumber: 76, Title:  Standing female figurine,  Period: Late Archaic,  Date: Early 5th century B.C.,  Culture: Greek Attic ?,  Medium: Terracotta; mold-made,  Dimensions: H. 6 3/8 in. (16.2 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1731
tempObjectNumber: 77, Title:  Terracotta squat lekythos (oil flask),  Attribution:  the manner of the Meidias Painter,  Period: Classical,  Date: ca. 410 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: diameter  4 3/4 in. (12.1 cm),  Classification: Vases,  Credit Line: Rogers Fund 1911,  Accession Number: 11.213.2
tempObjectNumber: 78, Title:  Pair of gold-disk earrings with Erotes pendants,  Period: Hellenistic,  Date: 3rd–2nd century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: length  1 3/8 in. (3.5 cm),  Classification: Gold and Silver,  Credit Line: Rogers Fund 1907,  Accession Number: 07.286.118 .119
tempObjectNumber: 79, Title:  Carnelian ring stone,  Period: Late Republican or Imperial,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Carnelian,  Dimensions: Length: 1/2 in. (1.3 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.76
tempObjectNumber: 80, Title:  Glass bowl fragment,  Period: Hellenistic,  Date: mid-2nd–early 1st century B.C.,  Culture: Greek Syro-Palestinian,  Medium: Glass cast and cut; cast and cut,  Dimensions: H.: 2 1/2 x 2 in. (6.4 x 5 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.6311
tempObjectNumber: 81, Title:  Ring,  Period: Classical,  Date: 5th–4th century B.C.,  Culture: Greek,  Medium: Silver,  Dimensions: Other: 5/16 x 3/8 x 3/4 in. (0.7 x 0.9 x 1.9 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.478
tempObjectNumber: 82, Title:  Bronze mirror,  Period: Late Classical,  Date: early 4th century B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: length  9 1/2 in. (24.1 cm.); diameter  6 1/16 in. (15.4 cm.),  Classification: Bronzes,  Credit Line: Gift of Henry G. Marquand 1897,  Accession Number: 97.22.16
tempObjectNumber: 83, Title:  Terracotta calyx-krater (bowl for mixing wine and water),  Attribution:  a painter of the Polygnotos Group,  Period: Classical,  Date: ca. 440–430 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: diameter of foot  6 9/16 in. (16.7 cm),  Classification: Vases,  Credit Line: Fletcher Fund 1956,  Accession Number: 56.171.48
tempObjectNumber: 84, Title:  Lekythos,  Period: Late Classical,  Date: 4th century B.C.,  Culture: Greek Attic,  Medium: Terracotta,  Dimensions: Other (height with base): 8in. (20.3cm),  Classification: Vases,  Credit Line: Rogers Fund 1910,  Accession Number: 10.210.40
tempObjectNumber: 85, Title:  Plate,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: diameter  8 1/16 in. (20.4 cm),  Classification: Vases,  Credit Line: Gift of Arthur L. Gale 1949,  Accession Number: 49.94.6
tempObjectNumber: 86, Title:  Intaglio,  Culture: Roman,  Medium: Carnelian,  Dimensions: Other: 9/16 x 7/16 x 1/8 in. (1.4 x 1.1 x 0.4 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.845
tempObjectNumber: 87, Title:  Ring,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Gold,  Dimensions: Other: 9/16 x 5/8 x 1/4 in. (1.4 x 1.6 x 0.7 cm),  Classification: Gems,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4086
tempObjectNumber: 88, Title:  Terracotta kylix (drinking cup),  Attribution:  Psiax,  Period: Archaic,  Date: ca. 520 B.C.,  Culture: Greek Attic,  Medium: Terracotta; bilingual,  Dimensions: diameter  12 3/8 in. (31.5 cm),  Classification: Vases,  Credit Line: Rogers Fund 1914,  Accession Number: 14.146.2
