tempObjectNumber: 1, Title: Oinochoe,  Period: Iron Age,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H. 10 in. (25.4 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.522
tempObjectNumber: 26, Title: Terracotta statuette of a woman,  Period: Classical,  Date: 1st half of the 5th century B.C.,  Culture: Greek probably Attic,  Medium: Terracotta,  Dimensions: H. 12 1/8 in. (30.8 cm),  Classification: Terracottas,  Credit Line: Bequest of Walter C. Baker 1971,  Accession Number: 1972.118.121
tempObjectNumber: 27, Title: Earring delta-shaped,  Medium: Gold,  Dimensions: Other: 9/16 × 3/16 × 1 1/16 in. (1.5 × 0.5 × 2.8 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3943
tempObjectNumber: 28, Title: Pair of terracotta volute-kraters (vases for mixing wine and water) with stands,  Period: Late Classical,  Date: 3rd quarter of the 4th century B.C.,  Culture: Greek South Italian Apulian,  Medium: Terracotta; black-glaze,  Classification: Vases,  Credit Line: The Bothmer Purchase Fund 1995,  Accession Number: 1995.53.2
tempObjectNumber: 29, Title: Fragmentary limestone relief with a snake and dolphin,  Period: Early Hellenistic,  Date: late 4th–3rd century B.C.,  Culture: Cypriot,  Medium: Limestone,  Dimensions: W.12 1/16 in.  (30.6 cm),  Classification: Cesnola Inscriptions,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2369
tempObjectNumber: 30, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 1 x 7/16 in. (2.5 x 1.2 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.2034
tempObjectNumber: 31, Title: Glass hexagonal bottle,  Period: Early Imperial Julio-Claudian,  Date: ca. A.D. 25–50,  Culture: Roman,  Medium: Glass; blown in a three-part mold,  Dimensions: Diam.: 3/4 x 1 5/8 in. (1.9 x 4.1 cm),  Classification: Glass,  Credit Line: Bequest of Mary Anna Palmer Draper 1914,  Accession Number: 15.43.165
tempObjectNumber: 32, Title: Torch-holder,  Date: 6th–4th century B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: diameter of saucer  5 7/8 in. (14.9 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.370
tempObjectNumber: 33, Title: Pinhead,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 1/4 x 1/2 x 13/16 in. (0.6 x 1.3 x 2.1 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.535
tempObjectNumber: 34, Title: Glass pendant in the form of a jar,  Period: Late Imperial,  Date: 3rd–4th century A.D.,  Culture: Roman,  Medium: Glass; rod-formed and applied,  Dimensions: Height: 3/4 x 1/2 in. (1.9 x 1.2 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.468
tempObjectNumber: 35, Title: Glass bead with knobs,  Period: Classical or Early Hellenistic,  Date: 5th–3rd century B.C.,  Culture: Phoenician or Carthaginian,  Medium: Glass; rod-formed and applied,  Dimensions: Other: 11/16 x 9/16 in. (1.7 x 1.4 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.712
tempObjectNumber: 36, Title: Limestone head of a bearded man wearing a wreath,  Period: Classical,  Date: early 5th century B.C.,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 14 x 10 x 9 3/4 in. (35.6 x 25.4 x 24.8 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2837
tempObjectNumber: 37, Title: Terracotta kylix (drinking cup),  Attribution: Epiktetos,  Period: Archaic,  Date: ca. 510 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H. 2 15/16 in. (7.5 cm); diameter  7 1/4 in. (18.5 cm),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.112
tempObjectNumber: 38, Title: Kylix fragments,  Attribution: the Codrus Painter,  Period: Classical,  Date: ca. 430 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Classification: Vases,  Credit Line: Gift of Dietrich von Bothmer 1983,  Accession Number: 1983.101.2 .3
tempObjectNumber: 39, Title: Gold beryl and garnet earring with head of a dolphin,  Period: Hellenistic,  Date: 2nd–1st century B.C.,  Culture: Cypriot,  Medium: Gold beryl garnet,  Dimensions: Other: 1 3/4 in. (4.4 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3401
tempObjectNumber: 40, Title: Oinochoe,  Date: ca. 800–700 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H.: 9 1/2 in. (24.1 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.642
tempObjectNumber: 41, Title: Pendant,  Culture: Minoan,  Medium: Chalcedony,  Dimensions: Other: 7/16 x 7/8 x 7/16 in. (1.2 x 2.3 x 1.1 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.386
tempObjectNumber: 42, Title: Bead,  Culture: Roman,  Medium: Glass,  Dimensions: Diam.: 1 x 3/8 in. (2.6 x 1 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.402
tempObjectNumber: 43, Title: Marble head of a youth,  : Copy of work attributed to Polykleitos,  Period: Early Imperial Claudian,  Date: ca. A.D. 41–54,  Culture: Roman,  Medium: Marble,  Dimensions: Depth   9 1/4 in. (23.5 cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1907,  Accession Number: 07.286.116
tempObjectNumber: 44, Title: Bead,  Medium: Glass,  Dimensions: Other: 11/16 x 1 1/16 in. (1.8 x 2.7 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.655
tempObjectNumber: 45, Title: Glass skyphos (drinking cup),  Period: Hellenistic,  Date: late 3rd–early 2nd century B.C.,  Culture: Greek,  Medium: Glass; cast and cut,  Dimensions: Overall: 5 1/2 x 9in. (14 x 22.9cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.94
tempObjectNumber: 46, Title: Glass pendant in the form of a bird,  Date: 8th–7th century B.C.,  Culture: Greek possibly Rhodian,  Medium: Glass; rod-formed and tooled,  Dimensions: Overall: 9/16 x 3/4 in. (1.4 x 1.9 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.452
tempObjectNumber: 47, Title: Mask,  Date: modern?,  Culture: Roman ?,  Medium: Marble,  Dimensions: Other: 13 3/8 × 9 5/16 in. (34 × 23.7 cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1913,  Accession Number: 13.231.3
tempObjectNumber: 48, Title: Glass head pendant,  Period: Classical,  Date: mid-5th–4th century B.C.,  Culture: Phoenician,  Medium: Glass; rod-formed and trailed,  Dimensions: H.: 1 in. (2.5 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.721
tempObjectNumber: 49, Title: Chalcedony eight-sided cone,  Period: Archaic,  Date: ca. 6th century B.C.,  Culture: Greek,  Medium: Chalcedony,  Dimensions: Length: 13/16 in. (2 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.379
tempObjectNumber: 50, Title: Pinhead,  Culture: Roman,  Medium: Glass,  Dimensions: Height: 5/16 x 9/16 in. (0.9 x 1.4 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.527
tempObjectNumber: 51, Title: Bronze jockey-type helmet with cheek-guards,  Period: Late Classical,  Date: late 4th century B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: H. 7 13/16 in. (19.9 cm),  Classification: Bronzes,  Credit Line: Fletcher Fund 1926,  Accession Number: 26.60.83
tempObjectNumber: 52, Title: Terracotta loom weight,  Period: Archaic or later,  Date: 6th century B.C. or later,  Culture: Lydian,  Medium: Terracotta,  Dimensions: length  3 in. (7.6 cm),  Classification: Terracottas,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.86
tempObjectNumber: 53, Title: Bowl,  Culture: Cypriot,  Medium: Bronze,  Dimensions: Other: 5 3/4in. (14.6cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5603
tempObjectNumber: 54, Title: Bronze statuette of a satyr,  Period: Archaic,  Date: 6th century B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: H.: 4 9/16 in. (11.6 cm),  Classification: Bronzes,  Credit Line: Bequest of Walter C. Baker 1971,  Accession Number: 1972.118.72
tempObjectNumber: 55, Title: Jug,  Period: Cypro-Archaic II,  Date: 600–480 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H. 5 7/8 in. (14.9 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.366
tempObjectNumber: 56, Title: Kylix,  Period: Late Archaic,  Date: ca. 500–475 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-glaze,  Dimensions: Other: 3 9/16in. (9cm),  Classification: Vases,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.444
tempObjectNumber: 57, Title: Terracotta vase fragment with floral decoration and bands,  Period: Middle Minoan II,  Date: ca. 1800–1700 B.C.,  Culture: Minoan,  Medium: Terracotta; Kamares ware,  Dimensions: Overall: 2 9/16 x 2 1/8in. (6.5 x 5.4cm),  Classification: Vases,  Credit Line: Gift of Ashmolean Museum by exchange 1911,  Accession Number: 11.186.29
tempObjectNumber: 58, Title: Lead ornament in the form of a bud,  Period: Archaic,  Date: 6th–5th century B.C.,  Culture: Greek Laconian,  Medium: Lead,  Classification: Miscellaneous-Lead,  Credit Line: Gift of A. J. B. Wace 1924,  Accession Number: 24.195.133
tempObjectNumber: 59, Title: Disk Artemis and bees ?,  Culture: Greek,  Medium: Terracotta,  Dimensions: H. 2 1/2 in. (6.35 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1910,  Accession Number: 10.210.120
tempObjectNumber: 60, Title: Gold necklace of plaited wire with lion's head terminals,  Period: Classical,  Date: 4th century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Overall: 15 1/8 x 1/4 in. (38.4 x 0.6 cm),  Classification: Gold and Silver,  Credit Line: Rogers Fund 1913,  Accession Number: 13.234.2
tempObjectNumber: 61, Title: Glass perfume bottle,  Period: Mid or Late Imperial,  Date: 2nd–3rd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Other: 2 9/16in. (6.5cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.39
tempObjectNumber: 62, Title: Beads 2,  Medium: Amethyst,  Dimensions: Height: 3/8 x 3/8 in. (0.9 x 1 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3621
tempObjectNumber: 63, Title: Pair of gold hoop earrings with Erotes riding doves,  Period: Hellenistic,  Date: 3rd century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Overall: 1 1/2 x 1 1/8 x 3/8in. (3.8 x 2.9 x 1cm),  Classification: Gold and Silver,  Credit Line: Gift of Christos G. Bastis in honor of Philippe de Montebello 1995,  Accession Number: 1995.539.9a b
tempObjectNumber: 64, Title: Candlestick,  Date: second half of the 1st–first half of the 2nd century AD,  Culture: Roman Gaul,  Medium: Terracotta,  Dimensions: 1 3/16 × 3 3/8 in. (3 × 8.6 cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.1902
tempObjectNumber: 65, Title: String of thirty-three glass beads,  Medium: Glass,  Dimensions: Other: 5 11/16 x 1/4 in. (14.5 x 0.7 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.674
tempObjectNumber: 66, Title: Earring with pendant,  Period: Late Classical or Hellenistic,  Date: 4th–3rd century B.C.,  Medium: Gold,  Dimensions: Other (.70): 1/2 × 3/8 × 1 3/16 in. (1.2 × 0.9 × 3 cm),  Classification: Gold and Silver,  Credit Line: Rogers Fund 1923,  Accession Number: 23.160.69 .70
tempObjectNumber: 67, Title: Mirror disk,  Period: Classical,  Date: 5th–4th century B.C.,  Culture: Greek South Italian ?,  Medium: Bronze,  Dimensions: Height: 3/8 in. (1 cm),  Classification: Bronzes,  Credit Line: Gift of Mr. and Mrs. Jonathan P. Rosen 1991,  Accession Number: 1991.171.48
tempObjectNumber: 68, Title: Glass perfume bottle,  Period: Early to Mid Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Diam.: 1 1/4 x 1 1/8 in. (3.2 x 2.9 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5815
tempObjectNumber: 69, Title: Glass perfume bottle,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown trailed and marvered,  Dimensions: Diameter: 1 5/16 x 11/16 in. (3.3 x 1.7 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.192
tempObjectNumber: 70, Title: Krater,  Period: Cypro-Archaic I,  Date: 750–600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 8 5/8in. (21.9cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.464
tempObjectNumber: 71, Title: Statuette of a woman votary,  Date: ca. 625–425 B.C.,  Culture: Greek Laconian,  Medium: Lead,  Dimensions: Height: 1 3/8 in. (3.5 cm),  Classification: Miscellaneous-Lead,  Credit Line: Gift of A. J. B. Wace 1924,  Accession Number: 24.195.18
tempObjectNumber: 72, Title: Gold and garnet pendant amphora and chain with tripod stand,  Period: Hellenistic,  Date: ca. 125–100 B.C.,  Culture: Greek,  Medium: Gold and garnet (?),  Dimensions: total H. 2 1/16 in. (5.2 cm); H. of bottle  1 7/16 in. (3.7 cm); H. of stand  3/4 in. (1.9 cm); length of chain  5 7/8 in. (14.9 cm),  Classification: Gold and Silver,  Credit Line: Purchase Mr. and Mrs. Christos G. Bastis Gift 2000,  Accession Number: 2000.9a b
tempObjectNumber: 73, Title: Limestone statuette of a recumbent votary (worshipper),  Period: Archaic,  Date: 6th century B.C.,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 5 x 6 1/4 x 3 1/4 in. (12.7 x 15.9 x 8.3 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2542
tempObjectNumber: 74, Title: Marble relief with Hermes,  Period: Augustan or Julio-Claudian,  Date: 27 B.C.–A.D. 68,  Culture: Roman,  Medium: Marble,  Dimensions: Overall: 26 3/4 x 23 1/2in. (67.9 x 59.7cm),  Classification: Stone Sculpture,  Credit Line: Harris Brisbane Dick Fund 1991,  Accession Number: 1991.11.8
tempObjectNumber: 75, Title: Glass amphoriskos (perfume bottle),  Period: Hellenistic,  Date: 2nd–1st century B.C.,  Culture: Greek Eastern Mediterranean,  Medium: Glass; core-formed Group III,  Dimensions: H.: 4 1/2 in. (11.4 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.588
tempObjectNumber: 76, Title: Beaker,  Culture: Roman,  Medium: Glass,  Dimensions: Diam.: 2 1/2 in. (6.3 cm),  Classification: Glass,  Credit Line: Gift of Mrs. Elias Kempner 1934,  Accession Number: 34.132.7
tempObjectNumber: 77, Title: Terracotta side-spouted jug,  Period: Early Minoan IIB,  Date: ca. 2600–2400 B.C.,  Culture: Minoan,  Medium: Terracotta; Burnished red ware,  Dimensions: H. 5 1/2 in. (14 cm.),  Classification: Vases,  Credit Line: Gift of American Exploration Society 1907,  Accession Number: 07.232.18
tempObjectNumber: 78, Title: Lamp,  Date: 1st century B.C.–1st century A.D.,  Medium: Terracotta,  Dimensions: Overall: 1 1/4 x 4 1/8 in. (3.2 x 10.5 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2105
tempObjectNumber: 79, Title: Glass double head-shaped flask,  Period: Late Imperial,  Date: 3rd century A.D.,  Culture: Roman,  Medium: Glass; blown in a two-part mold,  Dimensions: H.: 2 15/16 in. (7.5 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1357
tempObjectNumber: 80, Title: Silver oinochoe (pitcher),  Period: Archaic,  Date: 6th century B.C.,  Culture: East Greek,  Medium: Silver,  Dimensions: Overall: 4 3/8 x 2 1/2in. (11.1 x 6.4cm),  Classification: Gold and Silver,  Credit Line: Gift of Juliann S. Dykowski in honor of her parents Harold A. and H. Jean Seeley 1996,  Accession Number: 1996.520
tempObjectNumber: 81, Title: Vase fragment,  Culture: Roman,  Medium: Terracotta; lead-glazed,  Dimensions: H. 6.30 cm.,  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.1696
tempObjectNumber: 82, Title: Terracotta bust of a woman,  Period: Hellenistic,  Date: 3rd–2nd century B.C.,  Culture: Greek South Italian Tarentine,  Medium: Terracotta,  Dimensions: H. 5 5/16 in. (13.5 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1911,  Accession Number: 11.212.22
tempObjectNumber: 83, Title: Kylix,  Date: 6th century B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: Other: 4 1/2in. (11.4cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5894
tempObjectNumber: 84, Title: Terracotta vase in the form of a phallus,  Period: Archaic,  Date: ca. 550–500 B.C.,  Culture: Greek,  Medium: Terracotta,  Dimensions: Overall: 4 1/2 x 4 x 3 1/2in. (11.4 x 10.2 x 8.9cm),  Classification: Vases,  Credit Line: Classical Purchase Fund 1999,  Accession Number: 1999.78
tempObjectNumber: 85, Title: Bronze spatulate knife,  Period: Late Minoan I,  Date: ca. 1600–1450 B.C.,  Culture: Minoan,  Medium: Bronze,  Dimensions: L. 5 3/8 in. (13.7 cm.),  Classification: Bronzes,  Credit Line: Gift of American Exploration Society 1907,  Accession Number: 07.232.6
tempObjectNumber: 86, Title: Electrum bobbin or rattle,  Period: Archaic,  Date: 6th century B.C.,  Culture: Greek,  Medium: Electrum,  Dimensions: width 7/16 in. (1.1 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3590
tempObjectNumber: 87, Title: Oinochoe,  Date: 7th–6th century B.C.,  Culture: Etruscan,  Medium: Terracotta,  Classification: Vases,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.458
tempObjectNumber: 88, Title: Lamp,  Period: Late Imperial,  Date: 3rd century A.D.,  Culture: Roman,  Medium: Terracotta,  Dimensions: Overall: 1 1/2 x 3 3/8 in. (3.8 x 8.6 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2041
tempObjectNumber: 89, Title: Glass alabastron (perfume bottle),  Period: Hellenistic,  Date: 2nd–mid-1st century B.C.,  Culture: Greek Eastern Mediterranean,  Medium: Glass; core-formed Group III,  Dimensions: H.: 5 3/16 in. (13.1 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.579
