tempObjectNumber: 31, Title: Vase fragment,  Period: Early Helladic,  Date: ca. 3000–2200 B.C.,  Medium: Terracotta,  Dimensions: 1 13/16 × 2 × 1/4 in. (4.7 × 5.2 × 0.6 cm),  Classification: Vases,  Credit Line: Gift of Gisela M. A. Richter 1923,  Accession Number: 23.121.3
tempObjectNumber: 32, Title: Terracotta miniature dish with two handles,  Period: Archaic,  Date: 7th–6th century B.C.,  Culture: Greek Laconian,  Medium: Terracotta,  Dimensions: H. 3 5/8 in. (9.2 cm),  Classification: Vases,  Credit Line: Gift of A. J. B. Wace 1924,  Accession Number: 24.195.193
tempObjectNumber: 33, Title: Flask,  Period: Cypro-Geometric III,  Date: 850–750 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 4 5/8in. (11.8cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.893
tempObjectNumber: 34, Title: Cippus of Olympianos,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Diam.: 9 1/2 x 24 5/8 in. (24.1 x 62.5 cm),  Classification: Cesnola Inscriptions,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2412
tempObjectNumber: 35, Title: Terracotta pelike (jar),  Attribution: the Later Mannerists,  Period: Classical,  Date: ca. 430 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H. 13 1/2 in. (34.3 cm),  Classification: Vases,  Credit Line: Purchase by subscription 1896,  Accession Number: 96.18.59
tempObjectNumber: 36, Title: Glass perfume bottle,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Diam.: 2 x 1 15/16 in. (5.1 x 4.9 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5765
tempObjectNumber: 37, Title: Seal or amulet,  Period: Imperial,  Date: 1st–3rd century A.D.,  Culture: Roman,  Medium: Jasper red gold,  Dimensions: Other: 9/16 x 11/16 x 1/2 in. (1.4 x 1.7 x 1.3 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4298
tempObjectNumber: 38, Title: Glass perfume bottle,  Period: Early to Mid Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Other: 2 11/16in. (6.8cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.89
tempObjectNumber: 39, Title: Fibula,  Period: Geometric,  Date: 9th–8th century B.C.,  Culture: Italic Villanovan,  Medium: Bronze,  Dimensions: Other: 2 1/8 in. (5.4 cm),  Classification: Bronzes,  Credit Line: Gift of Mr. and Mrs. Jonathan P. Rosen 1991,  Accession Number: 1991.171.14
tempObjectNumber: 40, Title: Gold earring with woman's head,  Period: Hellenistic,  Date: 3rd‒2nd century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Other: 7/8 x 5/16 x 7/8 in. (2.2 x 0.8 x 2.2 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3514
tempObjectNumber: 41, Title: Gold-band mosaic glass bottle,  Period: Early Imperial,  Date: 1st half of 1st century A.D.,  Culture: Roman,  Medium: Glass; cast and blown and cut,  Dimensions: H. 2 15/16 in. (7.4 cm),  Classification: Glass,  Credit Line: Theodore M. Davis Collection Bequest of Theodore M. Davis 1915,  Accession Number: 30.115.16
