tempObjectNumber: 32, Title: Kylix,  Period: Archaic,  Date: late 6th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: width with handles  6 in. (15.3 cm),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.222
tempObjectNumber: 33, Title: Glass jar,  Period: Late Imperial,  Date: 4th century A.D.,  Culture: Roman,  Medium: Glass; blown and trailed,  Dimensions: Diam.: 3 1/8 x 2 3/4 x 1 3/8 in. (7.9 x 7 x 3.5 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.173
tempObjectNumber: 34, Title: Terracotta oinochoe (jug) in the form of a black's head,  Period: Classical,  Date: ca. 480 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H. 6 1/16 in. (15.4 cm),  Classification: Vases,  Credit Line: Purchase 1900,  Accession Number: 00.11.1
tempObjectNumber: 35, Title: Needle,  Culture: Roman,  Medium: Bronze,  Dimensions: Other: 2 7/8 in. (7.3 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1917,  Accession Number: 17.230.87
tempObjectNumber: 36, Title: Bronze serpentine-disc type fibula (safety pin),  Period: Geometric,  Date: 9th century B.C.,  Culture: Villanovan,  Medium: Bronze,  Dimensions: Other: 4 3/4 in. (12 cm),  Classification: Bronzes,  Credit Line: Gift of Mr. and Mrs. Jonathan P. Rosen 1991,  Accession Number: 1991.171.21
tempObjectNumber: 37, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 1 x 1 1/16 in. (2.5 x 2.6 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1907
tempObjectNumber: 38, Title: Glass pendant in the form of a frog,  Period: Hellenistic,  Date: 3rd–1st century B.C.,  Culture: Greek possibly Egyptian,  Medium: Glass; cast and cut,  Dimensions: H.: 9/16 in. (1.4 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.460
tempObjectNumber: 39, Title: Statuette of a woman dancer,  Period: Hellenistic,  Date: 3rd–2nd century B.C.,  Culture: South Italian,  Medium: Terracotta,  Dimensions: H. 6 3/4 in. (17.1 cm),  Classification: Terracottas,  Credit Line: Purchase by subscription 1896,  Accession Number: 96.18.172
tempObjectNumber: 40, Title: Vase fragment,  Period: Late Minoan I,  Date: ca. 1600–1450 B.C.,  Culture: Minoan,  Medium: Terracotta,  Dimensions: 1 3/4 × 1 13/16 × 1/8 in. (4.5 × 4.6 × 0.4 cm),  Classification: Vases,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.88d
tempObjectNumber: 41, Title: Glass perfume bottle,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown and tooled,  Dimensions: Other: 1 5/16in. (3.4cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.176
tempObjectNumber: 42, Title: Vase fragment,  Period: Archaic,  Date: 6th century B.C.,  Culture: Etruscan,  Medium: Terracotta,  Dimensions: Overall: 2 1/2 x 3 in. (6.4 x 7.6 cm),  Classification: Vases,  Credit Line: Purchase 1896,  Accession Number: 96.9.157
tempObjectNumber: 43, Title: Seal lentoid,  Period: Middle Minoan III–Late Minoan I,  Date: ca. 1650–1500 B.C.,  Culture: Minoan Crete,  Medium: Agate,  Dimensions: Other: 9/16 x 1/4 in. (1.5 x 0.7 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.265
tempObjectNumber: 44, Title: Mosaic glass inlay,  Period: Hellenistic,  Date: late 1st century B.C.–early 1st century A.D.,  Culture: Egyptian Roman,  Medium: Glass; cast,  Dimensions: Other: 1 1/4 in. (3.2 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.394
tempObjectNumber: 45, Title: Lamp,  Period: Late Imperial,  Date: Late 3rd century A.D.,  Culture: Roman Cypriot,  Medium: Terracotta,  Dimensions: Overall: 1 3/8 x 3 3/8 in. (3.5 x 8.6 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2224
tempObjectNumber: 46, Title: Relief with two nude girls,  Period: Early Hellenistic,  Date: 3rd century B.C.(?),  Medium: Terracotta; mold-made and hand-made,  Dimensions: H. 2 1/2 in. (6.4 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1707
tempObjectNumber: 47, Title: Table of offerings votive,  Medium: Terracotta,  Dimensions: 3 1/4 x 1 3/4 in.  (8.3 x 4.4 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1910,  Accession Number: 10.210.77
tempObjectNumber: 48, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 7/8 x 2 3/16 in. (2.2 x 5.6 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1681
tempObjectNumber: 49, Title: Carnelian Cushion,  Period: Late Minoan I,  Date: ca. 1600–1450 B.C.,  Culture: Minoan,  Medium: Carnelian,  Dimensions: Overall: 11/16 x 9/16 in. (1.8 x 1.4 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.259
tempObjectNumber: 50, Title: Gold spiral,  Period: Late Bronze Age,  Date: ca. 1600–1100 B.C.,  Culture: Cypriot,  Medium: Gold,  Dimensions: Length: 11/16 in. (1.7 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3081
