tempObjectNumber: 31, Title: Gold earring with woman's head and glass beads,  Period: Hellenistic,  Date: 3rd‒2nd century B.C.,  Culture: Greek,  Medium: Gold glass paste,  Dimensions: Other: 1 1/16 x 7/16 x 1 5/16 in. (2.6 x 1.2 x 3.3 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3516
tempObjectNumber: 32, Title: Bronze bust of Minerva,  Period: Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Bronze,  Dimensions: Overall: 3 1/16 x 1 13/16 x 1 5/8 in. (7.8 x 4.6 x 4.1 cm),  Classification: Bronzes,  Credit Line: Gift of Henry G. Marquand 1897,  Accession Number: 97.22.10
tempObjectNumber: 33, Title: Gold earring with winged Eros,  Period: Hellenistic,  Date: 3rd‒2nd century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Other: 1/2 x 3/8 x 7/16 in. (1.3 x 0.9 x 1.1 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3520
tempObjectNumber: 34, Title: Glass oinochoe (perfume jug),  Period: Late Classical or Hellenistic,  Date: mid-4th–early 3rd century B.C.,  Culture: Greek Eastern Mediterranean or Italian,  Medium: Glass; core-formed Group II,  Dimensions: Diam.: 2 3/8 x 2 13/16 in. (6.1 x 7.1 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.595
tempObjectNumber: 35, Title: Spindle whorl,  Period: Iron Age,  Medium: Terracotta,  Dimensions: Diam.: 13/16 in. (2.1 cm),  Classification: Terracottas,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.114
tempObjectNumber: 36, Title: Bronze handle attachment,  Period: Imperial,  Date: 2nd century A.D.,  Culture: Roman,  Medium: Bronze,  Dimensions: Total height 3 1/2 in. (8.9 cm),  Classification: Bronzes,  Credit Line: Purchase 1900,  Accession Number: 00.13.11
tempObjectNumber: 37, Title: Terracotta statuette of Eros flying,  Period: Hellenistic,  Date: 3rd century B.C.,  Culture: Greek Boeotian,  Medium: Terracotta,  Dimensions: H.: 5 1/2 in. (14 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1155
tempObjectNumber: 38, Title: Terracotta amphoriskos (flask) in the form of a shell,  Period: Classical,  Date: 4th century B.C.,  Culture: Greek Attic,  Medium: Terracotta,  Dimensions: depth  3 1/4 in (8.3 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.261
tempObjectNumber: 39, Title: Jasper Lentoid,  Period: Late Minoan I,  Date: ca. 1500–1450 B.C.,  Culture: Minoan,  Medium: Jasper,  Dimensions: H.: 13/16 in. (2.1 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.294
tempObjectNumber: 40, Title: Earring-hook type with discs,  Medium: Gold,  Dimensions: Diameter: 3/4 × 1/4 in. (1.9 × 0.6 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4015
tempObjectNumber: 41, Title: Frontlet of gold leaf,  Medium: Gold,  Dimensions: Other: 2 3/8 × 3 15/16 in. (6.1 × 10 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3524
tempObjectNumber: 42, Title: Head of a woman,  Culture: Greek,  Medium: Terracotta,  Dimensions: H.: 3 1/4 in. (8.3 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1910,  Accession Number: 10.210.103
tempObjectNumber: 43, Title: Terracotta vase in the form of a bird,  Period: Protocorinthian,  Date: mid-7th century B.C.,  Culture: Greek Corinthian,  Medium: Terracotta,  Dimensions: H. 6 1/4 in. (15.9 cm),  Classification: Vases,  Credit Line: Rogers Fund 1947,  Accession Number: 47.100.2
tempObjectNumber: 44, Title: Lamp,  Date: 1st century B.C.–1st century A.D.,  Medium: Terracotta,  Dimensions: Length 9.2 cm.  H. 2.4 cm.,  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1932
tempObjectNumber: 45, Title: Glass dish,  Period: Late Imperial,  Date: 3rd–4th century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Diam.: 6 13/16 in. (17.3 cm),  Classification: Glass,  Credit Line: Bequest of Mary Anna Palmer Draper 1914,  Accession Number: 15.43.215
tempObjectNumber: 46, Title: Terracotta miniature one-handled cup,  Period: Late Minoan IA,  Date: ca. 1600–1525 B.C.,  Culture: Minoan,  Medium: Terracotta,  Dimensions: H. 15/16 in. (2.4 cm),  Classification: Vases,  Credit Line: Rogers Fund 1950,  Accession Number: 50.11.6a–d
tempObjectNumber: 47, Title: Terracotta bridge-spouted jar,  Period: Late Minoan I,  Date: ca. 1600–1450 B.C.,  Culture: Minoan,  Medium: Terracotta; Dark-on-light ware,  Dimensions: Total H. 7 1/4 in. (18.4 cm.),  Classification: Vases,  Credit Line: Gift of American Exploration Society 1907,  Accession Number: 07.232.25
tempObjectNumber: 48, Title: Gold crescent-shaped earring,  Period: Classical-Roman,  Date: 5th century B.C.–1st century A.D.,  Culture: Cypriot,  Medium: Gold,  Dimensions: Other: 11/16 in. (1.8 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3903
tempObjectNumber: 49, Title: Terracotta oinochoe: chous (jug),  Attribution: the Pan Painter,  Period: Classical,  Date: ca. 470 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: diameter  4 5/16 in. (11 cm),  Classification: Vases,  Credit Line: Rogers Fund 1923,  Accession Number: 23.160.55
tempObjectNumber: 50, Title: Lamp symplegma,  Culture: Roman,  Medium: Terracotta,  Dimensions: Length: 4 3/4 in.  (12.1 cm),  Classification: Terracottas,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.2386
