tempObjectNumber: 1, Title: Gold stater,  Period: Hellenistic,  Date: 323–315 B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Base: 3/4 in. (1.9 cm),  Classification: Coins,  Credit Line: Gift of Edmund Kerper Esq. 1952,  Accession Number: 52.127.2
tempObjectNumber: 32, Title: Bronze sestertius of the emperor Trajan,  Period: Mid-Imperial Trajanic,  Date: A.D. 103–111,  Culture: Roman,  Medium: Bronze,  Dimensions: 27g (27g),  Classification: Coins,  Credit Line: Rogers Fund 1908,  Accession Number: 08.170.384
tempObjectNumber: 33, Title: Silver-gilt and iron pectoral,  Period: Classical,  Date: 4th century B.C.,  Culture: Greek,  Medium: Silver-gilt iron,  Dimensions: circumference  9 1/2in. (24.1cm),  Classification: Gold and Silver,  Credit Line: Purchase Sarah Campbell Blaffer Foundation Gift 1996,  Accession Number: 1996.248
tempObjectNumber: 34, Title: Glass alabastron (perfume bottle),  Period: Hellenistic,  Date: 2nd–1st century B.C.,  Culture: Greek Eastern Mediterranean,  Medium: Glass; core-formed Group III,  Dimensions: H.: 4 1/4 in. (10.8 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.602
tempObjectNumber: 35, Title: Handle in the form of a panther,  Medium: Bronze,  Dimensions: Other: 2 1/2 in. (6.4 cm),  Classification: Bronzes,  Credit Line: Gift of Darius Ogden Mills 1904,  Accession Number: 04.2.659
tempObjectNumber: 36, Title: Roundel disk,  Date: 4th century B.C.,  Medium: Gold,  Dimensions: Diameter: 1/2 x 3/16 in. (1.3 x 0.5 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3665
tempObjectNumber: 37, Title: Statuette of a boy,  Period: Hellenistic,  Date: 3rd century B.C.,  Culture: Greek Boeotian,  Medium: Terracotta,  Dimensions: H.: 5 in. (12.7 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1907,  Accession Number: 07.286.26
tempObjectNumber: 38, Title: Ring with band settings,  Medium: Gold,  Dimensions: Other: 15/16 × 3/16 × 1 7/16 × 7/8 in. (2.5 × 0.4 × 3.7 × 2.3 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4176
tempObjectNumber: 39, Title: Terracotta kantharos (drinking cup with high handles),  Period: Hellenistic,  Date: ca. 325–300 B.C.,  Culture: Greek South Italian Apulian,  Medium: Terracotta,  Dimensions: H. 5 7/8 in. (14.9 cm),  Classification: Vases,  Credit Line: Gift of Charles R. Dumont 1909,  Accession Number: 09.192.1
tempObjectNumber: 40, Title: Statuette of a warrior-11,  Culture: Greek Laconian,  Medium: Lead,  Dimensions: Height: 1 1/4 in. (3.2 cm),  Classification: Miscellaneous-Lead,  Credit Line: Gift of A. J. B. Wace 1924,  Accession Number: 24.195.71
tempObjectNumber: 41, Title: Pair of gold garnet and glass paste disk and pendant earrings,  Period: Hellenistic,  Date: 2nd century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Other (.b): 1 1/2 in. (3.8 cm),  Classification: Gold and Silver,  Credit Line: Purchase by subscription 1895,  Accession Number: 95.15.203 .204
tempObjectNumber: 42, Title: Earring or spiral,  Culture: Cypriot,  Medium: Silver,  Dimensions: Diameter: 1/2 x 3/16 x 9/16 in. (1.2 x 0.4 x 1.5 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3379
tempObjectNumber: 43, Title: Glass amphoriskos (perfume bottle),  Period: Classical,  Date: late 6th–5th century B.C.,  Culture: Greek Eastern Mediterranean,  Medium: Glass; core-formed Group I,  Dimensions: H.: 4 7/8 in. (12.4 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1263
tempObjectNumber: 44, Title: Mosaic glass bowl,  Period: Early Imperial,  Date: late 1st century B.C.–early 1st century A.D.,  Culture: Roman,  Medium: Glass; cast,  Dimensions: H.: 1 5/8 in. (4.2 cm),  Classification: Glass,  Credit Line: Bequest of Walter C. Baker 1971,  Accession Number: 1972.118.178
tempObjectNumber: 45, Title: Limestone statue fragment of a hand holding a pyxis or bobbin,  Period: Hellenistic,  Date: 3rd–1st century B.C.,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 5 x 4 3/4 x 6 1/2 in. (12.7 x 12.1 x 16.5 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.57.22
tempObjectNumber: 46, Title: Bronze ladle,  Period: Archaic,  Date: ca. 500 B.C.,  Culture: Etruscan,  Medium: Bronze,  Classification: Bronzes,  Credit Line: Gift of Mrs. Frederick M. Stafford in memory of Frederick M. Stafford1991,  Accession Number: 1991.393
tempObjectNumber: 47, Title: Marble shell,  Period: Classical,  Date: ca. 400 B.C.,  Culture: Greek,  Medium: Marble,  Dimensions: Overall: 9 1/2 x 6 in. (24.1 x 15.2 cm),  Classification: Miscellaneous-Stone,  Credit Line: Purchase Mr. and Mrs. John Moscahlaidis Gift 1995,  Accession Number: 1995.19
tempObjectNumber: 48, Title: Wall painting fragment from the peristyle of the Villa of P. Fannius Synistor at Boscoreale,  Period: Late Republican,  Date: ca. 50–40 B.C.,  Culture: Roman,  Medium: Fresco,  Dimensions: Overall: 35 3/4 x 25 1/2in. (90.8 x 64.8cm),  Classification: Miscellaneous-Paintings,  Credit Line: Rogers Fund 1903,  Accession Number: 03.14.1
tempObjectNumber: 49, Title: Glass perfume bottle,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Overall: 1 x 1in. (2.5 x 2.5cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.173
tempObjectNumber: 50, Title: Mosaic glass face bead,  Date: 1st century B.C.–1st century A.D.,  Culture: Roman Eastern Mediterranean,  Medium: Glass,  Dimensions: H.: 1/2 in. (1.3 cm),  Classification: Glass,  Credit Line: Rogers Fund 1952,  Accession Number: 52.11.16
