tempObjectNumber: 31, Title: Tankard,  Period: Late Cypriot,  Date: 1600–1050 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 7 7/16in. (18.9cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1128
tempObjectNumber: 32, Title: Terracotta oinochoe: chous (jug),  Period: Classical,  Date: ca. 430–420 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H.: 8 7/8 in. (22.5 cm),  Classification: Vases,  Credit Line: Gift of Samuel G. Ward 1875,  Accession Number: 75.2.12
tempObjectNumber: 33, Title: Marble head of a kouros (youth),  Period: Archaic,  Date: ca. 525–475 B.C.,  Culture: Greek,  Medium: Marble,  Dimensions: H. 5 13/16 in. (14.7 cm),  Classification: Stone Sculpture,  Credit Line: The Bothmer Purchase Fund 1992,  Accession Number: 1992.11.60
tempObjectNumber: 34, Title: Lead grille,  Period: Archaic,  Date: 6th–5th century B.C.,  Culture: Greek Laconian,  Medium: Lead,  Classification: Miscellaneous-Lead,  Credit Line: Gift of A. J. B. Wace 1924,  Accession Number: 24.195.124
tempObjectNumber: 35, Title: Terracotta statuette of a seated woman,  Period: Late Archaic,  Date: 525–500 B.C.,  Culture: Greek Attic,  Medium: Terracotta,  Dimensions: h. 4 3/8 in. (11.1 cm),  Classification: Terracottas,  Credit Line: Gift of Ernest Brummer 1959,  Accession Number: 59.48.3
tempObjectNumber: 36, Title: Pinhead,  Culture: Roman,  Medium: Glass,  Dimensions: Height: 1/4 x 1/2 in. (0.6 x 1.3 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.545
tempObjectNumber: 37, Title: Glass bowl,  Period: Early Imperial,  Date: early 1st century A.D.,  Culture: Roman,  Medium: Glass; cast,  Dimensions: Diam.: 2 11/16 in. (6.8 cm),  Classification: Glass,  Credit Line: Rogers Fund 1913,  Accession Number: 13.198.3
tempObjectNumber: 38, Title: Vase Fragment,  Culture: Roman,  Medium: Terracotta,  Dimensions: 1 5/8 × 1 3/4 × 3/16 in. (4.1 × 4.4 × 0.5 cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.1945
tempObjectNumber: 39, Title: Steatite lentoid seal,  Period: Late Minoan IIIB,  Date: ca. 1300–1200 B.C.,  Culture: Minoan,  Medium: Steatite,  Dimensions: Diameter 1.83-85 cm,  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.301
tempObjectNumber: 40, Title: Bead,  Medium: Glass,  Dimensions: Height: 3/16 x 5/16 in. (0.5 x 0.7 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.702
tempObjectNumber: 41, Title: Vase Fragment,  Culture: Roman,  Medium: Terracotta,  Dimensions: 7/8 × 3/4 × 17 5/16 in. (2.3 × 2 × 44 cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.1953
tempObjectNumber: 42, Title: Bronze ring,  Period: Classical,  Date: late 5th–4th century B.C.,  Culture: Greek,  Medium: Bronze,  Dimensions: L. 2.5 cm,  Classification: Bronzes,  Credit Line: Rogers Fund 1918,  Accession Number: 18.145.53
tempObjectNumber: 43, Title: Vase fragment,  Culture: Roman,  Medium: Terracotta,  Dimensions: H. 8.41 cm.,  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.1727
tempObjectNumber: 44, Title: Glass perfume bottle,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Other: 2 3/4in. (7cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.44
tempObjectNumber: 45, Title: Terracotta head of a satyr from a relief,  Period: Late Hellenistic or Early Imperial,  Date: 1st century B.C.–1st century A.D.,  Culture: Greek South Italian or Roman,  Medium: Terracotta,  Dimensions: H.: 4 3/16 in. (10.7 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1909,  Accession Number: 09.221.36
tempObjectNumber: 46, Title: Terracotta hydria (water jar),  Attribution: an artist related to the Antimenes Painter,  Period: Archaic,  Date: ca. 530–520 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: H. 13 3/4 in. (35 cm),  Classification: Vases,  Credit Line: Rogers Fund 1923,  Accession Number: 23.160.1
tempObjectNumber: 47, Title: Terracotta oinochoe (jug),  Period: Classical,  Date: late 5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-glaze,  Dimensions: H.: 8 1/16 in. (20.5 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.104
tempObjectNumber: 48, Title: Terracotta plaque,  Period: Classical,  Date: ca. 450 B.C.,  Culture: Greek Melian,  Medium: Terracotta,  Dimensions: Overall: 7 3/4 x 7 5/16 in. (19.7 x 18.6 cm),  Classification: Terracottas,  Credit Line: Fletcher Fund 1925,  Accession Number: 25.78.26
tempObjectNumber: 49, Title: Iron andiron,  Period: Late Classical or Hellenistic,  Date: late 4th or early 3rd century B.C.,  Culture: Etruscan,  Medium: Iron,  Dimensions: Other: 15 3/4 in. (40 cm),  Classification: Miscellaneous-Iron,  Credit Line: Rogers Fund 1903,  Accession Number: 03.24.17
tempObjectNumber: 50, Title: Statue base,  Date: ca. 280 B.C.,  Culture: Cypriot,  Medium: Marble gray,  Dimensions: 9 1/4 × 14 1/2 × 27 in. (23.5 × 36.8 × 68.6 cm),  Classification: Cesnola Inscriptions,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2378
