tempObjectNumber: 42, Title: Lamp,  Period: Hellenistic or Early Imperial,  Date: 1st century B.C.–1st century A.D.,  Culture: Greek or Roman,  Medium: Terracotta,  Dimensions: Overall: 1 3/16 x 4 1/16 in. (3 x 10.3 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1978
tempObjectNumber: 43, Title: Tweezers,  Culture: Roman,  Medium: Bronze,  Dimensions: Other: 4 in. (10.2 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1917,  Accession Number: 17.230.59
tempObjectNumber: 44, Title: Head of a woman,  Medium: Terracotta,  Dimensions: H. 2 5/8 in. (6.7 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1910,  Accession Number: 10.210.61
tempObjectNumber: 45, Title: Terracotta beaker,  Period: Early Imperial,  Date: late 1st century B.C.,  Culture: Roman,  Medium: Terracotta; thin-walled ware,  Dimensions: H. 4 3/8 in. (11.1 cm); diameter of mouth  3/16 in. (0.5 cm),  Classification: Vases,  Credit Line: Rogers Fund 1918,  Accession Number: 18.145.30
tempObjectNumber: 46, Title: Terracotta stemmed plate,  Period: Archaic,  Date: ca. 625–600 B.C.,  Culture: Capenate,  Medium: Terracotta; buccheroid impasto,  Dimensions: diameter  7 3/8 in. (18.7 cm),  Classification: Vases,  Credit Line: Rogers Fund 1923,  Accession Number: 23.160.10
tempObjectNumber: 47, Title: Denarius,  Culture: Roman,  Medium: Silver,  Dimensions: Diameter: 3/4 × 1/8 in. 0.1oz. (2 × 0.3 cm 2.86g),  Classification: Coins,  Credit Line: Rogers Fund 1908,  Accession Number: 08.170.344
tempObjectNumber: 48, Title: Fragment of a terracotta bowl,  Period: Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Terracotta; terra sigillata /check/,  Dimensions: 1 15/16 × 3 5/16 × 1/4 in. (4.9 × 8.5 × 0.7 cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.2538
tempObjectNumber: 49, Title: Terracotta kylix (drinking cup),  Period: Classical,  Date: ca. 475–450 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-glaze,  Dimensions: H. 2 13/16 in. (7.2 cm); diameter  5 1/4 in. (13.4 cm); width with handles  7 3/4 in. (19.7 cm),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.180
tempObjectNumber: 50, Title: Glass scarab,  Period: Classical,  Date: late 4th century B.C.,  Culture: Etruscan,  Medium: Glass brown,  Dimensions: Other: 9/16 x 3/8 x 1/4 in. (1.4 x 1 x 0.7 cm),  Classification: Gems,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.21
tempObjectNumber: 51, Title: Vase fragment,  Period: Geometric,  Culture: East Greek/Sardis Lydian,  Medium: Terracotta,  Dimensions: Overall: 2 15/16 x 2 5/8in. (7.5 x 6.7cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.180
tempObjectNumber: 52, Title: Glass mosaic fragment,  Period: Augustan,  Date: Late 1st century B.C.–early 1st century A.D.,  Culture: Roman,  Medium: Glass; cast,  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.2044
tempObjectNumber: 53, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 1 1/16 x 1 in. (2.6 x 2.6 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.2028
tempObjectNumber: 54, Title: Earring or spiral,  Culture: Cypriot,  Medium: Silver,  Dimensions: Height: 5/8 x 3/4 in. (1.7 x 1.8 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3262
tempObjectNumber: 55, Title: Glass rectangular bottle,  Period: Mid Imperial,  Date: 2nd century A.D.,  Culture: Roman,  Medium: Glass; mold-blown,  Dimensions: H.: 5 1/16 in. (12.9 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.26
tempObjectNumber: 56, Title: Intaglio,  Culture: Roman,  Medium: Carnelian,  Dimensions: Other: 9/16 x 37 x 3/16 in. (1.4 x 94 x 0.5 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.913
tempObjectNumber: 57, Title: Skyphos,  Attribution: the manner of the Haimon Painter,  Period: Classical,  Date: ca. 480 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: Diameter: 1 9/16 × 3 1/8 in. (4 × 7.9 cm),  Classification: Vases,  Credit Line: Gift of Marjorie J. Milne 1964,  Accession Number: 64.293
tempObjectNumber: 58, Title: Volute-krater fragment,  Period: Late Classical,  Date: ca. 330–310 B.C.,  Culture: Greek South Italian Apulian,  Medium: Terracotta; red-figure,  Dimensions: 1 9/16 x 15/16in. (4 x 2.4cm),  Classification: Vases,  Credit Line: Rogers Fund 1919,  Accession Number: 19.192.81.60
tempObjectNumber: 59, Title: Terracotta statuette of Harpokrates riding a goose,  Period: Imperial,  Date: ca. 2nd century A.D.,  Culture: Roman Egyptian,  Medium: Terracotta,  Dimensions: H.: 7 13/16 in. (19.8 cm),  Classification: Terracottas,  Credit Line: Gift of Mrs. Lucy W. Drexel 1889,  Accession Number: 89.2.2087
tempObjectNumber: 60, Title: Beads 3,  Medium: Glass,  Dimensions: Diameter (Bead 3 L.): 1/2 in. (1.2 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.691
