tempObjectNumber: 31, Title: Bowl fragment Phoenician inscription,  Date: ca. 389 B.C.,  Culture: Cypriot,  Medium: Marble white,  Dimensions: Overall: 5 7/8 x 4 1/4 x 1 1/4 in. (14.9 x 10.8 x 3.2 cm),  Classification: Cesnola Inscriptions,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2278a b
tempObjectNumber: 32, Title: Limestone relief with the figure of a woman,  Period: Hellenistic,  Date: late 4th–early 3rd century B.C.,  Culture: Greek Tarentine,  Medium: Limestone,  Dimensions: Overall: 12 1/2 x 9 7/8 x 3 5/8in. (31.8 x 25.1 x 9.2cm),  Classification: Stone Sculpture,  Credit Line: Purchase Linda Heller Kamm Gift 1999,  Accession Number: 1999.281
tempObjectNumber: 33, Title: Glass beaker,  Period: Mid or Late Imperial,  Date: 3rd century A.D.,  Culture: Roman,  Medium: Glass; blown and cut,  Dimensions: Overall: 2 3/4 x 3 7/8 x 3 1/4 in. (7 x 9.8 x 8.3 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5827
tempObjectNumber: 34, Title: Lamp,  Date: 1st century B.C.–1st century A.D.,  Medium: Terracotta,  Dimensions: Length 8.3 cm.  H. 2.4 cm.,  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1929
tempObjectNumber: 35, Title: Glass jar,  Period: Late Imperial,  Date: 3rd–4th century A.D.,  Culture: Roman,  Medium: Glass; blown and trailed,  Dimensions: Overall: 2 7/8 x 2 3/4 x 1 7/8 in. (7.3 x 7 x 4.8 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5838
tempObjectNumber: 36, Title: Glass mosaic bottle,  Period: Early Imperial Julio-Claudian,  Date: 1st half of 1st century A.D.,  Culture: Roman,  Medium: Glass; cast and blown and tooled,  Dimensions: H.: 2 7/16 in. (6.2 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1339
tempObjectNumber: 37, Title: Terracotta stemmed dish,  Period: Archaic,  Date: 6th century B.C.,  Culture: Lydian,  Medium: Terracotta,  Dimensions: diameter  5 5/16 in. (13.5 cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Exploration of Sardis 1914,  Accession Number: 14.30.17
tempObjectNumber: 38, Title: Bronze cauldron and lid,  Period: Archaic,  Date: ca. 550 B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: diameter of mouth  6 1/4 in. (15.9 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1903,  Accession Number: 03.23.7
tempObjectNumber: 39, Title: Mosaic block inlay fragment,  Medium: Clay glazed,  Dimensions: Other: 1 7/8 x 1 9/16 x 7/16 in. (4.7 x 3.9 x 1.1 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4546
tempObjectNumber: 40, Title: Amphora,  Culture: East Greek Rhodian,  Medium: Terracotta,  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5877
