tempObjectNumber: 32, Title: Glass lid,  Period: Mid or Late Imperial,  Date: ca. 3rd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Diam.: 2 3/16 in. (5.6 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5822
tempObjectNumber: 33, Title: Amphora,  Period: Cypro-Archaic I,  Date: 750–600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 26in. (66cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.978
tempObjectNumber: 34, Title: Marble head of a woman perhaps a queen,  Period: early Imperial,  Date: 1st century B.C.,  Culture: Roman,  Medium: Marble Island,  Dimensions: H. 18 13/16 in. (47.8 cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1914,  Accession Number: 14.130.6
tempObjectNumber: 35, Title: Jar,  Period: Middle Cypriot,  Date: 1900–1600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 5 7/8in. (14.9cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1101
tempObjectNumber: 36, Title: Vase fragment,  Period: Early Minoan III,  Culture: Minoan,  Medium: Terracotta,  Dimensions: 1 3/16 × 1 5/16 × 3/16 in. (3 × 3.4 × 0.4 cm),  Classification: Vases,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.187
tempObjectNumber: 37, Title: Terracotta skyphos (deep drinking cup),  Attribution: the CA Painter,  Period: Late Classical,  Date: ca. 350–325 B.C.,  Culture: Greek South Italian Campanian,  Medium: Terracotta; red-figure,  Dimensions: H. 9 3/4 in. (24.8 cm),  Classification: Vases,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.444
tempObjectNumber: 38, Title: Glass perfume bottle with opaque white trail,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown and trailed,  Dimensions: H.: 5 7/8 in. (15 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.307
tempObjectNumber: 39, Title: Terracotta stemless kylix (drinking cup),  Attribution: the St. Antimo Group,  Period: Hellenistic,  Date: ca. 330–300 B.C.,  Culture: Greek South Italian Campanian,  Medium: Terracotta; red-figure,  Dimensions: H. with handles 3 1/4 in. (8.3 cm); width  11 in. (28 cm); diameter  8 1/16 in. (20.4 cm),  Classification: Vases,  Credit Line: Purchase Mrs. Helen H. Mertens Gift 1962,  Accession Number: 62.11.13
tempObjectNumber: 40, Title: Terracotta oinochoe (jug) with lid,  Period: Geometric,  Date: 4th quarter of the 8th century B.C.,  Culture: Greek Attic,  Medium: Terracotta,  Dimensions: Other (H. with lid): 17 1/8 in. (43.5 cm),  Classification: Vases,  Credit Line: Rogers Fund 1910,  Accession Number: 10.210.6a b
tempObjectNumber: 41, Title: Statuette of a child,  Period: Late Classical,  Date: 4th century B.C.,  Culture: Greek Boeotian,  Medium: Terracotta,  Dimensions: Height: 5 3/8 in. (13.7 cm),  Classification: Terracottas,  Credit Line: Gift of Mrs. Frank Knox 1953,  Accession Number: 53.192.6
