tempObjectNumber: 1, Title: Head of a youth,  Period: Hellenistic,  Date: 3rd–2nd century B.C.,  Culture: Greek,  Medium: Terracotta,  Dimensions: H. 3 3/4 in. (9.5 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1907,  Accession Number: 07.286.22
tempObjectNumber: 33, Title: Squat lekythos,  Period: Classical,  Date: late 5th century B.C.,  Culture: Greek South Italian Apulian,  Medium: Terracotta; red-figure,  Dimensions: H. 7.90 cm.,  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.201
tempObjectNumber: 34, Title: Limestone finial of a funerary stele with two recumbent lions,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 13 1/4 x 24 1/2 x 7 in. (33.7 x 62.2 x 17.8 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2866
tempObjectNumber: 35, Title: Bronze spit,  Period: Archaic,  Date: ca. 550–525 B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: H. 42 1/8 in. (107 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1903,  Accession Number: 03.23.26
tempObjectNumber: 36, Title: Iron machaira (sword),  Period: Classical,  Date: 5th–4th century B.C.,  Culture: Greek,  Medium: Iron,  Dimensions: length  22 1/4 inches (56.5 cm),  Classification: Miscellaneous-Iron,  Credit Line: Rogers Fund 2001,  Accession Number: 2001.346
tempObjectNumber: 37, Title: Cup,  Period: Bronze Age,  Date: ca. 3200–1050 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: Other: 3 5/8 x 2 1/8 in. (9.2 x 5.4 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1143
tempObjectNumber: 38, Title: Mask of a woman,  Period: Archaic,  Date: 6th century B.C.,  Culture: East Greek/Sardis Lydian,  Medium: Terracotta,  Dimensions: 3 7/8 in. x 2 5/8 in. (9.8 cm x 6.7 cm),  Classification: Terracottas,  Credit Line: Gift of the American Society for the Excavation of Sardis 1926,  Accession Number: 26.164.21
tempObjectNumber: 39, Title: Gold pin,  Period: Late Archaic,  Date: late 6th–5th century B.C.,  Culture: Etruscan,  Medium: Gold iron ??,  Dimensions: Other: 2 3/16 in. (5.6 cm),  Classification: Gold and Silver,  Credit Line: Purchase by subscription 1895,  Accession Number: 95.15.280
tempObjectNumber: 40, Title: Glass pendant shaped like a jug,  Period: Late Imperial,  Date: ca. 4th century A.D.,  Culture: Roman,  Medium: Glass; rod-formed tooled and trailed,  Dimensions: H.: 13/16 in. (2.1 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.439
tempObjectNumber: 41, Title: Glass beads,  Period: Late Imperial,  Date: 4th century A.D.,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 2 1/2 in. (6.4 cm),  Classification: Glass,  Credit Line: Purchase 1915,  Accession Number: 15.130.4
tempObjectNumber: 42, Title: Intaglio,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Sard,  Dimensions: Other: 1/2 x 7/16 x 1/8 in. (1.3 x 1.1 x 0.3 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.1019
