tempObjectNumber: 51, Title: Intaglio,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Agate,  Dimensions: Other: 9/16 x 1/4 x 1/16 in. (1.4 x 0.7 x 0.2 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.1040
tempObjectNumber: 52, Title: Glass jar with lid,  Period: Imperial,  Date: mid-1st–late 2nd century A.D.,  Culture: Roman,  Medium: Glass; mold-blown,  Dimensions: H. with cover  8 1/16 in. (20.5 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.5
tempObjectNumber: 53, Title: Carnelian scarab,  Period: Late Archaic,  Date: 500 B.C.–475 B.C.,  Culture: Etruscan Populonia,  Medium: Carnelian,  Dimensions: Other: 5/8 in. (1.5 cm),  Classification: Gems,  Credit Line: Fletcher Fund 1932,  Accession Number: 32.11.7
tempObjectNumber: 54, Title: Gold crescent-shaped earring,  Period: Classical-Roman,  Date: 5th century B.C.–1st century A.D.,  Culture: Cypriot,  Medium: Gold,  Dimensions: Other: 1 in. (2.5 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3881
tempObjectNumber: 55, Title: Glass perfume bottle,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Diam.: 1 1/4 x 5/8 in. (3.2 x 1.6 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.343
tempObjectNumber: 56, Title: Bronze box mirror,  Period: Hellenistic,  Date: last quarter of the 4th century B.C.,  Culture: Greek,  Medium: Bronze,  Dimensions: diameter  5 3/8in. (13.6cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1061
tempObjectNumber: 57, Title: Intaglio,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Carnelian burnt,  Dimensions: Other: 7/16 x 3/8 x 1/8 in. (1.2 x 1 x 0.2 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.1065
tempObjectNumber: 58, Title: Terracotta jug,  Period: Cypro-Classical I,  Date: ca. 475–400 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 10 15/16in. (27.8cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.563
tempObjectNumber: 59, Title: Glass perfume bottle,  Period: Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Diam.: 1 1/2 x 1 in. (3.8 x 2.5 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.353
tempObjectNumber: 60, Title: Earring delta-shaped with beads,  Medium: Gold silver,  Dimensions: Other: 13/16 × 1/4 × 1 3/16 in. (2.1 × 0.7 × 3 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3932
tempObjectNumber: 61, Title: Glass concial flask,  Period: Late Imperial,  Date: 3rd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H.: 6 5/8 in. (16.8 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.65
tempObjectNumber: 62, Title: Terracotta statuette of Eros,  Period: Hellenistic,  Date: 3rd century B.C.,  Culture: Greek Eretrian,  Medium: Terracotta,  Dimensions: H.: 6 1/8 in. (15.6 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1909,  Accession Number: 09.221.30
tempObjectNumber: 63, Title: Euthydikos Kore (bottom),  : Emile Gilliéron,  Medium: Plaster,  Dimensions: H. 27 9/16 in.; Diam. 15 3/4 in. (H. 70 cm.; Diam. 40 cm),  Credit Line: Lent by the Metropolitan Museum of Art,  Accession Number: 24.113.3
tempObjectNumber: 64, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 11/16 x 1 1/4 in. (1.8 x 3.2 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1957
tempObjectNumber: 65, Title: Vase fragment,  Period: Geometric,  Culture: East Greek/Sardis Lydian,  Medium: Terracotta,  Dimensions: Overall: 5 3/8 x 4 3/16in. (13.6 x 10.7cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.127
tempObjectNumber: 66, Title: Terracotta group: making flour,  Period: Cypro-Archaic II,  Date: ca. 600–480 B.C.,  Culture: Cypriot,  Medium: Terracotta; hand-made,  Dimensions: H. 2 7/16 in. (6.2 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1643
tempObjectNumber: 67, Title: Terracotta one-handled cup,  Period: Late Helladic IIIA,  Date: ca. 1400–1300 B.C.,  Culture: Helladic Mycenaean,  Medium: Terracotta,  Dimensions: diameter  4 11/16 in. (11.9 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.778
tempObjectNumber: 68, Title: Terracotta askos (flask) with two spouts,  Period: Hellenistic,  Date: 3rd century B.C.,  Culture: Native Italic Daunian Canosan,  Medium: Terracotta,  Dimensions: H.: 8 3/4 in. (22.2 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.247
tempObjectNumber: 69, Title: Marble portrait bust of a woman,  Period: Antonine,  Date: ca. A.D. 155–165,  Culture: Roman,  Medium: Marble,  Dimensions: Overall: 29 x 19 x 8 3/8 in. (73.7 x 48.3 x 21.3 cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1913,  Accession Number: 13.115.2
tempObjectNumber: 70, Title: Fragment from the neck of a terracotta amphora,  Period: Cypro-Geometric III,  Date: ca. 850–750 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 4 5/8 x 11 in. (11.8 x 28 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5861
tempObjectNumber: 71, Title: Marble pillar with snake and wreath,  Period: Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Marble Pentelic ?,  Dimensions: h. 14 5/8 in (37.2 cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1912,  Accession Number: 12.229.2
tempObjectNumber: 72, Title: Terracotta disk,  Period: Middle Cypriot I-II,  Date: ca. 1900–1725 B.C.,  Culture: Cypriot,  Medium: Terracotta Black Polished Ware; hand-made,  Dimensions: diameter  3 3/8 in. (8.6 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1212
tempObjectNumber: 73, Title: Tablet,  Medium: Clay,  Dimensions: 4 7/16 × 1 1/8 × 7/16 in. (11.3 × 2.9 × 1.2 cm),  Classification: Miscellaneous-Clay,  Accession Number: 13.230.14
tempObjectNumber: 74, Title: Mosaic glass bowl,  Period: Early Imperial,  Date: early 1st century A.D.,  Culture: Roman,  Medium: Glass; cast,  Dimensions: Diam.: 3 1/2 in. (8.9 cm),  Classification: Glass,  Credit Line: Rogers Fund 1912,  Accession Number: 12.212.2
tempObjectNumber: 75, Title: Marble relief with a dancing maenad,  : Adaptation of work attributed to Kallimachos,  Period: Early Imperial Augustan,  Date: ca. 27 B.C.–A.D. 14,  Culture: Roman,  Medium: Marble Pentelic,  Dimensions: H. 56 5/16 in. (143 cm),  Classification: Stone Sculpture,  Credit Line: Fletcher Fund 1935,  Accession Number: 35.11.3
tempObjectNumber: 76, Title: Ear probe,  Culture: Cypriot,  Medium: Bronze,  Dimensions: Other: 6 1/2in. (16.5cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5491
tempObjectNumber: 77, Title: Terracotta basket,  Period: Geometric,  Date: 8th century B.C.,  Culture: Greek Attic,  Medium: Terracotta,  Dimensions: H. 2 9/16 in. (6.5 cm),  Classification: Vases,  Credit Line: Fletcher Fund 1936,  Accession Number: 36.11.10
tempObjectNumber: 78, Title: Glass hexagonal jug,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown in a multi-part mold of two vertical sections and a cup-shaped base,  Dimensions: H.: 4 in. (10.2 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.218
